aircraft,throughput,serviceTime,queueLength
aircraft[0].dataLink[3],0.1225,1.869625842547475e-05,0.14285714285714
aircraft[0].dataLink[14],0.1,1.837496878636525e-05,0.25
aircraft[0].dataLink[16],0.08,1.7556510794549252e-05,0.0
aircraft[0].dataLink[19],0.1175,1.792346476482725e-05,0.0
aircraft[0].dataLink[20],0.095,1.769619128809725e-05,0.026315789473684
aircraft[0].dataLink[24],0.075,1.766643813856425e-05,0.033333333333333
aircraft[0].dataLink[25],0.105,1.88975518749595e-05,0.071428571428571
aircraft[0].dataLink[27],0.48,1.7789225002445998e-05,0.026041666666667
aircraft[0].dataLink[37],0.085,1.826665725183625e-05,0.0
aircraft[0].dataLink[41],0.1075,1.774673888277e-05,0.069767441860465
aircraft[0].dataLink[43],0.095,1.77735713610805e-05,0.0
aircraft[0].dataLink[45],0.3025,1.7674509241763e-05,0.057851239669421
aircraft[0].dataLink[47],0.0925,1.9592500459922247e-05,0.0
aircraft[0].dataLink[50],0.1,1.870817761438975e-05,0.1
aircraft[0].dataLink[54],0.1925,1.8592756387571e-05,0.12987012987013
aircraft[0].dataLink[56],0.095,1.782654737725825e-05,0.10526315789474
aircraft[0].dataLink[59],0.1775,1.7951257660116e-05,0.11267605633803
aircraft[0].dataLink[70],0.115,1.776925325446575e-05,0.021739130434783
aircraft[0].dataLink[75],0.0975,1.876883914317975e-05,0.17948717948718
aircraft[0].dataLink[83],0.085,2.04750735579155e-05,0.0
aircraft[0].dataLink[84],0.0925,1.7581302026762e-05,0.027027027027027
aircraft[0].dataLink[89],0.1025,1.761095881667675e-05,0.024390243902439
aircraft[0].dataLink[91],0.0825,1.8445539383662e-05,0.03030303030303
aircraft[0].dataLink[92],0.1,1.756949026189775e-05,0.0
aircraft[0].dataLink[96],0.1,1.9791497400342e-05,0.025
aircraft[0].dataLink[103],0.12,1.816189981060275e-05,0.125
aircraft[0].dataLink[108],0.07,1.8205782805615752e-05,0.035714285714286
aircraft[0].dataLink[109],0.0775,1.843120076081275e-05,0.096774193548387
aircraft[0].dataLink[112],0.085,1.95940186361095e-05,0.029411764705882
aircraft[0].dataLink[116],0.205,1.78577288013385e-05,0.048780487804878
aircraft[0].dataLink[117],0.1125,1.852187570464175e-05,0.022222222222222
aircraft[0].dataLink[121],0.085,1.788638618662875e-05,0.029411764705882
aircraft[0].dataLink[124],0.0925,1.79384787230435e-05,0.054054054054054
aircraft[0].dataLink[125],0.1075,1.755551064440225e-05,0.18604651162791
aircraft[0].dataLink[135],0.0775,1.92875734703785e-05,0.064516129032258
aircraft[0].dataLink[138],0.105,1.8226344711898252e-05,0.19047619047619
aircraft[0].dataLink[141],0.1125,1.7573525691527502e-05,0.088888888888889
aircraft[0].dataLink[143],0.0925,1.82929545576605e-05,0.0
aircraft[0].dataLink[144],0.0825,1.7579963494034e-05,0.03030303030303
aircraft[0].dataLink[145],0.0725,1.79017901260915e-05,0.0
aircraft[0].dataLink[147],0.0875,1.761257510226675e-05,0.0
aircraft[0].dataLink[153],0.235,1.781349944053225e-05,0.1063829787234
aircraft[0].dataLink[155],0.0975,1.7555260685406998e-05,0.0
aircraft[0].dataLink[156],0.08,1.7631295690866003e-05,0.03125
aircraft[0].dataLink[157],0.0875,2.0831379632347e-05,0.0
aircraft[0].dataLink[159],0.1125,1.8243757372568e-05,0.11111111111111
aircraft[0].dataLink[160],0.075,1.757954512982575e-05,0.066666666666667
aircraft[0].dataLink[166],0.2375,1.774831132679775e-05,0.10526315789474
aircraft[0].dataLink[169],0.2075,1.85956188954985e-05,0.024096385542169
aircraft[0].dataLink[171],0.0925,1.7553259875231e-05,0.081081081081081
