aircraft,throughput,serviceTime
aircraft[0].dataLink[6],39.3725,1.94991167255775e-05
aircraft[1].dataLink[6],39.4325,1.9501718731792752e-05
aircraft[0].dataLink[0],38.9725,1.953572227620675e-05
aircraft[1].dataLink[5],39.3725,1.954644511678e-05
aircraft[0].dataLink[7],38.8875,1.948158548920875e-05
aircraft[1].dataLink[6],38.97,1.9638837782578e-05
aircraft[0].dataLink[9],39.0825,1.957696195279725e-05
aircraft[1].dataLink[5],38.94,1.95528229584245e-05
aircraft[0].dataLink[1],38.645,1.942194709463775e-05
aircraft[1].dataLink[9],39.27,1.95799453326435e-05
aircraft[0].dataLink[6],39.13,1.953387218767725e-05
aircraft[1].dataLink[9],39.3325,1.9476086259884e-05
aircraft[0].dataLink[6],39.625,1.9586508532148003e-05
aircraft[1].dataLink[8],39.1075,1.9565988387000252e-05
aircraft[0].dataLink[6],38.74,1.953323813269825e-05
aircraft[1].dataLink[9],38.8575,1.96322349578835e-05
aircraft[0].dataLink[0],39.1025,1.9514998883287e-05
aircraft[1].dataLink[0],39.055,1.9606084769888498e-05
aircraft[0].dataLink[5],38.985,1.9511318985494e-05
aircraft[1].dataLink[5],38.9175,1.930702548938075e-05
aircraft[0].dataLink[4],39.0025,1.952481410482175e-05
aircraft[1].dataLink[8],38.7375,1.941392924673875e-05
aircraft[0].dataLink[8],39.7825,1.9587412974805e-05
aircraft[1].dataLink[7],39.1475,1.951751883490075e-05
aircraft[0].dataLink[3],39.2425,1.952595408466325e-05
aircraft[1].dataLink[2],38.9875,1.9613378383076e-05
aircraft[0].dataLink[5],39.01,1.943817133884625e-05
aircraft[1].dataLink[2],39.1625,1.9423123746755e-05
aircraft[0].dataLink[9],38.7975,1.9634902563364997e-05
aircraft[1].dataLink[5],39.7375,1.9431680177271e-05
aircraft[0].dataLink[3],38.955,1.948961723588525e-05
aircraft[1].dataLink[7],39.285,1.9479080215618498e-05
aircraft[0].dataLink[6],38.9375,1.9650273657811e-05
aircraft[1].dataLink[3],38.6775,1.951333727962475e-05
aircraft[0].dataLink[0],38.6425,1.9601295527001248e-05
aircraft[1].dataLink[8],39.0425,1.9544178204082002e-05
aircraft[0].dataLink[1],38.9325,1.9437883246899753e-05
aircraft[1].dataLink[9],38.8925,1.9371559105877252e-05
aircraft[0].dataLink[1],38.8275,1.943908772410825e-05
aircraft[1].dataLink[0],38.385,1.9514657425917e-05
aircraft[0].dataLink[0],38.74,1.9556263335337498e-05
aircraft[1].dataLink[8],38.8375,1.9486101616157e-05
aircraft[0].dataLink[1],38.9025,1.942494978339175e-05
aircraft[1].dataLink[7],39.395,1.941415761822775e-05
aircraft[0].dataLink[5],38.8425,1.9722784131116e-05
aircraft[1].dataLink[7],38.685,1.9503134904362752e-05
aircraft[0].dataLink[0],38.895,1.944568199478575e-05
aircraft[1].dataLink[8],39.3225,1.9483222119041252e-05
aircraft[0].dataLink[7],39.0375,1.9436056502176e-05
aircraft[1].dataLink[3],39.1825,1.95006144655935e-05
aircraft[0].dataLink[3],39.5225,1.9570360337837e-05
aircraft[1].dataLink[8],38.8625,1.9580319956610247e-05
aircraft[0].dataLink[7],38.995,1.94389791696485e-05
aircraft[1].dataLink[6],38.82,1.9485337522036e-05
aircraft[0].dataLink[2],39.185,1.95566818999315e-05
aircraft[1].dataLink[0],39.845,1.953758228128325e-05
aircraft[0].dataLink[5],38.9025,1.9536609909073e-05
aircraft[1].dataLink[1],39.065,1.9558906268059748e-05
aircraft[0].dataLink[2],38.6175,1.9391096970176502e-05
aircraft[1].dataLink[0],39.3625,1.94884216319355e-05
aircraft[0].dataLink[5],38.57,1.944164902690625e-05
aircraft[1].dataLink[6],38.98,1.95133181025715e-05
aircraft[0].dataLink[5],38.685,1.95196969726915e-05
aircraft[1].dataLink[8],39.12,1.952481599876875e-05
aircraft[0].dataLink[0],38.8775,1.951287051089225e-05
aircraft[1].dataLink[6],39.3025,1.95142103666505e-05
aircraft[0].dataLink[0],38.7625,1.9482022838789e-05
aircraft[1].dataLink[0],38.7425,1.958455320336425e-05
aircraft[0].dataLink[2],38.9975,1.9592937680643e-05
aircraft[1].dataLink[3],38.6625,1.94492753522685e-05
aircraft[0].dataLink[3],38.8775,1.94259592009355e-05
aircraft[1].dataLink[5],38.64,1.9435230787283e-05
aircraft[0].dataLink[8],38.6775,1.9529984448369502e-05
aircraft[1].dataLink[7],39.1825,1.9550612464464748e-05
aircraft[0].dataLink[7],38.955,1.95151560522765e-05
aircraft[1].dataLink[1],39.2225,1.9503679344785998e-05
aircraft[0].dataLink[5],38.7175,1.9663200329057e-05
aircraft[1].dataLink[2],38.84,1.953796121994225e-05
aircraft[0].dataLink[3],38.99,1.9686907151676498e-05
aircraft[1].dataLink[7],38.8775,1.952415772448825e-05
aircraft[0].dataLink[6],38.9175,1.9370796038724e-05
aircraft[1].dataLink[8],38.645,1.9621034395221e-05
aircraft[0].dataLink[6],39.3125,1.9310168353427248e-05
aircraft[1].dataLink[3],38.675,1.954000968825675e-05
aircraft[0].dataLink[2],39.055,1.945650056064425e-05
aircraft[1].dataLink[1],38.685,1.93690778955395e-05
aircraft[0].dataLink[5],39.255,1.953426967867e-05
aircraft[1].dataLink[5],38.7975,1.9450478409758252e-05
aircraft[0].dataLink[6],38.7175,1.9542135316770498e-05
aircraft[1].dataLink[0],39.025,1.95354878535845e-05
aircraft[0].dataLink[9],38.8425,1.945624613757575e-05
aircraft[1].dataLink[9],38.95,1.9517553056124748e-05
aircraft[0].dataLink[8],38.75,1.954902011815675e-05
aircraft[1].dataLink[2],39.3125,1.9431244954249e-05
aircraft[0].dataLink[6],38.9775,1.9446713501594e-05
aircraft[1].dataLink[2],39.195,1.942938914512175e-05
aircraft[0].dataLink[3],39.52,1.9586593139034252e-05
aircraft[1].dataLink[0],38.49,1.9376091120571248e-05
aircraft[0].dataLink[5],38.6275,1.9543678817631502e-05
aircraft[1].dataLink[6],38.8525,1.950053143497225e-05
aircraft[0].dataLink[4],38.8625,1.954236581640225e-05
aircraft[1].dataLink[8],39.35,1.948777086579825e-05
aircraft[0].dataLink[9],39.105,1.963284763392425e-05
aircraft[1].dataLink[6],38.9825,1.949171947810775e-05
aircraft[0].dataLink[8],39.6,1.952425656096225e-05
aircraft[1].dataLink[5],39.2125,1.9548767630923747e-05
aircraft[0].dataLink[0],38.49,1.9402442224647748e-05
aircraft[1].dataLink[6],39.2175,1.9547240044066748e-05
aircraft[0].dataLink[4],38.9025,1.945866049324525e-05
