aircraft,packetReceived,packetSent,throughput,serviceTime
aircraft[0].dataLink[6],7687.0,7687.0,19.2175,1.953072160393725e-05
aircraft[0].dataLink[0],7758.0,7758.0,19.395,1.9530790860934e-05
aircraft[0].dataLink[7],7643.0,7643.0,19.1075,1.95432031850055e-05
aircraft[0].dataLink[9],7879.0,7879.0,19.6975,1.951458535397875e-05
aircraft[0].dataLink[1],7873.0,7873.0,19.6825,1.94364896544565e-05
aircraft[0].dataLink[6],7751.0,7751.0,19.3775,1.9690364527254752e-05
aircraft[0].dataLink[6],7966.0,7966.0,19.915,1.9567126438246003e-05
aircraft[0].dataLink[6],7727.0,7727.0,19.3175,1.956275023866025e-05
aircraft[0].dataLink[0],7876.0,7876.0,19.69,1.9494998940014502e-05
aircraft[0].dataLink[5],7810.0,7810.0,19.525,1.9489518117975e-05
