aircraft,throughput,serviceTime,queueLength
aircraft[0].dataLink[0],0.6225,1.77633370356245e-05,0.060240963855422
aircraft[0].dataLink[1],0.56,1.776273344926225e-05,0.0625
aircraft[0].dataLink[2],0.5875,1.773986885817025e-05,0.059574468085106
aircraft[0].dataLink[3],0.4425,1.775263235383825e-05,0.050847457627119
aircraft[0].dataLink[4],0.68,1.7773407826505e-05,0.058823529411765
aircraft[0].dataLink[5],0.9075,1.77385686498615e-05,0.055096418732782
aircraft[0].dataLink[6],0.9725,1.7684462136685252e-05,0.043701799485861
aircraft[0].dataLink[7],0.405,1.7791290050576252e-05,0.067901234567901
aircraft[0].dataLink[8],1.0225,1.77029408080125e-05,0.041564792176039
aircraft[0].dataLink[9],0.39,1.777744069871525e-05,0.070512820512821
aircraft[0].dataLink[10],0.6875,1.77388720562105e-05,0.061818181818182
aircraft[0].dataLink[11],1.12,1.7760832652851e-05,0.060267857142857
aircraft[0].dataLink[12],0.9175,1.768763398100425e-05,0.081743869209809
aircraft[0].dataLink[13],0.6975,1.779381011441375e-05,0.057347670250896
aircraft[0].dataLink[14],0.505,1.77973584106095e-05,0.04950495049505
aircraft[0].dataLink[15],1.205,1.774761983685125e-05,0.053941908713693
aircraft[0].dataLink[16],0.82,1.76555314622465e-05,0.070121951219512
aircraft[0].dataLink[17],1.345,1.7757442982127e-05,0.11710037174721
aircraft[0].dataLink[18],1.1175,1.773883795209175e-05,0.062639821029083
aircraft[0].dataLink[19],0.71,1.770232217881525e-05,0.017605633802817
aircraft[0].dataLink[20],0.465,1.7746000773882002e-05,0.080645161290323
aircraft[0].dataLink[21],0.7525,1.77596062469775e-05,0.06312292358804
aircraft[0].dataLink[22],0.785,1.7745071688088747e-05,0.095541401273885
aircraft[0].dataLink[23],0.8425,1.7763775054796e-05,0.083086053412463
aircraft[0].dataLink[24],0.8075,1.7817007958566e-05,0.068111455108359
aircraft[0].dataLink[25],0.7575,1.77113240678045e-05,0.066006600660066
aircraft[0].dataLink[26],0.54,1.776233267641775e-05,0.041666666666667
aircraft[0].dataLink[27],0.79,1.770510311544825e-05,0.060126582278481
aircraft[0].dataLink[28],0.455,1.7740668184874248e-05,0.10989010989011
aircraft[0].dataLink[29],0.925,1.76995218367845e-05,0.075675675675676
aircraft[0].dataLink[30],0.91,1.77243780298355e-05,0.043956043956044
aircraft[0].dataLink[31],0.645,1.775044525603725e-05,0.034883720930233
aircraft[0].dataLink[32],0.6275,1.769618546206575e-05,0.083665338645418
aircraft[0].dataLink[33],1.15,1.77546026460105e-05,0.10434782608696
aircraft[0].dataLink[34],0.7775,1.774840839927175e-05,0.035369774919614
aircraft[0].dataLink[35],0.6775,1.774546018084675e-05,0.044280442804428
aircraft[0].dataLink[36],0.825,1.7707347314994752e-05,0.078787878787879
aircraft[0].dataLink[37],1.1575,1.768763573898825e-05,0.095032397408207
aircraft[0].dataLink[38],1.13,1.77839007235975e-05,0.037610619469027
aircraft[0].dataLink[39],0.73,1.774501311236175e-05,0.044520547945205
aircraft[0].dataLink[40],0.5175,1.7684863542814e-05,0.096618357487923
aircraft[0].dataLink[41],0.63,1.77155750255585e-05,0.05952380952381
aircraft[0].dataLink[42],0.585,1.7765813242889e-05,0.055555555555556
aircraft[0].dataLink[43],1.1675,1.76903599796185e-05,0.047109207708779
aircraft[0].dataLink[44],0.675,1.772570253646775e-05,0.025925925925926
aircraft[0].dataLink[45],0.87,1.775569522006125e-05,0.07183908045977
aircraft[0].dataLink[46],0.7625,1.7807573304027e-05,0.15409836065574
aircraft[0].dataLink[47],0.5725,1.776998984029925e-05,0.043668122270742
aircraft[0].dataLink[48],0.8975,1.778305928287525e-05,0.064066852367688
aircraft[0].dataLink[49],0.8625,1.777096880090075e-05,0.046376811594203
aircraft[0].dataLink[0],0.7075,1.77439993789015e-05,0.088339222614841
aircraft[0].dataLink[1],1.365,1.769119220576525e-05,0.051282051282051
aircraft[0].dataLink[2],0.645,1.7699164597616998e-05,0.042635658914729
aircraft[0].dataLink[3],0.6875,1.7745490750897e-05,0.061818181818182
aircraft[0].dataLink[4],1.02,1.7719489879708248e-05,0.051470588235294
aircraft[0].dataLink[5],0.3575,1.774941034821425e-05,0.11888111888112
aircraft[0].dataLink[6],1.2475,1.7681213221980998e-05,0.082164328657315
aircraft[0].dataLink[7],0.95,1.7708233810103e-05,0.055263157894737
aircraft[0].dataLink[8],0.4275,1.773617534108075e-05,0.08187134502924
aircraft[0].dataLink[9],1.0975,1.77395016352585e-05,0.054669703872437
aircraft[0].dataLink[10],1.065,1.773963875413925e-05,0.075117370892019
aircraft[0].dataLink[11],0.915,1.775334001132425e-05,0.057377049180328
aircraft[0].dataLink[12],1.22,1.7677292258709252e-05,0.073770491803279
aircraft[0].dataLink[13],0.87,1.7729897301812e-05,0.048850574712644
aircraft[0].dataLink[14],0.51,1.777636664306425e-05,0.053921568627451
aircraft[0].dataLink[15],0.5775,1.775198751215175e-05,0.056277056277056
aircraft[0].dataLink[16],0.8225,1.774672043559375e-05,0.09726443768997
aircraft[0].dataLink[17],1.1075,1.770510262350625e-05,0.045146726862302
aircraft[0].dataLink[18],0.66,1.777408762063725e-05,0.026515151515152
aircraft[0].dataLink[19],1.03,1.7684588031265752e-05,0.067961165048544
aircraft[0].dataLink[20],0.47,1.77626985849715e-05,0.053191489361702
aircraft[0].dataLink[21],0.8625,1.7671755116980748e-05,0.07536231884058
aircraft[0].dataLink[22],0.8725,1.77050647531465e-05,0.045845272206304
aircraft[0].dataLink[23],0.6675,1.769205778823925e-05,0.052434456928839
aircraft[0].dataLink[24],0.6925,1.776021765417925e-05,0.046931407942238
aircraft[0].dataLink[25],1.025,1.770422647326375e-05,0.075609756097561
aircraft[0].dataLink[26],0.57,1.77143323611925e-05,0.052631578947368
aircraft[0].dataLink[27],0.4,1.7764736847109998e-05,0.05
aircraft[0].dataLink[28],0.5425,1.77399730189265e-05,0.027649769585253
aircraft[0].dataLink[29],0.43,1.776592121663425e-05,0.081395348837209
aircraft[0].dataLink[30],0.6975,1.7828408546808752e-05,0.021505376344086
aircraft[0].dataLink[31],0.6425,1.77245543029615e-05,0.050583657587549
aircraft[0].dataLink[32],0.9475,1.77110811098705e-05,0.050131926121372
aircraft[0].dataLink[33],0.525,1.7731899747171e-05,0.09047619047619
aircraft[0].dataLink[34],1.155,1.7714501648416502e-05,0.056277056277056
aircraft[0].dataLink[35],0.675,1.77075077977855e-05,0.066666666666667
aircraft[0].dataLink[36],1.1075,1.771145824037225e-05,0.085778781038375
aircraft[0].dataLink[37],0.7475,1.7693376718833752e-05,0.063545150501672
aircraft[0].dataLink[38],0.6725,1.7669243148108e-05,0.089219330855019
aircraft[0].dataLink[39],0.595,1.776045474125675e-05,0.067226890756303
aircraft[0].dataLink[40],0.5175,1.77434319243e-05,0.033816425120773
aircraft[0].dataLink[41],1.1275,1.7716670528105748e-05,0.057649667405765
aircraft[0].dataLink[42],0.9,1.7674296778491248e-05,0.066666666666667
aircraft[0].dataLink[43],0.41,1.774728648280325e-05,0.048780487804878
