aircraft,throughput,serviceTime
aircraft[0].dataLink[6],78.31,1.9398971186431e-05
aircraft[1].dataLink[6],78.8875,1.94222798489865e-05
aircraft[2].dataLink[4],78.3925,1.9466300353416498e-05
aircraft[3].dataLink[4],78.3675,1.950147898843075e-05
aircraft[0].dataLink[0],77.4075,1.95230320582635e-05
aircraft[1].dataLink[5],77.565,1.9535041069904752e-05
aircraft[2].dataLink[7],77.5775,1.9536305734247998e-05
aircraft[3].dataLink[7],78.29,1.9394061673578e-05
aircraft[0].dataLink[7],79.0925,1.9582755373781e-05
aircraft[1].dataLink[6],78.245,1.962018372363625e-05
aircraft[2].dataLink[4],78.7475,1.942247987759675e-05
aircraft[3].dataLink[1],78.455,1.9465503967655498e-05
aircraft[0].dataLink[9],77.4625,1.9491164167815752e-05
aircraft[1].dataLink[5],78.1925,1.942090023744075e-05
aircraft[2].dataLink[7],78.215,1.940656237250825e-05
aircraft[3].dataLink[1],78.3,1.9517435567001e-05
aircraft[0].dataLink[1],77.525,1.9481549743208e-05
aircraft[1].dataLink[9],78.5525,1.9510781865978e-05
aircraft[2].dataLink[8],78.7125,1.949951392762925e-05
aircraft[3].dataLink[7],78.4375,1.9440210837986e-05
aircraft[0].dataLink[6],77.75,1.95305940298415e-05
aircraft[1].dataLink[9],78.0725,1.946396317105525e-05
aircraft[2].dataLink[2],78.305,1.9474840403849752e-05
aircraft[3].dataLink[9],78.3575,1.9352376029003498e-05
aircraft[0].dataLink[6],77.8525,1.962414808958025e-05
aircraft[1].dataLink[8],78.3275,1.9415649481371e-05
aircraft[2].dataLink[2],78.155,1.94812672091435e-05
aircraft[3].dataLink[5],78.425,1.9364332241527e-05
aircraft[0].dataLink[6],77.8375,1.952755533505375e-05
aircraft[1].dataLink[9],78.1375,1.9550560804339752e-05
aircraft[2].dataLink[0],77.9925,1.9563503471678247e-05
aircraft[3].dataLink[6],78.14,1.941761125124025e-05
aircraft[0].dataLink[0],78.2175,1.9618253375135998e-05
aircraft[1].dataLink[0],77.615,1.941736251090875e-05
aircraft[2].dataLink[6],78.385,1.9443096752616498e-05
aircraft[3].dataLink[0],78.0675,1.95061252442515e-05
aircraft[0].dataLink[5],77.49,1.9392731265954752e-05
aircraft[1].dataLink[5],78.3425,1.9474843838363e-05
aircraft[2].dataLink[4],78.91,1.960065659823775e-05
aircraft[3].dataLink[7],77.3625,1.949158253190275e-05
aircraft[0].dataLink[4],78.2925,1.9394647302586e-05
aircraft[1].dataLink[8],77.63,1.9302378722683252e-05
aircraft[2].dataLink[7],78.025,1.9538929987319248e-05
aircraft[3].dataLink[5],78.0175,1.95646998056105e-05
aircraft[0].dataLink[8],77.7825,1.947429793566175e-05
aircraft[1].dataLink[7],78.3625,1.95542550929645e-05
aircraft[2].dataLink[1],78.4225,1.9660715945544503e-05
aircraft[3].dataLink[2],78.065,1.9582962985052e-05
aircraft[0].dataLink[3],77.8425,1.9494401053284e-05
aircraft[1].dataLink[2],78.3625,1.944189142618975e-05
aircraft[2].dataLink[9],78.69,1.9584809482549748e-05
aircraft[3].dataLink[2],77.6975,1.94163635391485e-05
aircraft[0].dataLink[5],78.1,1.9463298710414998e-05
aircraft[1].dataLink[2],77.4375,1.94455459374675e-05
aircraft[2].dataLink[8],77.815,1.951489911777375e-05
aircraft[3].dataLink[4],78.025,1.9640264082686998e-05
aircraft[0].dataLink[9],78.0,1.934670354084975e-05
aircraft[1].dataLink[5],78.24,1.94568072774765e-05
aircraft[2].dataLink[4],78.095,1.9500902522696e-05
aircraft[3].dataLink[8],77.6775,1.9361606511757003e-05
aircraft[0].dataLink[3],77.585,1.9497579623951e-05
aircraft[1].dataLink[7],77.675,1.946307626085325e-05
aircraft[2].dataLink[6],77.8625,1.960943625125325e-05
aircraft[3].dataLink[4],77.7325,1.96023968251155e-05
aircraft[0].dataLink[6],78.03,1.936830377124025e-05
aircraft[1].dataLink[3],77.95,1.9511076366056748e-05
aircraft[2].dataLink[3],77.485,1.947687880034925e-05
aircraft[3].dataLink[1],77.265,1.948302000678175e-05
aircraft[0].dataLink[0],78.39,1.94737274785605e-05
aircraft[1].dataLink[8],77.38,1.958831344856575e-05
aircraft[2].dataLink[0],77.9775,1.94007907839795e-05
aircraft[3].dataLink[2],78.305,1.952769141785925e-05
aircraft[0].dataLink[1],77.2225,1.9540867570205e-05
aircraft[1].dataLink[9],77.36,1.9552842932234502e-05
aircraft[2].dataLink[0],78.3425,1.95974801892715e-05
aircraft[3].dataLink[7],77.9375,1.943887607353275e-05
aircraft[0].dataLink[1],77.6775,1.929664670204525e-05
aircraft[1].dataLink[0],76.825,1.94763315909725e-05
aircraft[2].dataLink[4],78.1725,1.93522374025615e-05
aircraft[3].dataLink[3],78.7075,1.9447899908938748e-05
aircraft[0].dataLink[0],78.1675,1.9414988350679e-05
aircraft[1].dataLink[8],77.5725,1.957284509235825e-05
aircraft[2].dataLink[1],77.8275,1.952010188671475e-05
aircraft[3].dataLink[6],78.255,1.9473307604097248e-05
aircraft[0].dataLink[1],78.255,1.94306252697325e-05
aircraft[1].dataLink[7],78.0275,1.9459905929914e-05
aircraft[2].dataLink[2],77.9475,1.947103716207625e-05
aircraft[3].dataLink[1],78.675,1.9686067696308497e-05
aircraft[0].dataLink[5],78.75,1.957209758777675e-05
aircraft[1].dataLink[7],77.4825,1.957877006088125e-05
aircraft[2].dataLink[1],78.035,1.9492062004438e-05
aircraft[3].dataLink[4],78.66,1.9531402034296252e-05
aircraft[0].dataLink[0],78.48,1.94284308011035e-05
aircraft[1].dataLink[8],77.7825,1.941050634029675e-05
aircraft[2].dataLink[2],77.8975,1.9582236160262e-05
aircraft[3].dataLink[9],77.7975,1.9491961721490998e-05
aircraft[0].dataLink[7],78.3875,1.952926823996825e-05
aircraft[1].dataLink[3],78.41,1.9467654135077e-05
aircraft[2].dataLink[3],78.1325,1.9458714227462748e-05
aircraft[3].dataLink[7],76.9725,1.943671175795475e-05
aircraft[0].dataLink[3],78.2175,1.948631063013625e-05
aircraft[1].dataLink[8],78.4125,1.949324542680925e-05
aircraft[2].dataLink[4],77.9075,1.94360480541575e-05
aircraft[3].dataLink[8],78.45,1.95835599151725e-05
aircraft[0].dataLink[7],78.315,1.945380036889925e-05
aircraft[1].dataLink[6],77.5875,1.94711608992855e-05
aircraft[2].dataLink[1],78.0475,1.9439299529626252e-05
aircraft[3].dataLink[8],77.6625,1.945365652303e-05
aircraft[0].dataLink[2],78.2125,1.9519210694822e-05
aircraft[1].dataLink[0],78.3475,1.93174000709275e-05
aircraft[2].dataLink[1],78.5375,1.9515020822521752e-05
aircraft[3].dataLink[5],78.29,1.94997127887405e-05
aircraft[0].dataLink[5],78.2,1.938128977453725e-05
aircraft[1].dataLink[1],77.875,1.9614752511531e-05
aircraft[2].dataLink[9],77.7275,1.94595061765715e-05
aircraft[3].dataLink[7],78.215,1.949913429345575e-05
aircraft[0].dataLink[2],78.54,1.9452300715067e-05
aircraft[1].dataLink[0],78.3625,1.948553106253775e-05
aircraft[2].dataLink[1],78.44,1.955586058599225e-05
aircraft[3].dataLink[2],77.6325,1.947127016780075e-05
aircraft[0].dataLink[5],78.3775,1.94586534466525e-05
aircraft[1].dataLink[6],76.945,1.9558149684054503e-05
aircraft[2].dataLink[5],78.4075,1.94761498610615e-05
aircraft[3].dataLink[3],77.445,1.94549575359145e-05
aircraft[0].dataLink[5],78.045,1.9549031957200753e-05
aircraft[1].dataLink[8],77.335,1.946350472722575e-05
aircraft[2].dataLink[6],77.67,1.938140078185025e-05
aircraft[3].dataLink[3],78.155,1.94777411473865e-05
aircraft[0].dataLink[0],78.4175,1.938213687290725e-05
aircraft[1].dataLink[6],78.7425,1.9610673361309e-05
aircraft[2].dataLink[4],78.425,1.94774390567375e-05
aircraft[3].dataLink[6],77.75,1.947147896414025e-05
aircraft[0].dataLink[0],77.1325,1.949211546249975e-05
aircraft[1].dataLink[0],78.4025,1.938335440144175e-05
aircraft[2].dataLink[4],78.08,1.942446506937825e-05
aircraft[3].dataLink[4],77.735,1.94632350806025e-05
aircraft[0].dataLink[2],77.5475,1.956061997696525e-05
aircraft[1].dataLink[3],77.6375,1.9553093035036252e-05
aircraft[2].dataLink[8],78.23,1.9623086747067247e-05
aircraft[3].dataLink[0],78.0625,1.942583321494075e-05
aircraft[0].dataLink[3],77.93,1.94155902241005e-05
