,run,name,time,value
19,0,arrivalTime,"[ 10000.24247698  10001.49679036  10001.49864179 ... 249996.67203992
 249998.26747703 249998.74174299]","[1.25431338e+00 1.85142937e-03 2.00511272e+00 ... 1.59543711e+00
 4.74265963e-01 2.64380989e+00]"
28,0,arrivalTime,"[ 10000.37990976  10000.66194043  10002.66301236 ... 249995.05758085
 249995.55659796 249999.95512972]",[0.28203068 2.00107192 0.80619559 ... 0.49901711 4.39853175 1.92137638]
50,0,arrivalTime,"[ 10000.59836841  10001.36958397  10002.96218249 ... 249996.6380354
 249998.84889395 249999.711477  ]",[0.77121556 1.59259852 0.52087136 ... 2.21085855 0.86258305 0.69632076]
60,0,arrivalTime,"[ 10000.71776798  10002.42607493  10002.46537158 ... 249998.53947434
 249999.47814762 249999.54385737]",[1.70830695 0.03929665 0.25414489 ... 0.93867328 0.06570975 0.57339689]
78,0,arrivalTime,"[ 10001.00772808  10001.05092895  10001.55842214 ... 249996.74518771
 249997.21108226 249999.56556116]",[0.04320087 0.50749319 0.40416402 ... 0.46589455 2.3544789  0.53047392]
84,0,arrivalTime,"[ 10001.17768738  10002.79656156  10002.90532274 ... 249996.53369327
 249998.03078422 249999.74687498]",[1.61887418 0.10876118 0.26781447 ... 1.49709095 1.71609076 0.60053694]
102,0,arrivalTime,"[ 10001.66910782  10002.20282807  10003.86194792 ... 249998.11985282
 249998.34443629 249998.89345422]",[0.53372025 1.65911985 0.16921733 ... 0.22458347 0.54901794 1.60665441]
107,0,arrivalTime,"[ 10001.74206485  10004.58699527  10006.75976739 ... 249995.71942781
 249996.87862992 249998.08263033]",[2.84493042 2.17277212 0.35226223 ... 1.15920211 1.20400041 2.97394884]
129,0,arrivalTime,"[ 10003.43737759  10004.36005803  10005.51387957 ... 249994.82687911
 249996.23937047 249997.94318386]",[0.92268044 1.15382155 0.11852224 ... 1.41249136 1.70381338 3.80549254]
135,0,arrivalTime,"[ 10003.80847252  10004.17426623  10004.86010971 ... 249995.19938471
 249995.29012672 249997.839417  ]",[0.3657937  0.68584349 1.44289099 ... 0.09074201 2.54929028 2.91100615]
22,0,responseTime,"[ 10000.24247698  10001.49679036  10001.50456813 ... 249996.67203992
 249998.26747703 249998.74174299]",[0.00777778 0.00777778 0.01370413 ... 0.00777778 0.00777778 0.00777778]
31,0,responseTime,"[ 10000.37990976  10000.66194043  10002.66301236 ... 249995.05758085
 249995.55659796 249999.95512972]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
53,0,responseTime,"[ 10000.59836841  10001.36958397  10002.96218249 ... 249996.6380354
 249998.84889395 249999.711477  ]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
63,0,responseTime,"[ 10000.71776798  10002.42607493  10002.46537158 ... 249998.53947434
 249999.47814762 249999.54385737]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
81,0,responseTime,"[ 10001.00772808  10001.05092895  10001.55842214 ... 249996.74518771
 249997.21108226 249999.56556116]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
87,0,responseTime,"[ 10001.17768738  10002.79656156  10002.90532274 ... 249996.53369327
 249998.03078422 249999.74687498]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
105,0,responseTime,"[ 10001.66910782  10002.20282807  10003.86194792 ... 249998.11985282
 249998.34443629 249998.89345422]",[0.00777778 0.00777778 0.00777778 ... 0.00777778 0.00777778 0.00777778]
