run,type,module,name,attrname,attrvalue,value
Exponential-capacity-2900-20210226-11:29:38-12134,runattr,,,configname,Exponential-capacity,
Exponential-capacity-2900-20210226-11:29:38-12134,runattr,,,datetime,20210226-11:29:38,
Exponential-capacity-2900-20210226-11:29:38-12134,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-2900-20210226-11:29:38-12134,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-2900-20210226-11:29:38-12134,runattr,,,iterationvars,"$0=20, $1=20",
Exponential-capacity-2900-20210226-11:29:38-12134,runattr,,,iterationvarsf,"20,20-",
Exponential-capacity-2900-20210226-11:29:38-12134,runattr,,,measurement,"$0=20, $1=20",
Exponential-capacity-2900-20210226-11:29:38-12134,runattr,,,network,Aerocom,
Exponential-capacity-2900-20210226-11:29:38-12134,runattr,,,processid,12134,
Exponential-capacity-2900-20210226-11:29:38-12134,runattr,,,repetition,0,
Exponential-capacity-2900-20210226-11:29:38-12134,runattr,,,replication,#0,
Exponential-capacity-2900-20210226-11:29:38-12134,runattr,,,resultdir,results,
Exponential-capacity-2900-20210226-11:29:38-12134,runattr,,,runnumber,2900,
Exponential-capacity-2900-20210226-11:29:38-12134,runattr,,,seedset,0,
Exponential-capacity-2900-20210226-11:29:38-12134,param,,,**.t,2s,
Exponential-capacity-2900-20210226-11:29:38-12134,param,,,**.k,20ms,
Exponential-capacity-2900-20210226-11:29:38-12134,param,,,**.X,0.05s,
Exponential-capacity-2900-20210226-11:29:38-12134,param,,,**.m,20s,
Exponential-capacity-2900-20210226-11:29:38-12134,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-2900-20210226-11:29:38-12134,param,,,**.operationMode,0,
Exponential-capacity-2900-20210226-11:29:38-12134,param,,,**.s,70 byte,
Exponential-capacity-2900-20210226-11:29:38-12134,param,,,**.dimPoolMax,10000,
Exponential-capacity-2900-20210226-11:29:38-12134,param,,,**.dimPoolMin,8000,
Exponential-capacity-2900-20210226-11:29:38-12134,param,,,**.nDL,16,
Exponential-capacity-2900-20210226-11:29:38-12134,param,,,**.nA,1,
Exponential-capacity-2900-20210226-11:29:38-12134,param,,,**.DLMaxCapacity,0,
Exponential-capacity-2900-20210226-11:29:38-12134,param,,,**.trasmitting,false,
Exponential-capacity-2901-20210226-11:29:39-12134,runattr,,,configname,Exponential-capacity,
