run,type,module,name,attrname,attrvalue,value
Exponential-capacity-2700-20210226-11:29:06-11859,runattr,,,configname,Exponential-capacity,
Exponential-capacity-2700-20210226-11:29:06-11859,runattr,,,datetime,20210226-11:29:06,
Exponential-capacity-2700-20210226-11:29:06-11859,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-2700-20210226-11:29:06-11859,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-2700-20210226-11:29:06-11859,runattr,,,iterationvars,"$0=20, $1=4.5",
Exponential-capacity-2700-20210226-11:29:06-11859,runattr,,,iterationvarsf,"20,4.5-",
Exponential-capacity-2700-20210226-11:29:06-11859,runattr,,,measurement,"$0=20, $1=4.5",
Exponential-capacity-2700-20210226-11:29:06-11859,runattr,,,network,Aerocom,
Exponential-capacity-2700-20210226-11:29:06-11859,runattr,,,processid,11859,
Exponential-capacity-2700-20210226-11:29:06-11859,runattr,,,repetition,0,
Exponential-capacity-2700-20210226-11:29:06-11859,runattr,,,replication,#0,
Exponential-capacity-2700-20210226-11:29:06-11859,runattr,,,resultdir,results,
Exponential-capacity-2700-20210226-11:29:06-11859,runattr,,,runnumber,2700,
Exponential-capacity-2700-20210226-11:29:06-11859,runattr,,,seedset,0,
Exponential-capacity-2700-20210226-11:29:06-11859,param,,,**.t,2s,
Exponential-capacity-2700-20210226-11:29:06-11859,param,,,**.k,20ms,
Exponential-capacity-2700-20210226-11:29:06-11859,param,,,**.X,0.05s,
Exponential-capacity-2700-20210226-11:29:06-11859,param,,,**.m,4.5s,
Exponential-capacity-2700-20210226-11:29:06-11859,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-2700-20210226-11:29:06-11859,param,,,**.operationMode,0,
Exponential-capacity-2700-20210226-11:29:06-11859,param,,,**.s,70 byte,
Exponential-capacity-2700-20210226-11:29:06-11859,param,,,**.dimPoolMax,10000,
Exponential-capacity-2700-20210226-11:29:06-11859,param,,,**.dimPoolMin,8000,
Exponential-capacity-2700-20210226-11:29:06-11859,param,,,**.nDL,16,
Exponential-capacity-2700-20210226-11:29:06-11859,param,,,**.nA,1,
Exponential-capacity-2700-20210226-11:29:06-11859,param,,,**.DLMaxCapacity,0,
Exponential-capacity-2700-20210226-11:29:06-11859,param,,,**.trasmitting,false,
Exponential-capacity-2701-20210226-11:29:07-11859,runattr,,,configname,Exponential-capacity,
Exponential-capacity-2701-20210226-11:29:07-11859,runattr,,,datetime,20210226-11:29:07,
Exponential-capacity-2701-20210226-11:29:07-11859,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-2701-20210226-11:29:07-11859,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-2701-20210226-11:29:07-11859,runattr,,,iterationvars,"$0=20, $1=4.5",
Exponential-capacity-2701-20210226-11:29:07-11859,runattr,,,iterationvarsf,"20,4.5-",
Exponential-capacity-2701-20210226-11:29:07-11859,runattr,,,measurement,"$0=20, $1=4.5",
Exponential-capacity-2701-20210226-11:29:07-11859,runattr,,,network,Aerocom,
Exponential-capacity-2701-20210226-11:29:07-11859,runattr,,,processid,11859,
Exponential-capacity-2701-20210226-11:29:07-11859,runattr,,,repetition,1,
Exponential-capacity-2701-20210226-11:29:07-11859,runattr,,,replication,#1,
Exponential-capacity-2701-20210226-11:29:07-11859,runattr,,,resultdir,results,
Exponential-capacity-2701-20210226-11:29:07-11859,runattr,,,runnumber,2701,
Exponential-capacity-2701-20210226-11:29:07-11859,runattr,,,seedset,1,
Exponential-capacity-2701-20210226-11:29:07-11859,param,,,**.t,2s,
Exponential-capacity-2701-20210226-11:29:07-11859,param,,,**.k,20ms,
Exponential-capacity-2701-20210226-11:29:07-11859,param,,,**.X,0.05s,
Exponential-capacity-2701-20210226-11:29:07-11859,param,,,**.m,4.5s,
Exponential-capacity-2701-20210226-11:29:07-11859,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-2701-20210226-11:29:07-11859,param,,,**.operationMode,0,
Exponential-capacity-2701-20210226-11:29:07-11859,param,,,**.s,70 byte,
Exponential-capacity-2701-20210226-11:29:07-11859,param,,,**.dimPoolMax,10000,
Exponential-capacity-2701-20210226-11:29:07-11859,param,,,**.dimPoolMin,8000,
Exponential-capacity-2701-20210226-11:29:07-11859,param,,,**.nDL,16,
Exponential-capacity-2701-20210226-11:29:07-11859,param,,,**.nA,1,
Exponential-capacity-2701-20210226-11:29:07-11859,param,,,**.DLMaxCapacity,0,
Exponential-capacity-2701-20210226-11:29:07-11859,param,,,**.trasmitting,false,
Exponential-capacity-2710-20210226-11:29:08-11864,runattr,,,configname,Exponential-capacity,
Exponential-capacity-2710-20210226-11:29:08-11864,runattr,,,datetime,20210226-11:29:08,
Exponential-capacity-2710-20210226-11:29:08-11864,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-2710-20210226-11:29:08-11864,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-2710-20210226-11:29:08-11864,runattr,,,iterationvars,"$0=20, $1=4.5",
Exponential-capacity-2710-20210226-11:29:08-11864,runattr,,,iterationvarsf,"20,4.5-",
Exponential-capacity-2710-20210226-11:29:08-11864,runattr,,,measurement,"$0=20, $1=4.5",
Exponential-capacity-2710-20210226-11:29:08-11864,runattr,,,network,Aerocom,
Exponential-capacity-2710-20210226-11:29:08-11864,runattr,,,processid,11864,
Exponential-capacity-2710-20210226-11:29:08-11864,runattr,,,repetition,10,
Exponential-capacity-2710-20210226-11:29:08-11864,runattr,,,replication,#10,
Exponential-capacity-2710-20210226-11:29:08-11864,runattr,,,resultdir,results,
Exponential-capacity-2710-20210226-11:29:08-11864,runattr,,,runnumber,2710,
Exponential-capacity-2710-20210226-11:29:08-11864,runattr,,,seedset,10,
Exponential-capacity-2710-20210226-11:29:08-11864,param,,,**.t,2s,
Exponential-capacity-2710-20210226-11:29:08-11864,param,,,**.k,20ms,
Exponential-capacity-2710-20210226-11:29:08-11864,param,,,**.X,0.05s,
Exponential-capacity-2710-20210226-11:29:08-11864,param,,,**.m,4.5s,
Exponential-capacity-2710-20210226-11:29:08-11864,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-2710-20210226-11:29:08-11864,param,,,**.operationMode,0,
Exponential-capacity-2710-20210226-11:29:08-11864,param,,,**.s,70 byte,
Exponential-capacity-2710-20210226-11:29:08-11864,param,,,**.dimPoolMax,10000,
Exponential-capacity-2710-20210226-11:29:08-11864,param,,,**.dimPoolMin,8000,
Exponential-capacity-2710-20210226-11:29:08-11864,param,,,**.nDL,16,
Exponential-capacity-2710-20210226-11:29:08-11864,param,,,**.nA,1,
Exponential-capacity-2710-20210226-11:29:08-11864,param,,,**.DLMaxCapacity,0,
Exponential-capacity-2710-20210226-11:29:08-11864,param,,,**.trasmitting,false,
Exponential-capacity-2711-20210226-11:29:09-11864,runattr,,,configname,Exponential-capacity,
Exponential-capacity-2711-20210226-11:29:09-11864,runattr,,,datetime,20210226-11:29:09,
Exponential-capacity-2711-20210226-11:29:09-11864,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-2711-20210226-11:29:09-11864,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-2711-20210226-11:29:09-11864,runattr,,,iterationvars,"$0=20, $1=4.5",
Exponential-capacity-2711-20210226-11:29:09-11864,runattr,,,iterationvarsf,"20,4.5-",
Exponential-capacity-2711-20210226-11:29:09-11864,runattr,,,measurement,"$0=20, $1=4.5",
Exponential-capacity-2711-20210226-11:29:09-11864,runattr,,,network,Aerocom,
Exponential-capacity-2711-20210226-11:29:09-11864,runattr,,,processid,11864,
Exponential-capacity-2711-20210226-11:29:09-11864,runattr,,,repetition,11,
Exponential-capacity-2711-20210226-11:29:09-11864,runattr,,,replication,#11,
Exponential-capacity-2711-20210226-11:29:09-11864,runattr,,,resultdir,results,
Exponential-capacity-2711-20210226-11:29:09-11864,runattr,,,runnumber,2711,
Exponential-capacity-2711-20210226-11:29:09-11864,runattr,,,seedset,11,
Exponential-capacity-2711-20210226-11:29:09-11864,param,,,**.t,2s,
Exponential-capacity-2711-20210226-11:29:09-11864,param,,,**.k,20ms,
Exponential-capacity-2711-20210226-11:29:09-11864,param,,,**.X,0.05s,
Exponential-capacity-2711-20210226-11:29:09-11864,param,,,**.m,4.5s,
