run,type,module,name,attrname,attrvalue,value
Lognormal-capacity-700-20210226-11:18:36-5613,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-700-20210226-11:18:36-5613,runattr,,,datetime,20210226-11:18:36,
Lognormal-capacity-700-20210226-11:18:36-5613,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-700-20210226-11:18:36-5613,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-700-20210226-11:18:36-5613,runattr,,,iterationvars,"$0=10, $1=1.5",
Lognormal-capacity-700-20210226-11:18:36-5613,runattr,,,iterationvarsf,"10,1.5-",
Lognormal-capacity-700-20210226-11:18:36-5613,runattr,,,measurement,"$0=10, $1=1.5",
Lognormal-capacity-700-20210226-11:18:36-5613,runattr,,,network,Aerocom,
Lognormal-capacity-700-20210226-11:18:36-5613,runattr,,,processid,5613,
Lognormal-capacity-700-20210226-11:18:36-5613,runattr,,,repetition,0,
Lognormal-capacity-700-20210226-11:18:36-5613,runattr,,,replication,#0,
Lognormal-capacity-700-20210226-11:18:36-5613,runattr,,,resultdir,results,
Lognormal-capacity-700-20210226-11:18:36-5613,runattr,,,runnumber,700,
Lognormal-capacity-700-20210226-11:18:36-5613,runattr,,,seedset,0,
Lognormal-capacity-700-20210226-11:18:36-5613,param,,,**.t,2s,
Lognormal-capacity-700-20210226-11:18:36-5613,param,,,**.k,10ms,
Lognormal-capacity-700-20210226-11:18:36-5613,param,,,**.X,0.05s,
Lognormal-capacity-700-20210226-11:18:36-5613,param,,,**.m,1.5s,
Lognormal-capacity-700-20210226-11:18:36-5613,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-700-20210226-11:18:36-5613,param,,,**.operationMode,0,
Lognormal-capacity-700-20210226-11:18:36-5613,param,,,**.s,70 byte,
Lognormal-capacity-700-20210226-11:18:36-5613,param,,,**.dimPoolMax,10000,
Lognormal-capacity-700-20210226-11:18:36-5613,param,,,**.dimPoolMin,8000,
Lognormal-capacity-700-20210226-11:18:36-5613,param,,,**.nDL,16,
Lognormal-capacity-700-20210226-11:18:36-5613,param,,,**.nA,1,
Lognormal-capacity-700-20210226-11:18:36-5613,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-700-20210226-11:18:36-5613,param,,,**.trasmitting,false,
Lognormal-capacity-701-20210226-11:18:38-5613,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-701-20210226-11:18:38-5613,runattr,,,datetime,20210226-11:18:38,
Lognormal-capacity-701-20210226-11:18:38-5613,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-701-20210226-11:18:38-5613,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-701-20210226-11:18:38-5613,runattr,,,iterationvars,"$0=10, $1=1.5",
Lognormal-capacity-701-20210226-11:18:38-5613,runattr,,,iterationvarsf,"10,1.5-",
Lognormal-capacity-701-20210226-11:18:38-5613,runattr,,,measurement,"$0=10, $1=1.5",
