run,type,module,name,attrname,attrvalue,value
Lognormal-capacity-1000-20210226-11:20:17-6537,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-1000-20210226-11:20:17-6537,runattr,,,datetime,20210226-11:20:17,
Lognormal-capacity-1000-20210226-11:20:17-6537,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-1000-20210226-11:20:17-6537,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-1000-20210226-11:20:17-6537,runattr,,,iterationvars,"$0=10, $1=12",
Lognormal-capacity-1000-20210226-11:20:17-6537,runattr,,,iterationvarsf,"10,12-",
Lognormal-capacity-1000-20210226-11:20:17-6537,runattr,,,measurement,"$0=10, $1=12",
Lognormal-capacity-1000-20210226-11:20:17-6537,runattr,,,network,Aerocom,
Lognormal-capacity-1000-20210226-11:20:17-6537,runattr,,,processid,6537,
Lognormal-capacity-1000-20210226-11:20:17-6537,runattr,,,repetition,0,
Lognormal-capacity-1000-20210226-11:20:17-6537,runattr,,,replication,#0,
Lognormal-capacity-1000-20210226-11:20:17-6537,runattr,,,resultdir,results,
Lognormal-capacity-1000-20210226-11:20:17-6537,runattr,,,runnumber,1000,
Lognormal-capacity-1000-20210226-11:20:17-6537,runattr,,,seedset,0,
Lognormal-capacity-1000-20210226-11:20:17-6537,param,,,**.t,2s,
Lognormal-capacity-1000-20210226-11:20:17-6537,param,,,**.k,10ms,
Lognormal-capacity-1000-20210226-11:20:17-6537,param,,,**.X,0.05s,
Lognormal-capacity-1000-20210226-11:20:17-6537,param,,,**.m,12s,
Lognormal-capacity-1000-20210226-11:20:17-6537,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-1000-20210226-11:20:17-6537,param,,,**.operationMode,0,
Lognormal-capacity-1000-20210226-11:20:17-6537,param,,,**.s,70 byte,
Lognormal-capacity-1000-20210226-11:20:17-6537,param,,,**.dimPoolMax,10000,
Lognormal-capacity-1000-20210226-11:20:17-6537,param,,,**.dimPoolMin,8000,
Lognormal-capacity-1000-20210226-11:20:17-6537,param,,,**.nDL,16,
Lognormal-capacity-1000-20210226-11:20:17-6537,param,,,**.nA,1,
Lognormal-capacity-1000-20210226-11:20:17-6537,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-1000-20210226-11:20:17-6537,param,,,**.trasmitting,false,
Lognormal-capacity-1001-20210226-11:20:24-6537,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-1001-20210226-11:20:24-6537,runattr,,,datetime,20210226-11:20:24,
Lognormal-capacity-1001-20210226-11:20:24-6537,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-1001-20210226-11:20:24-6537,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-1001-20210226-11:20:24-6537,runattr,,,iterationvars,"$0=10, $1=12",
Lognormal-capacity-1001-20210226-11:20:24-6537,runattr,,,iterationvarsf,"10,12-",
Lognormal-capacity-1001-20210226-11:20:24-6537,runattr,,,measurement,"$0=10, $1=12",
Lognormal-capacity-1001-20210226-11:20:24-6537,runattr,,,network,Aerocom,
Lognormal-capacity-1001-20210226-11:20:24-6537,runattr,,,processid,6537,
Lognormal-capacity-1001-20210226-11:20:24-6537,runattr,,,repetition,1,
Lognormal-capacity-1001-20210226-11:20:24-6537,runattr,,,replication,#1,
Lognormal-capacity-1001-20210226-11:20:24-6537,runattr,,,resultdir,results,
Lognormal-capacity-1001-20210226-11:20:24-6537,runattr,,,runnumber,1001,
Lognormal-capacity-1001-20210226-11:20:24-6537,runattr,,,seedset,1,
Lognormal-capacity-1001-20210226-11:20:24-6537,param,,,**.t,2s,
Lognormal-capacity-1001-20210226-11:20:24-6537,param,,,**.k,10ms,
Lognormal-capacity-1001-20210226-11:20:24-6537,param,,,**.X,0.05s,
Lognormal-capacity-1001-20210226-11:20:24-6537,param,,,**.m,12s,
Lognormal-capacity-1001-20210226-11:20:24-6537,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-1001-20210226-11:20:24-6537,param,,,**.operationMode,0,
Lognormal-capacity-1001-20210226-11:20:24-6537,param,,,**.s,70 byte,
Lognormal-capacity-1001-20210226-11:20:24-6537,param,,,**.dimPoolMax,10000,
Lognormal-capacity-1001-20210226-11:20:24-6537,param,,,**.dimPoolMin,8000,
Lognormal-capacity-1001-20210226-11:20:24-6537,param,,,**.nDL,16,
Lognormal-capacity-1001-20210226-11:20:24-6537,param,,,**.nA,1,
Lognormal-capacity-1001-20210226-11:20:24-6537,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-1001-20210226-11:20:24-6537,param,,,**.trasmitting,false,
Lognormal-capacity-1010-20210226-11:20:27-6633,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-1010-20210226-11:20:27-6633,runattr,,,datetime,20210226-11:20:27,
Lognormal-capacity-1010-20210226-11:20:27-6633,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-1010-20210226-11:20:27-6633,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-1010-20210226-11:20:27-6633,runattr,,,iterationvars,"$0=10, $1=12",
Lognormal-capacity-1010-20210226-11:20:27-6633,runattr,,,iterationvarsf,"10,12-",
Lognormal-capacity-1010-20210226-11:20:27-6633,runattr,,,measurement,"$0=10, $1=12",
