run,type,module,name,attrname,attrvalue,value
Nonmonitoring-exponential-0-20210226-11:12:07-1392,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,runattr,,,datetime,20210226-11:12:07,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,runattr,,,experiment,Nonmonitoring-exponential,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,runattr,,,inifile,aerocom.ini,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,runattr,,,iterationvars,$0=9,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,runattr,,,iterationvarsf,9-,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,runattr,,,measurement,$0=9,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,runattr,,,network,Aerocom,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,runattr,,,processid,1392,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,runattr,,,repetition,0,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,runattr,,,replication,#0,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,runattr,,,resultdir,results,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,runattr,,,runnumber,0,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,runattr,,,seedset,0,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,param,,,**.t,2s,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,param,,,**.k,9ms,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,param,,,**.X,0.05s,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,param,,,**.m,1s,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,param,,,**.tDistribution,"""exponential""",
Nonmonitoring-exponential-0-20210226-11:12:07-1392,param,,,**.operationMode,1,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,param,,,**.s,70 byte,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,param,,,**.dimPoolMax,10000,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,param,,,**.dimPoolMin,8000,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,param,,,**.nDL,16,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,param,,,**.nA,1,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,param,,,**.DLMaxCapacity,0,
Nonmonitoring-exponential-0-20210226-11:12:07-1392,param,,,**.trasmitting,false,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,runattr,,,datetime,20210226-11:12:08,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,runattr,,,experiment,Nonmonitoring-exponential,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,runattr,,,inifile,aerocom.ini,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,runattr,,,iterationvars,$0=9,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,runattr,,,iterationvarsf,9-,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,runattr,,,measurement,$0=9,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,runattr,,,network,Aerocom,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,runattr,,,processid,1392,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,runattr,,,repetition,1,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,runattr,,,replication,#1,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,runattr,,,resultdir,results,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,runattr,,,runnumber,1,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,runattr,,,seedset,1,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,param,,,**.t,2s,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,param,,,**.k,9ms,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,param,,,**.X,0.05s,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,param,,,**.m,1s,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,param,,,**.tDistribution,"""exponential""",
Nonmonitoring-exponential-1-20210226-11:12:08-1392,param,,,**.operationMode,1,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,param,,,**.s,70 byte,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,param,,,**.dimPoolMax,10000,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,param,,,**.dimPoolMin,8000,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,param,,,**.nDL,16,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,param,,,**.nA,1,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,param,,,**.DLMaxCapacity,0,
Nonmonitoring-exponential-1-20210226-11:12:08-1392,param,,,**.trasmitting,false,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,runattr,,,datetime,20210226-11:12:09,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,runattr,,,experiment,Nonmonitoring-exponential,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,runattr,,,inifile,aerocom.ini,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,runattr,,,iterationvars,$0=9,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,runattr,,,iterationvarsf,9-,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,runattr,,,measurement,$0=9,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,runattr,,,network,Aerocom,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,runattr,,,processid,1391,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,runattr,,,repetition,10,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,runattr,,,replication,#10,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,runattr,,,resultdir,results,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,runattr,,,runnumber,10,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,runattr,,,seedset,10,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,param,,,**.t,2s,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,param,,,**.k,9ms,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,param,,,**.X,0.05s,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,param,,,**.m,1s,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,param,,,**.tDistribution,"""exponential""",
Nonmonitoring-exponential-10-20210226-11:12:09-1391,param,,,**.operationMode,1,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,param,,,**.s,70 byte,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,param,,,**.dimPoolMax,10000,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,param,,,**.dimPoolMin,8000,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,param,,,**.nDL,16,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,param,,,**.nA,1,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,param,,,**.DLMaxCapacity,0,
Nonmonitoring-exponential-10-20210226-11:12:09-1391,param,,,**.trasmitting,false,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,runattr,,,datetime,20210226-11:12:10,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,runattr,,,experiment,Nonmonitoring-exponential,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,runattr,,,inifile,aerocom.ini,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,runattr,,,iterationvars,$0=9,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,runattr,,,iterationvarsf,9-,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,runattr,,,measurement,$0=9,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,runattr,,,network,Aerocom,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,runattr,,,processid,1391,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,runattr,,,repetition,11,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,runattr,,,replication,#11,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,runattr,,,resultdir,results,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,runattr,,,runnumber,11,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,runattr,,,seedset,11,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,param,,,**.t,2s,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,param,,,**.k,9ms,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,param,,,**.X,0.05s,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,param,,,**.m,1s,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,param,,,**.tDistribution,"""exponential""",
Nonmonitoring-exponential-11-20210226-11:12:10-1391,param,,,**.operationMode,1,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,param,,,**.s,70 byte,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,param,,,**.dimPoolMax,10000,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,param,,,**.dimPoolMin,8000,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,param,,,**.nDL,16,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,param,,,**.nA,1,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,param,,,**.DLMaxCapacity,0,
Nonmonitoring-exponential-11-20210226-11:12:10-1391,param,,,**.trasmitting,false,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,runattr,,,datetime,20210226-11:12:11,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,runattr,,,experiment,Nonmonitoring-exponential,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,runattr,,,inifile,aerocom.ini,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,runattr,,,iterationvars,$0=9,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,runattr,,,iterationvarsf,9-,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,runattr,,,measurement,$0=9,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,runattr,,,network,Aerocom,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,runattr,,,processid,1391,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,runattr,,,repetition,12,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,runattr,,,replication,#12,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,runattr,,,resultdir,results,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,runattr,,,runnumber,12,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,runattr,,,seedset,12,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,param,,,**.t,2s,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,param,,,**.k,9ms,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,param,,,**.X,0.05s,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,param,,,**.m,1s,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,param,,,**.tDistribution,"""exponential""",
Nonmonitoring-exponential-12-20210226-11:12:11-1391,param,,,**.operationMode,1,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,param,,,**.s,70 byte,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,param,,,**.dimPoolMax,10000,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,param,,,**.dimPoolMin,8000,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,param,,,**.nDL,16,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,param,,,**.nA,1,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,param,,,**.DLMaxCapacity,0,
Nonmonitoring-exponential-12-20210226-11:12:11-1391,param,,,**.trasmitting,false,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,runattr,,,datetime,20210226-11:12:14,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,runattr,,,experiment,Nonmonitoring-exponential,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,runattr,,,inifile,aerocom.ini,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,runattr,,,iterationvars,$0=9,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,runattr,,,iterationvarsf,9-,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,runattr,,,measurement,$0=9,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,runattr,,,network,Aerocom,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,runattr,,,processid,1391,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,runattr,,,repetition,13,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,runattr,,,replication,#13,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,runattr,,,resultdir,results,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,runattr,,,runnumber,13,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,runattr,,,seedset,13,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,param,,,**.t,2s,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,param,,,**.k,9ms,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,param,,,**.X,0.05s,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,param,,,**.m,1s,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,param,,,**.tDistribution,"""exponential""",
Nonmonitoring-exponential-13-20210226-11:12:14-1391,param,,,**.operationMode,1,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,param,,,**.s,70 byte,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,param,,,**.dimPoolMax,10000,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,param,,,**.dimPoolMin,8000,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,param,,,**.nDL,16,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,param,,,**.nA,1,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,param,,,**.DLMaxCapacity,0,
Nonmonitoring-exponential-13-20210226-11:12:14-1391,param,,,**.trasmitting,false,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,runattr,,,datetime,20210226-11:12:23,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,runattr,,,experiment,Nonmonitoring-exponential,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,runattr,,,inifile,aerocom.ini,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,runattr,,,iterationvars,$0=9,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,runattr,,,iterationvarsf,9-,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,runattr,,,measurement,$0=9,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,runattr,,,network,Aerocom,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,runattr,,,processid,1391,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,runattr,,,repetition,15,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,runattr,,,replication,#15,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,runattr,,,resultdir,results,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,runattr,,,runnumber,15,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,runattr,,,seedset,15,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,param,,,**.t,2s,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,param,,,**.k,9ms,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,param,,,**.X,0.05s,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,param,,,**.m,1s,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,param,,,**.tDistribution,"""exponential""",
Nonmonitoring-exponential-15-20210226-11:12:23-1391,param,,,**.operationMode,1,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,param,,,**.s,70 byte,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,param,,,**.dimPoolMax,10000,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,param,,,**.dimPoolMin,8000,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,param,,,**.nDL,16,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,param,,,**.nA,1,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,param,,,**.DLMaxCapacity,0,
Nonmonitoring-exponential-15-20210226-11:12:23-1391,param,,,**.trasmitting,false,
Nonmonitoring-exponential-14-20210226-11:12:20-1391,runattr,,,configname,Nonmonitoring-exponential,
