run,type,module,name,attrname,attrvalue,value
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,runattr,,,datetime,20210226-11:12:14,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,runattr,,,iterationvars,$0=9,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,runattr,,,iterationvarsf,9-,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,runattr,,,measurement,$0=9,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,runattr,,,processid,1645,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,runattr,,,repetition,0,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,runattr,,,replication,#0,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,runattr,,,resultdir,results,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,runattr,,,runnumber,0,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,runattr,,,seedset,0,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,param,,,**.t,2s,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,param,,,**.k,9ms,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,param,,,**.X,0.05s,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,param,,,**.m,1s,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,param,,,**.operationMode,1,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,param,,,**.s,70 byte,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,param,,,**.nDL,16,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,param,,,**.nA,1,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-0-20210226-11:12:14-1645,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-1-20210226-11:12:20-1645,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-1-20210226-11:12:20-1645,runattr,,,datetime,20210226-11:12:20,
Nonmonitoring-lognormal-1-20210226-11:12:20-1645,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-1-20210226-11:12:20-1645,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-1-20210226-11:12:20-1645,runattr,,,iterationvars,$0=9,
Nonmonitoring-lognormal-1-20210226-11:12:20-1645,runattr,,,iterationvarsf,9-,
Nonmonitoring-lognormal-1-20210226-11:12:20-1645,runattr,,,measurement,$0=9,
Nonmonitoring-lognormal-1-20210226-11:12:20-1645,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-1-20210226-11:12:20-1645,runattr,,,processid,1645,
Nonmonitoring-lognormal-1-20210226-11:12:20-1645,runattr,,,repetition,1,
Nonmonitoring-lognormal-1-20210226-11:12:20-1645,runattr,,,replication,#1,
Nonmonitoring-lognormal-1-20210226-11:12:20-1645,runattr,,,resultdir,results,
Nonmonitoring-lognormal-1-20210226-11:12:20-1645,runattr,,,runnumber,1,
Nonmonitoring-lognormal-1-20210226-11:12:20-1645,runattr,,,seedset,1,
Nonmonitoring-lognormal-1-20210226-11:12:20-1645,param,,,**.t,2s,
Nonmonitoring-lognormal-1-20210226-11:12:20-1645,param,,,**.k,9ms,
