run,type,module,name,attrname,attrvalue,value
Nonmonitoring-exponential-0-20210226-15:53:55-25741,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,runattr,,,datetime,20210226-15:53:55,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,runattr,,,experiment,Nonmonitoring-exponential,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,runattr,,,inifile,aerocom.ini,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,runattr,,,iterationvars,,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,runattr,,,iterationvarsf,,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,runattr,,,measurement,,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,runattr,,,network,Aerocom,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,runattr,,,processid,25741,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,runattr,,,repetition,0,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,runattr,,,replication,#0,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,runattr,,,resultdir,results,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,runattr,,,runnumber,0,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,runattr,,,seedset,0,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,param,,,**.t,2s,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,param,,,**.k,20ms,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,param,,,**.X,0.05s,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,param,,,**.m,1s,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,param,,,**.tDistribution,"""exponential""",
Nonmonitoring-exponential-0-20210226-15:53:55-25741,param,,,**.operationMode,1,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,param,,,**.s,70 byte,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,param,,,**.dimPoolMax,10000,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,param,,,**.dimPoolMin,8000,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,param,,,**.nDL,16,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,param,,,**.nA,1,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,param,,,**.DLMaxCapacity,0,
Nonmonitoring-exponential-0-20210226-15:53:55-25741,param,,,**.trasmitting,false,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,runattr,,,datetime,20210226-15:53:57,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,runattr,,,experiment,Nonmonitoring-exponential,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,runattr,,,inifile,aerocom.ini,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,runattr,,,iterationvars,,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,runattr,,,iterationvarsf,,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,runattr,,,measurement,,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,runattr,,,network,Aerocom,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,runattr,,,processid,25741,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,runattr,,,repetition,1,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,runattr,,,replication,#1,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,runattr,,,resultdir,results,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,runattr,,,runnumber,1,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,runattr,,,seedset,1,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,param,,,**.t,2s,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,param,,,**.k,20ms,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,param,,,**.X,0.05s,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,param,,,**.m,1s,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,param,,,**.tDistribution,"""exponential""",
Nonmonitoring-exponential-1-20210226-15:53:57-25741,param,,,**.operationMode,1,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,param,,,**.s,70 byte,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,param,,,**.dimPoolMax,10000,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,param,,,**.dimPoolMin,8000,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,param,,,**.nDL,16,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,param,,,**.nA,1,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,param,,,**.DLMaxCapacity,0,
Nonmonitoring-exponential-1-20210226-15:53:57-25741,param,,,**.trasmitting,false,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,runattr,,,datetime,20210226-15:53:58,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,runattr,,,experiment,Nonmonitoring-exponential,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,runattr,,,inifile,aerocom.ini,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,runattr,,,iterationvars,,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,runattr,,,iterationvarsf,,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,runattr,,,measurement,,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,runattr,,,network,Aerocom,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,runattr,,,processid,25743,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,runattr,,,repetition,10,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,runattr,,,replication,#10,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,runattr,,,resultdir,results,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,runattr,,,runnumber,10,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,runattr,,,seedset,10,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,param,,,**.t,2s,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,param,,,**.k,20ms,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,param,,,**.X,0.05s,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,param,,,**.m,1s,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,param,,,**.tDistribution,"""exponential""",
Nonmonitoring-exponential-10-20210226-15:53:58-25743,param,,,**.operationMode,1,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,param,,,**.s,70 byte,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,param,,,**.dimPoolMax,10000,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,param,,,**.dimPoolMin,8000,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,param,,,**.nDL,16,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,param,,,**.nA,1,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,param,,,**.DLMaxCapacity,0,
Nonmonitoring-exponential-10-20210226-15:53:58-25743,param,,,**.trasmitting,false,
Nonmonitoring-exponential-11-20210226-15:54:01-25743,runattr,,,configname,Nonmonitoring-exponential,
