run,type,module,name,attrname,attrvalue,value
Exponential-capacity-100-20210226-17:24:23-14892,runattr,,,configname,Exponential-capacity,
Exponential-capacity-100-20210226-17:24:23-14892,runattr,,,datetime,20210226-17:24:23,
Exponential-capacity-100-20210226-17:24:23-14892,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-100-20210226-17:24:23-14892,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-100-20210226-17:24:23-14892,runattr,,,iterationvars,$0=1.5,
Exponential-capacity-100-20210226-17:24:23-14892,runattr,,,iterationvarsf,1.5-,
Exponential-capacity-100-20210226-17:24:23-14892,runattr,,,measurement,$0=1.5,
Exponential-capacity-100-20210226-17:24:23-14892,runattr,,,network,Aerocom,
Exponential-capacity-100-20210226-17:24:23-14892,runattr,,,processid,14892,
Exponential-capacity-100-20210226-17:24:23-14892,runattr,,,repetition,0,
Exponential-capacity-100-20210226-17:24:23-14892,runattr,,,replication,#0,
Exponential-capacity-100-20210226-17:24:23-14892,runattr,,,resultdir,results,
Exponential-capacity-100-20210226-17:24:23-14892,runattr,,,runnumber,100,
Exponential-capacity-100-20210226-17:24:23-14892,runattr,,,seedset,0,
Exponential-capacity-100-20210226-17:24:23-14892,param,,,**.t,2s,
Exponential-capacity-100-20210226-17:24:23-14892,param,,,**.k,35ms,
Exponential-capacity-100-20210226-17:24:23-14892,param,,,**.X,0.05s,
Exponential-capacity-100-20210226-17:24:23-14892,param,,,**.m,1.5s,
Exponential-capacity-100-20210226-17:24:23-14892,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-100-20210226-17:24:23-14892,param,,,**.operationMode,0,
Exponential-capacity-100-20210226-17:24:23-14892,param,,,**.s,70 byte,
Exponential-capacity-100-20210226-17:24:23-14892,param,,,**.dimPoolMax,10000,
Exponential-capacity-100-20210226-17:24:23-14892,param,,,**.dimPoolMin,8000,
Exponential-capacity-100-20210226-17:24:23-14892,param,,,**.nDL,16,
Exponential-capacity-100-20210226-17:24:23-14892,param,,,**.nA,1,
Exponential-capacity-100-20210226-17:24:23-14892,param,,,**.DLMaxCapacity,0,
Exponential-capacity-100-20210226-17:24:23-14892,param,,,**.trasmitting,false,
Exponential-capacity-101-20210226-17:24:23-14892,runattr,,,configname,Exponential-capacity,
Exponential-capacity-101-20210226-17:24:23-14892,runattr,,,datetime,20210226-17:24:23,
Exponential-capacity-101-20210226-17:24:23-14892,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-101-20210226-17:24:23-14892,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-101-20210226-17:24:23-14892,runattr,,,iterationvars,$0=1.5,
Exponential-capacity-101-20210226-17:24:23-14892,runattr,,,iterationvarsf,1.5-,
Exponential-capacity-101-20210226-17:24:23-14892,runattr,,,measurement,$0=1.5,
Exponential-capacity-101-20210226-17:24:23-14892,runattr,,,network,Aerocom,
Exponential-capacity-101-20210226-17:24:23-14892,runattr,,,processid,14892,
Exponential-capacity-101-20210226-17:24:23-14892,runattr,,,repetition,1,
Exponential-capacity-101-20210226-17:24:23-14892,runattr,,,replication,#1,
Exponential-capacity-101-20210226-17:24:23-14892,runattr,,,resultdir,results,
Exponential-capacity-101-20210226-17:24:23-14892,runattr,,,runnumber,101,
Exponential-capacity-101-20210226-17:24:23-14892,runattr,,,seedset,1,
Exponential-capacity-101-20210226-17:24:23-14892,param,,,**.t,2s,
Exponential-capacity-101-20210226-17:24:23-14892,param,,,**.k,35ms,
Exponential-capacity-101-20210226-17:24:23-14892,param,,,**.X,0.05s,
Exponential-capacity-101-20210226-17:24:23-14892,param,,,**.m,1.5s,
Exponential-capacity-101-20210226-17:24:23-14892,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-101-20210226-17:24:23-14892,param,,,**.operationMode,0,
Exponential-capacity-101-20210226-17:24:23-14892,param,,,**.s,70 byte,
Exponential-capacity-101-20210226-17:24:23-14892,param,,,**.dimPoolMax,10000,
Exponential-capacity-101-20210226-17:24:23-14892,param,,,**.dimPoolMin,8000,
Exponential-capacity-101-20210226-17:24:23-14892,param,,,**.nDL,16,
Exponential-capacity-101-20210226-17:24:23-14892,param,,,**.nA,1,
Exponential-capacity-101-20210226-17:24:23-14892,param,,,**.DLMaxCapacity,0,
Exponential-capacity-101-20210226-17:24:23-14892,param,,,**.trasmitting,false,
Exponential-capacity-110-20210226-17:24:27-14897,runattr,,,configname,Exponential-capacity,
Exponential-capacity-110-20210226-17:24:27-14897,runattr,,,datetime,20210226-17:24:27,
Exponential-capacity-110-20210226-17:24:27-14897,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-110-20210226-17:24:27-14897,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-110-20210226-17:24:27-14897,runattr,,,iterationvars,$0=1.5,
Exponential-capacity-110-20210226-17:24:27-14897,runattr,,,iterationvarsf,1.5-,
Exponential-capacity-110-20210226-17:24:27-14897,runattr,,,measurement,$0=1.5,
Exponential-capacity-110-20210226-17:24:27-14897,runattr,,,network,Aerocom,
Exponential-capacity-110-20210226-17:24:27-14897,runattr,,,processid,14897,
Exponential-capacity-110-20210226-17:24:27-14897,runattr,,,repetition,10,
Exponential-capacity-110-20210226-17:24:27-14897,runattr,,,replication,#10,
Exponential-capacity-110-20210226-17:24:27-14897,runattr,,,resultdir,results,
Exponential-capacity-110-20210226-17:24:27-14897,runattr,,,runnumber,110,
Exponential-capacity-110-20210226-17:24:27-14897,runattr,,,seedset,10,
Exponential-capacity-110-20210226-17:24:27-14897,param,,,**.t,2s,
Exponential-capacity-110-20210226-17:24:27-14897,param,,,**.k,35ms,
Exponential-capacity-110-20210226-17:24:27-14897,param,,,**.X,0.05s,
Exponential-capacity-110-20210226-17:24:27-14897,param,,,**.m,1.5s,
Exponential-capacity-110-20210226-17:24:27-14897,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-110-20210226-17:24:27-14897,param,,,**.operationMode,0,
Exponential-capacity-110-20210226-17:24:27-14897,param,,,**.s,70 byte,
Exponential-capacity-110-20210226-17:24:27-14897,param,,,**.dimPoolMax,10000,
Exponential-capacity-110-20210226-17:24:27-14897,param,,,**.dimPoolMin,8000,
Exponential-capacity-110-20210226-17:24:27-14897,param,,,**.nDL,16,
Exponential-capacity-110-20210226-17:24:27-14897,param,,,**.nA,1,
Exponential-capacity-110-20210226-17:24:27-14897,param,,,**.DLMaxCapacity,0,
Exponential-capacity-110-20210226-17:24:27-14897,param,,,**.trasmitting,false,
Exponential-capacity-111-20210226-17:24:32-14897,runattr,,,configname,Exponential-capacity,
Exponential-capacity-111-20210226-17:24:32-14897,runattr,,,datetime,20210226-17:24:32,
Exponential-capacity-111-20210226-17:24:32-14897,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-111-20210226-17:24:32-14897,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-111-20210226-17:24:32-14897,runattr,,,iterationvars,$0=1.5,
Exponential-capacity-111-20210226-17:24:32-14897,runattr,,,iterationvarsf,1.5-,
Exponential-capacity-111-20210226-17:24:32-14897,runattr,,,measurement,$0=1.5,
Exponential-capacity-111-20210226-17:24:32-14897,runattr,,,network,Aerocom,
Exponential-capacity-111-20210226-17:24:32-14897,runattr,,,processid,14897,
Exponential-capacity-111-20210226-17:24:32-14897,runattr,,,repetition,11,
Exponential-capacity-111-20210226-17:24:32-14897,runattr,,,replication,#11,
Exponential-capacity-111-20210226-17:24:32-14897,runattr,,,resultdir,results,
Exponential-capacity-111-20210226-17:24:32-14897,runattr,,,runnumber,111,
Exponential-capacity-111-20210226-17:24:32-14897,runattr,,,seedset,11,
Exponential-capacity-111-20210226-17:24:32-14897,param,,,**.t,2s,
Exponential-capacity-111-20210226-17:24:32-14897,param,,,**.k,35ms,
Exponential-capacity-111-20210226-17:24:32-14897,param,,,**.X,0.05s,
Exponential-capacity-111-20210226-17:24:32-14897,param,,,**.m,1.5s,
Exponential-capacity-111-20210226-17:24:32-14897,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-111-20210226-17:24:32-14897,param,,,**.operationMode,0,
Exponential-capacity-111-20210226-17:24:32-14897,param,,,**.s,70 byte,
Exponential-capacity-111-20210226-17:24:32-14897,param,,,**.dimPoolMax,10000,
Exponential-capacity-111-20210226-17:24:32-14897,param,,,**.dimPoolMin,8000,
Exponential-capacity-111-20210226-17:24:32-14897,param,,,**.nDL,16,
Exponential-capacity-111-20210226-17:24:32-14897,param,,,**.nA,1,
Exponential-capacity-111-20210226-17:24:32-14897,param,,,**.DLMaxCapacity,0,
Exponential-capacity-111-20210226-17:24:32-14897,param,,,**.trasmitting,false,
Exponential-capacity-112-20210226-17:24:21-14900,runattr,,,configname,Exponential-capacity,
Exponential-capacity-112-20210226-17:24:21-14900,runattr,,,datetime,20210226-17:24:21,
Exponential-capacity-112-20210226-17:24:21-14900,runattr,,,experiment,Exponential-capacity,
