run,type,module,name,attrname,attrvalue,value
Exponential-capacity-500-20210226-17:25:27-15636,runattr,,,configname,Exponential-capacity,
Exponential-capacity-500-20210226-17:25:27-15636,runattr,,,datetime,20210226-17:25:27,
Exponential-capacity-500-20210226-17:25:27-15636,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-500-20210226-17:25:27-15636,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-500-20210226-17:25:27-15636,runattr,,,iterationvars,$0=20,
Exponential-capacity-500-20210226-17:25:27-15636,runattr,,,iterationvarsf,20-,
Exponential-capacity-500-20210226-17:25:27-15636,runattr,,,measurement,$0=20,
Exponential-capacity-500-20210226-17:25:27-15636,runattr,,,network,Aerocom,
Exponential-capacity-500-20210226-17:25:27-15636,runattr,,,processid,15636,
Exponential-capacity-500-20210226-17:25:27-15636,runattr,,,repetition,0,
Exponential-capacity-500-20210226-17:25:27-15636,runattr,,,replication,#0,
Exponential-capacity-500-20210226-17:25:27-15636,runattr,,,resultdir,results,
Exponential-capacity-500-20210226-17:25:27-15636,runattr,,,runnumber,500,
Exponential-capacity-500-20210226-17:25:27-15636,runattr,,,seedset,0,
Exponential-capacity-500-20210226-17:25:27-15636,param,,,**.t,2s,
Exponential-capacity-500-20210226-17:25:27-15636,param,,,**.k,35ms,
Exponential-capacity-500-20210226-17:25:27-15636,param,,,**.X,0.05s,
Exponential-capacity-500-20210226-17:25:27-15636,param,,,**.m,20s,
Exponential-capacity-500-20210226-17:25:27-15636,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-500-20210226-17:25:27-15636,param,,,**.operationMode,0,
Exponential-capacity-500-20210226-17:25:27-15636,param,,,**.s,70 byte,
Exponential-capacity-500-20210226-17:25:27-15636,param,,,**.dimPoolMax,10000,
Exponential-capacity-500-20210226-17:25:27-15636,param,,,**.dimPoolMin,8000,
Exponential-capacity-500-20210226-17:25:27-15636,param,,,**.nDL,16,
Exponential-capacity-500-20210226-17:25:27-15636,param,,,**.nA,1,
Exponential-capacity-500-20210226-17:25:27-15636,param,,,**.DLMaxCapacity,0,
Exponential-capacity-500-20210226-17:25:27-15636,param,,,**.trasmitting,false,
Exponential-capacity-501-20210226-17:25:27-15636,runattr,,,configname,Exponential-capacity,
