run,type,module,name,attrname,attrvalue,value
Lognormal-capacity-200-20210226-17:24:46-15187,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-200-20210226-17:24:46-15187,runattr,,,datetime,20210226-17:24:46,
Lognormal-capacity-200-20210226-17:24:46-15187,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-200-20210226-17:24:46-15187,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-200-20210226-17:24:46-15187,runattr,,,iterationvars,$0=1.8,
Lognormal-capacity-200-20210226-17:24:46-15187,runattr,,,iterationvarsf,1.8-,
Lognormal-capacity-200-20210226-17:24:46-15187,runattr,,,measurement,$0=1.8,
Lognormal-capacity-200-20210226-17:24:46-15187,runattr,,,network,Aerocom,
Lognormal-capacity-200-20210226-17:24:46-15187,runattr,,,processid,15187,
Lognormal-capacity-200-20210226-17:24:46-15187,runattr,,,repetition,0,
Lognormal-capacity-200-20210226-17:24:46-15187,runattr,,,replication,#0,
Lognormal-capacity-200-20210226-17:24:46-15187,runattr,,,resultdir,results,
Lognormal-capacity-200-20210226-17:24:46-15187,runattr,,,runnumber,200,
Lognormal-capacity-200-20210226-17:24:46-15187,runattr,,,seedset,0,
Lognormal-capacity-200-20210226-17:24:46-15187,param,,,**.t,2s,
Lognormal-capacity-200-20210226-17:24:46-15187,param,,,**.k,35ms,
Lognormal-capacity-200-20210226-17:24:46-15187,param,,,**.X,0.05s,
Lognormal-capacity-200-20210226-17:24:46-15187,param,,,**.m,1.8s,
Lognormal-capacity-200-20210226-17:24:46-15187,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-200-20210226-17:24:46-15187,param,,,**.operationMode,0,
Lognormal-capacity-200-20210226-17:24:46-15187,param,,,**.s,70 byte,
Lognormal-capacity-200-20210226-17:24:46-15187,param,,,**.dimPoolMax,10000,
Lognormal-capacity-200-20210226-17:24:46-15187,param,,,**.dimPoolMin,8000,
Lognormal-capacity-200-20210226-17:24:46-15187,param,,,**.nDL,16,
Lognormal-capacity-200-20210226-17:24:46-15187,param,,,**.nA,1,
Lognormal-capacity-200-20210226-17:24:46-15187,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-200-20210226-17:24:46-15187,param,,,**.trasmitting,false,
Lognormal-capacity-201-20210226-17:24:48-15187,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-201-20210226-17:24:48-15187,runattr,,,datetime,20210226-17:24:48,
Lognormal-capacity-201-20210226-17:24:48-15187,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-201-20210226-17:24:48-15187,runattr,,,inifile,../simulations/aerocom.ini,
