run,type,module,name,attrname,attrvalue,value
Lognormal-capacity-400-20210226-17:25:20-15564,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-400-20210226-17:25:20-15564,runattr,,,datetime,20210226-17:25:20,
Lognormal-capacity-400-20210226-17:25:20-15564,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-400-20210226-17:25:20-15564,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-400-20210226-17:25:20-15564,runattr,,,iterationvars,$0=12,
Lognormal-capacity-400-20210226-17:25:20-15564,runattr,,,iterationvarsf,12-,
Lognormal-capacity-400-20210226-17:25:20-15564,runattr,,,measurement,$0=12,
Lognormal-capacity-400-20210226-17:25:20-15564,runattr,,,network,Aerocom,
Lognormal-capacity-400-20210226-17:25:20-15564,runattr,,,processid,15564,
Lognormal-capacity-400-20210226-17:25:20-15564,runattr,,,repetition,0,
Lognormal-capacity-400-20210226-17:25:20-15564,runattr,,,replication,#0,
Lognormal-capacity-400-20210226-17:25:20-15564,runattr,,,resultdir,results,
Lognormal-capacity-400-20210226-17:25:20-15564,runattr,,,runnumber,400,
Lognormal-capacity-400-20210226-17:25:20-15564,runattr,,,seedset,0,
Lognormal-capacity-400-20210226-17:25:20-15564,param,,,**.t,2s,
Lognormal-capacity-400-20210226-17:25:20-15564,param,,,**.k,35ms,
Lognormal-capacity-400-20210226-17:25:20-15564,param,,,**.X,0.05s,
Lognormal-capacity-400-20210226-17:25:20-15564,param,,,**.m,12s,
Lognormal-capacity-400-20210226-17:25:20-15564,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-400-20210226-17:25:20-15564,param,,,**.operationMode,0,
Lognormal-capacity-400-20210226-17:25:20-15564,param,,,**.s,70 byte,
Lognormal-capacity-400-20210226-17:25:20-15564,param,,,**.dimPoolMax,10000,
Lognormal-capacity-400-20210226-17:25:20-15564,param,,,**.dimPoolMin,8000,
Lognormal-capacity-400-20210226-17:25:20-15564,param,,,**.nDL,16,
Lognormal-capacity-400-20210226-17:25:20-15564,param,,,**.nA,1,
Lognormal-capacity-400-20210226-17:25:20-15564,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-400-20210226-17:25:20-15564,param,,,**.trasmitting,false,
Lognormal-capacity-401-20210226-17:25:21-15564,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-401-20210226-17:25:21-15564,runattr,,,datetime,20210226-17:25:21,
Lognormal-capacity-401-20210226-17:25:21-15564,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-401-20210226-17:25:21-15564,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-401-20210226-17:25:21-15564,runattr,,,iterationvars,$0=12,
Lognormal-capacity-401-20210226-17:25:21-15564,runattr,,,iterationvarsf,12-,
Lognormal-capacity-401-20210226-17:25:21-15564,runattr,,,measurement,$0=12,
Lognormal-capacity-401-20210226-17:25:21-15564,runattr,,,network,Aerocom,
Lognormal-capacity-401-20210226-17:25:21-15564,runattr,,,processid,15564,
Lognormal-capacity-401-20210226-17:25:21-15564,runattr,,,repetition,1,
Lognormal-capacity-401-20210226-17:25:21-15564,runattr,,,replication,#1,
Lognormal-capacity-401-20210226-17:25:21-15564,runattr,,,resultdir,results,
Lognormal-capacity-401-20210226-17:25:21-15564,runattr,,,runnumber,401,
Lognormal-capacity-401-20210226-17:25:21-15564,runattr,,,seedset,1,
Lognormal-capacity-401-20210226-17:25:21-15564,param,,,**.t,2s,
Lognormal-capacity-401-20210226-17:25:21-15564,param,,,**.k,35ms,
Lognormal-capacity-401-20210226-17:25:21-15564,param,,,**.X,0.05s,
Lognormal-capacity-401-20210226-17:25:21-15564,param,,,**.m,12s,
Lognormal-capacity-401-20210226-17:25:21-15564,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-401-20210226-17:25:21-15564,param,,,**.operationMode,0,
Lognormal-capacity-401-20210226-17:25:21-15564,param,,,**.s,70 byte,
Lognormal-capacity-401-20210226-17:25:21-15564,param,,,**.dimPoolMax,10000,
Lognormal-capacity-401-20210226-17:25:21-15564,param,,,**.dimPoolMin,8000,
Lognormal-capacity-401-20210226-17:25:21-15564,param,,,**.nDL,16,
Lognormal-capacity-401-20210226-17:25:21-15564,param,,,**.nA,1,
Lognormal-capacity-401-20210226-17:25:21-15564,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-401-20210226-17:25:21-15564,param,,,**.trasmitting,false,
Lognormal-capacity-410-20210226-17:25:22-15574,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-410-20210226-17:25:22-15574,runattr,,,datetime,20210226-17:25:22,
Lognormal-capacity-410-20210226-17:25:22-15574,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-410-20210226-17:25:22-15574,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-410-20210226-17:25:22-15574,runattr,,,iterationvars,$0=12,
Lognormal-capacity-410-20210226-17:25:22-15574,runattr,,,iterationvarsf,12-,
Lognormal-capacity-410-20210226-17:25:22-15574,runattr,,,measurement,$0=12,
Lognormal-capacity-410-20210226-17:25:22-15574,runattr,,,network,Aerocom,
Lognormal-capacity-410-20210226-17:25:22-15574,runattr,,,processid,15574,
Lognormal-capacity-410-20210226-17:25:22-15574,runattr,,,repetition,10,
Lognormal-capacity-410-20210226-17:25:22-15574,runattr,,,replication,#10,
Lognormal-capacity-410-20210226-17:25:22-15574,runattr,,,resultdir,results,
Lognormal-capacity-410-20210226-17:25:22-15574,runattr,,,runnumber,410,
Lognormal-capacity-410-20210226-17:25:22-15574,runattr,,,seedset,10,
Lognormal-capacity-410-20210226-17:25:22-15574,param,,,**.t,2s,
