run,type,module,name,attrname,attrvalue,value
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,runattr,,,datetime,20210226-17:24:08,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,runattr,,,iterationvars,,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,runattr,,,iterationvarsf,,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,runattr,,,measurement,,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,runattr,,,processid,14468,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,runattr,,,repetition,0,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,runattr,,,replication,#0,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,runattr,,,resultdir,results,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,runattr,,,runnumber,0,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,runattr,,,seedset,0,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,param,,,**.t,2s,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,param,,,**.k,35ms,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,param,,,**.X,0.05s,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,param,,,**.m,1s,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,param,,,**.operationMode,1,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,param,,,**.s,70 byte,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,param,,,**.nDL,16,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,param,,,**.nA,1,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-0-20210226-17:24:08-14468,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-1-20210226-17:24:08-14468,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-1-20210226-17:24:08-14468,runattr,,,datetime,20210226-17:24:08,
Nonmonitoring-lognormal-1-20210226-17:24:08-14468,runattr,,,experiment,Nonmonitoring-lognormal,
