run,type,module,name,attrname,attrvalue,value
Exponential-capacity-70-20210302-19:41:57-5957,runattr,,,configname,Exponential-capacity,
Exponential-capacity-70-20210302-19:41:57-5957,runattr,,,datetime,20210302-19:41:57,
Exponential-capacity-70-20210302-19:41:57-5957,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-70-20210302-19:41:57-5957,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-70-20210302-19:41:57-5957,runattr,,,iterationvars,$0=2,
Exponential-capacity-70-20210302-19:41:57-5957,runattr,,,iterationvarsf,2-,
Exponential-capacity-70-20210302-19:41:57-5957,runattr,,,measurement,$0=2,
Exponential-capacity-70-20210302-19:41:57-5957,runattr,,,network,Aerocom,
Exponential-capacity-70-20210302-19:41:57-5957,runattr,,,processid,5957,
Exponential-capacity-70-20210302-19:41:57-5957,runattr,,,repetition,10,
Exponential-capacity-70-20210302-19:41:57-5957,runattr,,,replication,#10,
Exponential-capacity-70-20210302-19:41:57-5957,runattr,,,resultdir,results,
Exponential-capacity-70-20210302-19:41:57-5957,runattr,,,runnumber,70,
Exponential-capacity-70-20210302-19:41:57-5957,runattr,,,seedset,10,
Exponential-capacity-70-20210302-19:41:57-5957,param,,,**.t,2s,
Exponential-capacity-70-20210302-19:41:57-5957,param,,,**.k,10ms,
Exponential-capacity-70-20210302-19:41:57-5957,param,,,**.X,2s,
Exponential-capacity-70-20210302-19:41:57-5957,param,,,**.m,1.5s,
Exponential-capacity-70-20210302-19:41:57-5957,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-70-20210302-19:41:57-5957,param,,,**.operationMode,0,
Exponential-capacity-70-20210302-19:41:57-5957,param,,,**.s,70 byte,
Exponential-capacity-70-20210302-19:41:57-5957,param,,,**.dimPoolMax,10000,
Exponential-capacity-70-20210302-19:41:57-5957,param,,,**.dimPoolMin,8000,
Exponential-capacity-70-20210302-19:41:57-5957,param,,,**.nDL,2,
Exponential-capacity-70-20210302-19:41:57-5957,param,,,**.nA,1,
Exponential-capacity-70-20210302-19:41:57-5957,param,,,**.DLMaxCapacity,0,
Exponential-capacity-70-20210302-19:41:57-5957,param,,,**.trasmitting,false,
Exponential-capacity-60-20210302-19:41:46-5873,runattr,,,configname,Exponential-capacity,
Exponential-capacity-60-20210302-19:41:46-5873,runattr,,,datetime,20210302-19:41:46,
Exponential-capacity-60-20210302-19:41:46-5873,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-60-20210302-19:41:46-5873,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-60-20210302-19:41:46-5873,runattr,,,iterationvars,$0=2,
Exponential-capacity-60-20210302-19:41:46-5873,runattr,,,iterationvarsf,2-,
Exponential-capacity-60-20210302-19:41:46-5873,runattr,,,measurement,$0=2,
Exponential-capacity-60-20210302-19:41:46-5873,runattr,,,network,Aerocom,
Exponential-capacity-60-20210302-19:41:46-5873,runattr,,,processid,5873,
Exponential-capacity-60-20210302-19:41:46-5873,runattr,,,repetition,0,
Exponential-capacity-60-20210302-19:41:46-5873,runattr,,,replication,#0,
Exponential-capacity-60-20210302-19:41:46-5873,runattr,,,resultdir,results,
Exponential-capacity-60-20210302-19:41:46-5873,runattr,,,runnumber,60,
Exponential-capacity-60-20210302-19:41:46-5873,runattr,,,seedset,0,
Exponential-capacity-60-20210302-19:41:46-5873,param,,,**.t,2s,
Exponential-capacity-60-20210302-19:41:46-5873,param,,,**.k,10ms,
Exponential-capacity-60-20210302-19:41:46-5873,param,,,**.X,2s,
Exponential-capacity-60-20210302-19:41:46-5873,param,,,**.m,1.5s,
Exponential-capacity-60-20210302-19:41:46-5873,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-60-20210302-19:41:46-5873,param,,,**.operationMode,0,
Exponential-capacity-60-20210302-19:41:46-5873,param,,,**.s,70 byte,
Exponential-capacity-60-20210302-19:41:46-5873,param,,,**.dimPoolMax,10000,
Exponential-capacity-60-20210302-19:41:46-5873,param,,,**.dimPoolMin,8000,
Exponential-capacity-60-20210302-19:41:46-5873,param,,,**.nDL,2,
Exponential-capacity-60-20210302-19:41:46-5873,param,,,**.nA,1,
Exponential-capacity-60-20210302-19:41:46-5873,param,,,**.DLMaxCapacity,0,
Exponential-capacity-60-20210302-19:41:46-5873,param,,,**.trasmitting,false,
Exponential-capacity-61-20210302-19:41:47-5873,runattr,,,configname,Exponential-capacity,
Exponential-capacity-61-20210302-19:41:47-5873,runattr,,,datetime,20210302-19:41:47,
Exponential-capacity-61-20210302-19:41:47-5873,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-61-20210302-19:41:47-5873,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-61-20210302-19:41:47-5873,runattr,,,iterationvars,$0=2,
Exponential-capacity-61-20210302-19:41:47-5873,runattr,,,iterationvarsf,2-,
Exponential-capacity-61-20210302-19:41:47-5873,runattr,,,measurement,$0=2,
Exponential-capacity-61-20210302-19:41:47-5873,runattr,,,network,Aerocom,
Exponential-capacity-61-20210302-19:41:47-5873,runattr,,,processid,5873,
Exponential-capacity-61-20210302-19:41:47-5873,runattr,,,repetition,1,
Exponential-capacity-61-20210302-19:41:47-5873,runattr,,,replication,#1,
Exponential-capacity-61-20210302-19:41:47-5873,runattr,,,resultdir,results,
Exponential-capacity-61-20210302-19:41:47-5873,runattr,,,runnumber,61,
Exponential-capacity-61-20210302-19:41:47-5873,runattr,,,seedset,1,
Exponential-capacity-61-20210302-19:41:47-5873,param,,,**.t,2s,
Exponential-capacity-61-20210302-19:41:47-5873,param,,,**.k,10ms,
Exponential-capacity-61-20210302-19:41:47-5873,param,,,**.X,2s,
Exponential-capacity-61-20210302-19:41:47-5873,param,,,**.m,1.5s,
Exponential-capacity-61-20210302-19:41:47-5873,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-61-20210302-19:41:47-5873,param,,,**.operationMode,0,
Exponential-capacity-61-20210302-19:41:47-5873,param,,,**.s,70 byte,
Exponential-capacity-61-20210302-19:41:47-5873,param,,,**.dimPoolMax,10000,
Exponential-capacity-61-20210302-19:41:47-5873,param,,,**.dimPoolMin,8000,
Exponential-capacity-61-20210302-19:41:47-5873,param,,,**.nDL,2,
Exponential-capacity-61-20210302-19:41:47-5873,param,,,**.nA,1,
Exponential-capacity-61-20210302-19:41:47-5873,param,,,**.DLMaxCapacity,0,
Exponential-capacity-61-20210302-19:41:47-5873,param,,,**.trasmitting,false,
Exponential-capacity-71-20210302-19:42:03-5957,runattr,,,configname,Exponential-capacity,
Exponential-capacity-71-20210302-19:42:03-5957,runattr,,,datetime,20210302-19:42:03,
Exponential-capacity-71-20210302-19:42:03-5957,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-71-20210302-19:42:03-5957,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-71-20210302-19:42:03-5957,runattr,,,iterationvars,$0=2,
Exponential-capacity-71-20210302-19:42:03-5957,runattr,,,iterationvarsf,2-,
Exponential-capacity-71-20210302-19:42:03-5957,runattr,,,measurement,$0=2,
Exponential-capacity-71-20210302-19:42:03-5957,runattr,,,network,Aerocom,
Exponential-capacity-71-20210302-19:42:03-5957,runattr,,,processid,5957,
Exponential-capacity-71-20210302-19:42:03-5957,runattr,,,repetition,11,
Exponential-capacity-71-20210302-19:42:03-5957,runattr,,,replication,#11,
Exponential-capacity-71-20210302-19:42:03-5957,runattr,,,resultdir,results,
Exponential-capacity-71-20210302-19:42:03-5957,runattr,,,runnumber,71,
Exponential-capacity-71-20210302-19:42:03-5957,runattr,,,seedset,11,
Exponential-capacity-71-20210302-19:42:03-5957,param,,,**.t,2s,
Exponential-capacity-71-20210302-19:42:03-5957,param,,,**.k,10ms,
Exponential-capacity-71-20210302-19:42:03-5957,param,,,**.X,2s,
Exponential-capacity-71-20210302-19:42:03-5957,param,,,**.m,1.5s,
Exponential-capacity-71-20210302-19:42:03-5957,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-71-20210302-19:42:03-5957,param,,,**.operationMode,0,
Exponential-capacity-71-20210302-19:42:03-5957,param,,,**.s,70 byte,
