run,type,module,name,attrname,attrvalue,value
Nonmonitoring-exponential-110-20210227-18:38:50-28967,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,runattr,,,datetime,20210227-18:38:50,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,runattr,,,experiment,Nonmonitoring-exponential,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,runattr,,,inifile,aerocom.ini,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,runattr,,,iterationvars,$0=2,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,runattr,,,iterationvarsf,2-,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,runattr,,,measurement,$0=2,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,runattr,,,network,Aerocom,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,runattr,,,processid,28967,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,runattr,,,repetition,10,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,runattr,,,replication,#10,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,runattr,,,resultdir,results,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,runattr,,,runnumber,110,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,runattr,,,seedset,10,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,param,,,**.t,2s,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,param,,,**.k,20ms,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,param,,,**.X,0.05s,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,param,,,**.m,3s,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,param,,,**.tDistribution,"""exponential""",
Nonmonitoring-exponential-110-20210227-18:38:50-28967,param,,,**.operationMode,1,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,param,,,**.s,70 byte,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,param,,,**.dimPoolMax,10000,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,param,,,**.dimPoolMin,8000,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,param,,,**.nDL,16,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,param,,,**.nA,2,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,param,,,**.DLMaxCapacity,0,
Nonmonitoring-exponential-110-20210227-18:38:50-28967,param,,,**.trasmitting,false,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,runattr,,,datetime,20210227-18:38:48,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,runattr,,,experiment,Nonmonitoring-exponential,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,runattr,,,inifile,aerocom.ini,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,runattr,,,iterationvars,$0=2,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,runattr,,,iterationvarsf,2-,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,runattr,,,measurement,$0=2,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,runattr,,,network,Aerocom,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,runattr,,,processid,28968,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,runattr,,,repetition,0,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,runattr,,,replication,#0,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,runattr,,,resultdir,results,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,runattr,,,runnumber,100,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,runattr,,,seedset,0,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,param,,,**.t,2s,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,param,,,**.k,20ms,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,param,,,**.X,0.05s,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,param,,,**.m,3s,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,param,,,**.tDistribution,"""exponential""",
Nonmonitoring-exponential-100-20210227-18:38:48-28968,param,,,**.operationMode,1,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,param,,,**.s,70 byte,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,param,,,**.dimPoolMax,10000,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,param,,,**.dimPoolMin,8000,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,param,,,**.nDL,16,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,param,,,**.nA,2,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,param,,,**.DLMaxCapacity,0,
Nonmonitoring-exponential-100-20210227-18:38:48-28968,param,,,**.trasmitting,false,
Nonmonitoring-exponential-101-20210227-18:38:48-28968,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-101-20210227-18:38:48-28968,runattr,,,datetime,20210227-18:38:48,
Nonmonitoring-exponential-101-20210227-18:38:48-28968,runattr,,,experiment,Nonmonitoring-exponential,
Nonmonitoring-exponential-101-20210227-18:38:48-28968,runattr,,,inifile,aerocom.ini,
Nonmonitoring-exponential-101-20210227-18:38:48-28968,runattr,,,iterationvars,$0=2,
Nonmonitoring-exponential-101-20210227-18:38:48-28968,runattr,,,iterationvarsf,2-,
Nonmonitoring-exponential-101-20210227-18:38:48-28968,runattr,,,measurement,$0=2,
Nonmonitoring-exponential-101-20210227-18:38:48-28968,runattr,,,network,Aerocom,
Nonmonitoring-exponential-101-20210227-18:38:48-28968,runattr,,,processid,28968,
Nonmonitoring-exponential-101-20210227-18:38:48-28968,runattr,,,repetition,1,
