run,type,module,name,attrname,attrvalue,value
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,runattr,,,datetime,20210227-18:38:50,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,runattr,,,iterationvars,$0=1,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,runattr,,,iterationvarsf,1-,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,runattr,,,measurement,$0=1,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,runattr,,,processid,29092,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,runattr,,,repetition,0,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,runattr,,,replication,#0,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,runattr,,,resultdir,results,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,runattr,,,runnumber,0,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,runattr,,,seedset,0,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,param,,,**.t,2s,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,param,,,**.k,20ms,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,param,,,**.X,0.05s,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,param,,,**.m,3s,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,param,,,**.operationMode,1,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,param,,,**.s,70 byte,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,param,,,**.nDL,16,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,param,,,**.nA,1,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-0-20210227-18:38:50-29092,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-1-20210227-18:38:51-29092,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-1-20210227-18:38:51-29092,runattr,,,datetime,20210227-18:38:51,
Nonmonitoring-lognormal-1-20210227-18:38:51-29092,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-1-20210227-18:38:51-29092,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-1-20210227-18:38:51-29092,runattr,,,iterationvars,$0=1,
