run,type,module,name,attrname,attrvalue,value
Exponential-capacity-200-20210227-18:27:31-24322,runattr,,,configname,Exponential-capacity,
Exponential-capacity-200-20210227-18:27:31-24322,runattr,,,datetime,20210227-18:27:31,
Exponential-capacity-200-20210227-18:27:31-24322,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-200-20210227-18:27:31-24322,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-200-20210227-18:27:31-24322,runattr,,,iterationvars,$0=16,
Exponential-capacity-200-20210227-18:27:31-24322,runattr,,,iterationvarsf,16-,
Exponential-capacity-200-20210227-18:27:31-24322,runattr,,,measurement,$0=16,
Exponential-capacity-200-20210227-18:27:31-24322,runattr,,,network,Aerocom,
Exponential-capacity-200-20210227-18:27:31-24322,runattr,,,processid,24322,
Exponential-capacity-200-20210227-18:27:31-24322,runattr,,,repetition,0,
Exponential-capacity-200-20210227-18:27:31-24322,runattr,,,replication,#0,
Exponential-capacity-200-20210227-18:27:31-24322,runattr,,,resultdir,results,
Exponential-capacity-200-20210227-18:27:31-24322,runattr,,,runnumber,200,
Exponential-capacity-200-20210227-18:27:31-24322,runattr,,,seedset,0,
Exponential-capacity-200-20210227-18:27:31-24322,param,,,**.t,2s,
Exponential-capacity-200-20210227-18:27:31-24322,param,,,**.k,20ms,
Exponential-capacity-200-20210227-18:27:31-24322,param,,,**.X,0.05s,
Exponential-capacity-200-20210227-18:27:31-24322,param,,,**.m,3s,
Exponential-capacity-200-20210227-18:27:31-24322,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-200-20210227-18:27:31-24322,param,,,**.operationMode,0,
Exponential-capacity-200-20210227-18:27:31-24322,param,,,**.s,70 byte,
Exponential-capacity-200-20210227-18:27:31-24322,param,,,**.dimPoolMax,10000,
Exponential-capacity-200-20210227-18:27:31-24322,param,,,**.dimPoolMin,8000,
Exponential-capacity-200-20210227-18:27:31-24322,param,,,**.nDL,16,
Exponential-capacity-200-20210227-18:27:31-24322,param,,,**.nA,1,
Exponential-capacity-200-20210227-18:27:31-24322,param,,,**.DLMaxCapacity,0,
Exponential-capacity-200-20210227-18:27:31-24322,param,,,**.trasmitting,false,
Exponential-capacity-201-20210227-18:27:31-24322,runattr,,,configname,Exponential-capacity,
Exponential-capacity-201-20210227-18:27:31-24322,runattr,,,datetime,20210227-18:27:31,
Exponential-capacity-201-20210227-18:27:31-24322,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-201-20210227-18:27:31-24322,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-201-20210227-18:27:31-24322,runattr,,,iterationvars,$0=16,
Exponential-capacity-201-20210227-18:27:31-24322,runattr,,,iterationvarsf,16-,
Exponential-capacity-201-20210227-18:27:31-24322,runattr,,,measurement,$0=16,
Exponential-capacity-201-20210227-18:27:31-24322,runattr,,,network,Aerocom,
