run,type,module,name,attrname,attrvalue,value
Lognormal-capacity-300-20210227-18:10:33-15442,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-300-20210227-18:10:33-15442,runattr,,,datetime,20210227-18:10:33,
Lognormal-capacity-300-20210227-18:10:33-15442,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-300-20210227-18:10:33-15442,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-300-20210227-18:10:33-15442,runattr,,,iterationvars,$0=50,
Lognormal-capacity-300-20210227-18:10:33-15442,runattr,,,iterationvarsf,50-,
Lognormal-capacity-300-20210227-18:10:33-15442,runattr,,,measurement,$0=50,
Lognormal-capacity-300-20210227-18:10:33-15442,runattr,,,network,Aerocom,
Lognormal-capacity-300-20210227-18:10:33-15442,runattr,,,processid,15442,
Lognormal-capacity-300-20210227-18:10:33-15442,runattr,,,repetition,0,
Lognormal-capacity-300-20210227-18:10:33-15442,runattr,,,replication,#0,
Lognormal-capacity-300-20210227-18:10:33-15442,runattr,,,resultdir,results,
Lognormal-capacity-300-20210227-18:10:33-15442,runattr,,,runnumber,300,
Lognormal-capacity-300-20210227-18:10:33-15442,runattr,,,seedset,0,
Lognormal-capacity-300-20210227-18:10:33-15442,param,,,**.t,2s,
Lognormal-capacity-300-20210227-18:10:33-15442,param,,,**.k,20ms,
Lognormal-capacity-300-20210227-18:10:33-15442,param,,,**.X,0.05s,
Lognormal-capacity-300-20210227-18:10:33-15442,param,,,**.m,1s,
Lognormal-capacity-300-20210227-18:10:33-15442,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-300-20210227-18:10:33-15442,param,,,**.operationMode,0,
Lognormal-capacity-300-20210227-18:10:33-15442,param,,,**.s,70 byte,
Lognormal-capacity-300-20210227-18:10:33-15442,param,,,**.dimPoolMax,10000,
Lognormal-capacity-300-20210227-18:10:33-15442,param,,,**.dimPoolMin,8000,
Lognormal-capacity-300-20210227-18:10:33-15442,param,,,**.nDL,50,
Lognormal-capacity-300-20210227-18:10:33-15442,param,,,**.nA,1,
Lognormal-capacity-300-20210227-18:10:33-15442,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-300-20210227-18:10:33-15442,param,,,**.trasmitting,false,
Lognormal-capacity-310-20210227-18:10:36-15494,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-310-20210227-18:10:36-15494,runattr,,,datetime,20210227-18:10:36,
Lognormal-capacity-310-20210227-18:10:36-15494,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-310-20210227-18:10:36-15494,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-310-20210227-18:10:36-15494,runattr,,,iterationvars,$0=50,
Lognormal-capacity-310-20210227-18:10:36-15494,runattr,,,iterationvarsf,50-,
Lognormal-capacity-310-20210227-18:10:36-15494,runattr,,,measurement,$0=50,
Lognormal-capacity-310-20210227-18:10:36-15494,runattr,,,network,Aerocom,
Lognormal-capacity-310-20210227-18:10:36-15494,runattr,,,processid,15494,
Lognormal-capacity-310-20210227-18:10:36-15494,runattr,,,repetition,10,
Lognormal-capacity-310-20210227-18:10:36-15494,runattr,,,replication,#10,
Lognormal-capacity-310-20210227-18:10:36-15494,runattr,,,resultdir,results,
Lognormal-capacity-310-20210227-18:10:36-15494,runattr,,,runnumber,310,
Lognormal-capacity-310-20210227-18:10:36-15494,runattr,,,seedset,10,
Lognormal-capacity-310-20210227-18:10:36-15494,param,,,**.t,2s,
Lognormal-capacity-310-20210227-18:10:36-15494,param,,,**.k,20ms,
Lognormal-capacity-310-20210227-18:10:36-15494,param,,,**.X,0.05s,
Lognormal-capacity-310-20210227-18:10:36-15494,param,,,**.m,1s,
Lognormal-capacity-310-20210227-18:10:36-15494,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-310-20210227-18:10:36-15494,param,,,**.operationMode,0,
Lognormal-capacity-310-20210227-18:10:36-15494,param,,,**.s,70 byte,
Lognormal-capacity-310-20210227-18:10:36-15494,param,,,**.dimPoolMax,10000,
Lognormal-capacity-310-20210227-18:10:36-15494,param,,,**.dimPoolMin,8000,
Lognormal-capacity-310-20210227-18:10:36-15494,param,,,**.nDL,50,
Lognormal-capacity-310-20210227-18:10:36-15494,param,,,**.nA,1,
Lognormal-capacity-310-20210227-18:10:36-15494,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-310-20210227-18:10:36-15494,param,,,**.trasmitting,false,
Lognormal-capacity-301-20210227-18:10:33-15442,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-301-20210227-18:10:33-15442,runattr,,,datetime,20210227-18:10:33,
Lognormal-capacity-301-20210227-18:10:33-15442,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-301-20210227-18:10:33-15442,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-301-20210227-18:10:33-15442,runattr,,,iterationvars,$0=50,
Lognormal-capacity-301-20210227-18:10:33-15442,runattr,,,iterationvarsf,50-,
Lognormal-capacity-301-20210227-18:10:33-15442,runattr,,,measurement,$0=50,
Lognormal-capacity-301-20210227-18:10:33-15442,runattr,,,network,Aerocom,
Lognormal-capacity-301-20210227-18:10:33-15442,runattr,,,processid,15442,
Lognormal-capacity-301-20210227-18:10:33-15442,runattr,,,repetition,1,
Lognormal-capacity-301-20210227-18:10:33-15442,runattr,,,replication,#1,
Lognormal-capacity-301-20210227-18:10:33-15442,runattr,,,resultdir,results,
Lognormal-capacity-301-20210227-18:10:33-15442,runattr,,,runnumber,301,
Lognormal-capacity-301-20210227-18:10:33-15442,runattr,,,seedset,1,
Lognormal-capacity-301-20210227-18:10:33-15442,param,,,**.t,2s,
Lognormal-capacity-301-20210227-18:10:33-15442,param,,,**.k,20ms,
Lognormal-capacity-301-20210227-18:10:33-15442,param,,,**.X,0.05s,
Lognormal-capacity-301-20210227-18:10:33-15442,param,,,**.m,1s,
Lognormal-capacity-301-20210227-18:10:33-15442,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-301-20210227-18:10:33-15442,param,,,**.operationMode,0,
Lognormal-capacity-301-20210227-18:10:33-15442,param,,,**.s,70 byte,
Lognormal-capacity-301-20210227-18:10:33-15442,param,,,**.dimPoolMax,10000,
Lognormal-capacity-301-20210227-18:10:33-15442,param,,,**.dimPoolMin,8000,
Lognormal-capacity-301-20210227-18:10:33-15442,param,,,**.nDL,50,
Lognormal-capacity-301-20210227-18:10:33-15442,param,,,**.nA,1,
Lognormal-capacity-301-20210227-18:10:33-15442,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-301-20210227-18:10:33-15442,param,,,**.trasmitting,false,
Lognormal-capacity-311-20210227-18:10:36-15494,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-311-20210227-18:10:36-15494,runattr,,,datetime,20210227-18:10:36,
Lognormal-capacity-311-20210227-18:10:36-15494,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-311-20210227-18:10:36-15494,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-311-20210227-18:10:36-15494,runattr,,,iterationvars,$0=50,
Lognormal-capacity-311-20210227-18:10:36-15494,runattr,,,iterationvarsf,50-,
Lognormal-capacity-311-20210227-18:10:36-15494,runattr,,,measurement,$0=50,
Lognormal-capacity-311-20210227-18:10:36-15494,runattr,,,network,Aerocom,
Lognormal-capacity-311-20210227-18:10:36-15494,runattr,,,processid,15494,
Lognormal-capacity-311-20210227-18:10:36-15494,runattr,,,repetition,11,
Lognormal-capacity-311-20210227-18:10:36-15494,runattr,,,replication,#11,
Lognormal-capacity-311-20210227-18:10:36-15494,runattr,,,resultdir,results,
Lognormal-capacity-311-20210227-18:10:36-15494,runattr,,,runnumber,311,
Lognormal-capacity-311-20210227-18:10:36-15494,runattr,,,seedset,11,
Lognormal-capacity-311-20210227-18:10:36-15494,param,,,**.t,2s,
Lognormal-capacity-311-20210227-18:10:36-15494,param,,,**.k,20ms,
Lognormal-capacity-311-20210227-18:10:36-15494,param,,,**.X,0.05s,
Lognormal-capacity-311-20210227-18:10:36-15494,param,,,**.m,1s,
Lognormal-capacity-311-20210227-18:10:36-15494,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-311-20210227-18:10:36-15494,param,,,**.operationMode,0,
Lognormal-capacity-311-20210227-18:10:36-15494,param,,,**.s,70 byte,
Lognormal-capacity-311-20210227-18:10:36-15494,param,,,**.dimPoolMax,10000,
Lognormal-capacity-311-20210227-18:10:36-15494,param,,,**.dimPoolMin,8000,
