run,type,module,name,attrname,attrvalue,value
Nonmonitoring-exponential-111-20210227-18:27:28-24102,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,runattr,,,datetime,20210227-18:27:28,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,runattr,,,experiment,Nonmonitoring-exponential,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,runattr,,,inifile,aerocom.ini,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,runattr,,,iterationvars,$0=2,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,runattr,,,iterationvarsf,2-,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,runattr,,,measurement,$0=2,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,runattr,,,network,Aerocom,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,runattr,,,processid,24102,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,runattr,,,repetition,11,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,runattr,,,replication,#11,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,runattr,,,resultdir,results,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,runattr,,,runnumber,111,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,runattr,,,seedset,11,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,param,,,**.t,2s,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,param,,,**.k,20ms,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,param,,,**.X,0.05s,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,param,,,**.m,3s,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,param,,,**.tDistribution,"""exponential""",
Nonmonitoring-exponential-111-20210227-18:27:28-24102,param,,,**.operationMode,1,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,param,,,**.s,70 byte,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,param,,,**.dimPoolMax,10000,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,param,,,**.dimPoolMin,8000,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,param,,,**.nDL,2,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,param,,,**.nA,1,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,param,,,**.DLMaxCapacity,0,
Nonmonitoring-exponential-111-20210227-18:27:28-24102,param,,,**.trasmitting,false,
Nonmonitoring-exponential-100-20210227-18:27:27-24101,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-100-20210227-18:27:27-24101,runattr,,,datetime,20210227-18:27:27,
Nonmonitoring-exponential-100-20210227-18:27:27-24101,runattr,,,experiment,Nonmonitoring-exponential,
Nonmonitoring-exponential-100-20210227-18:27:27-24101,runattr,,,inifile,aerocom.ini,
Nonmonitoring-exponential-100-20210227-18:27:27-24101,runattr,,,iterationvars,$0=2,
Nonmonitoring-exponential-100-20210227-18:27:27-24101,runattr,,,iterationvarsf,2-,
Nonmonitoring-exponential-100-20210227-18:27:27-24101,runattr,,,measurement,$0=2,
