run,type,module,name,attrname,attrvalue,value
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,runattr,,,datetime,20210227-18:27:31,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,runattr,,,iterationvars,$0=1,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,runattr,,,iterationvarsf,1-,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,runattr,,,measurement,$0=1,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,runattr,,,processid,24345,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,runattr,,,repetition,0,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,runattr,,,replication,#0,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,runattr,,,resultdir,results,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,runattr,,,runnumber,0,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,runattr,,,seedset,0,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,param,,,**.t,2s,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,param,,,**.k,20ms,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,param,,,**.X,0.05s,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,param,,,**.m,3s,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,param,,,**.operationMode,1,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,param,,,**.s,70 byte,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,param,,,**.nDL,1,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,param,,,**.nA,1,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-0-20210227-18:27:31-24345,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,runattr,,,datetime,20210227-18:27:32,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,runattr,,,iterationvars,$0=1,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,runattr,,,iterationvarsf,1-,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,runattr,,,measurement,$0=1,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,runattr,,,processid,24345,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,runattr,,,repetition,1,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,runattr,,,replication,#1,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,runattr,,,resultdir,results,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,runattr,,,runnumber,1,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,runattr,,,seedset,1,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,param,,,**.t,2s,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,param,,,**.k,20ms,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,param,,,**.X,0.05s,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,param,,,**.m,3s,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,param,,,**.operationMode,1,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,param,,,**.s,70 byte,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,param,,,**.nDL,1,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,param,,,**.nA,1,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-1-20210227-18:27:32-24345,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,runattr,,,datetime,20210227-18:27:31,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,runattr,,,iterationvars,$0=1,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,runattr,,,iterationvarsf,1-,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,runattr,,,measurement,$0=1,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,runattr,,,processid,24344,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,runattr,,,repetition,10,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,runattr,,,replication,#10,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,runattr,,,resultdir,results,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,runattr,,,runnumber,10,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,runattr,,,seedset,10,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,param,,,**.t,2s,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,param,,,**.k,20ms,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,param,,,**.X,0.05s,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,param,,,**.m,3s,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,param,,,**.operationMode,1,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,param,,,**.s,70 byte,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,param,,,**.nDL,1,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,param,,,**.nA,1,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-10-20210227-18:27:31-24344,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-11-20210227-18:27:32-24344,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-11-20210227-18:27:32-24344,runattr,,,datetime,20210227-18:27:32,
Nonmonitoring-lognormal-11-20210227-18:27:32-24344,runattr,,,experiment,Nonmonitoring-lognormal,
