run,type,module,name,attrname,attrvalue,value
Exponential-capacity-0-20210227-15:13:53-14798,runattr,,,configname,Exponential-capacity,
Exponential-capacity-0-20210227-15:13:53-14798,runattr,,,datetime,20210227-15:13:53,
Exponential-capacity-0-20210227-15:13:53-14798,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-0-20210227-15:13:53-14798,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-0-20210227-15:13:53-14798,runattr,,,iterationvars,$0=0.5,
Exponential-capacity-0-20210227-15:13:53-14798,runattr,,,iterationvarsf,0.5-,
Exponential-capacity-0-20210227-15:13:53-14798,runattr,,,measurement,$0=0.5,
Exponential-capacity-0-20210227-15:13:53-14798,runattr,,,network,Aerocom,
Exponential-capacity-0-20210227-15:13:53-14798,runattr,,,processid,14798,
Exponential-capacity-0-20210227-15:13:53-14798,runattr,,,repetition,0,
Exponential-capacity-0-20210227-15:13:53-14798,runattr,,,replication,#0,
Exponential-capacity-0-20210227-15:13:53-14798,runattr,,,resultdir,results,
Exponential-capacity-0-20210227-15:13:53-14798,runattr,,,runnumber,0,
Exponential-capacity-0-20210227-15:13:53-14798,runattr,,,seedset,0,
Exponential-capacity-0-20210227-15:13:53-14798,param,,,**.t,0.5s,
Exponential-capacity-0-20210227-15:13:53-14798,param,,,**.k,20ms,
Exponential-capacity-0-20210227-15:13:53-14798,param,,,**.X,0.05s,
Exponential-capacity-0-20210227-15:13:53-14798,param,,,**.m,1.5s,
Exponential-capacity-0-20210227-15:13:53-14798,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-0-20210227-15:13:53-14798,param,,,**.operationMode,0,
Exponential-capacity-0-20210227-15:13:53-14798,param,,,**.s,70 byte,
Exponential-capacity-0-20210227-15:13:53-14798,param,,,**.dimPoolMax,10000,
Exponential-capacity-0-20210227-15:13:53-14798,param,,,**.dimPoolMin,8000,
Exponential-capacity-0-20210227-15:13:53-14798,param,,,**.nDL,16,
Exponential-capacity-0-20210227-15:13:53-14798,param,,,**.nA,1,
Exponential-capacity-0-20210227-15:13:53-14798,param,,,**.DLMaxCapacity,0,
Exponential-capacity-0-20210227-15:13:53-14798,param,,,**.trasmitting,false,
Exponential-capacity-1-20210227-15:13:53-14798,runattr,,,configname,Exponential-capacity,
Exponential-capacity-1-20210227-15:13:53-14798,runattr,,,datetime,20210227-15:13:53,
Exponential-capacity-1-20210227-15:13:53-14798,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-1-20210227-15:13:53-14798,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-1-20210227-15:13:53-14798,runattr,,,iterationvars,$0=0.5,
Exponential-capacity-1-20210227-15:13:53-14798,runattr,,,iterationvarsf,0.5-,
Exponential-capacity-1-20210227-15:13:53-14798,runattr,,,measurement,$0=0.5,
Exponential-capacity-1-20210227-15:13:53-14798,runattr,,,network,Aerocom,
Exponential-capacity-1-20210227-15:13:53-14798,runattr,,,processid,14798,
Exponential-capacity-1-20210227-15:13:53-14798,runattr,,,repetition,1,
Exponential-capacity-1-20210227-15:13:53-14798,runattr,,,replication,#1,
Exponential-capacity-1-20210227-15:13:53-14798,runattr,,,resultdir,results,
Exponential-capacity-1-20210227-15:13:53-14798,runattr,,,runnumber,1,
Exponential-capacity-1-20210227-15:13:53-14798,runattr,,,seedset,1,
Exponential-capacity-1-20210227-15:13:53-14798,param,,,**.t,0.5s,
Exponential-capacity-1-20210227-15:13:53-14798,param,,,**.k,20ms,
Exponential-capacity-1-20210227-15:13:53-14798,param,,,**.X,0.05s,
Exponential-capacity-1-20210227-15:13:53-14798,param,,,**.m,1.5s,
Exponential-capacity-1-20210227-15:13:53-14798,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-1-20210227-15:13:53-14798,param,,,**.operationMode,0,
Exponential-capacity-1-20210227-15:13:53-14798,param,,,**.s,70 byte,
Exponential-capacity-1-20210227-15:13:53-14798,param,,,**.dimPoolMax,10000,
Exponential-capacity-1-20210227-15:13:53-14798,param,,,**.dimPoolMin,8000,
Exponential-capacity-1-20210227-15:13:53-14798,param,,,**.nDL,16,
Exponential-capacity-1-20210227-15:13:53-14798,param,,,**.nA,1,
Exponential-capacity-1-20210227-15:13:53-14798,param,,,**.DLMaxCapacity,0,
Exponential-capacity-1-20210227-15:13:53-14798,param,,,**.trasmitting,false,
Exponential-capacity-10-20210227-15:13:53-14799,runattr,,,configname,Exponential-capacity,
