run,type,module,name,attrname,attrvalue,value
Exponential-capacity-100-20210227-15:13:57-14923,runattr,,,configname,Exponential-capacity,
Exponential-capacity-100-20210227-15:13:57-14923,runattr,,,datetime,20210227-15:13:57,
Exponential-capacity-100-20210227-15:13:57-14923,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-100-20210227-15:13:57-14923,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-100-20210227-15:13:57-14923,runattr,,,iterationvars,$0=1,
Exponential-capacity-100-20210227-15:13:57-14923,runattr,,,iterationvarsf,1-,
Exponential-capacity-100-20210227-15:13:57-14923,runattr,,,measurement,$0=1,
Exponential-capacity-100-20210227-15:13:57-14923,runattr,,,network,Aerocom,
Exponential-capacity-100-20210227-15:13:57-14923,runattr,,,processid,14923,
Exponential-capacity-100-20210227-15:13:57-14923,runattr,,,repetition,0,
Exponential-capacity-100-20210227-15:13:57-14923,runattr,,,replication,#0,
Exponential-capacity-100-20210227-15:13:57-14923,runattr,,,resultdir,results,
Exponential-capacity-100-20210227-15:13:57-14923,runattr,,,runnumber,100,
Exponential-capacity-100-20210227-15:13:57-14923,runattr,,,seedset,0,
Exponential-capacity-100-20210227-15:13:57-14923,param,,,**.t,1s,
Exponential-capacity-100-20210227-15:13:57-14923,param,,,**.k,20ms,
Exponential-capacity-100-20210227-15:13:57-14923,param,,,**.X,0.05s,
Exponential-capacity-100-20210227-15:13:57-14923,param,,,**.m,1.5s,
Exponential-capacity-100-20210227-15:13:57-14923,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-100-20210227-15:13:57-14923,param,,,**.operationMode,0,
Exponential-capacity-100-20210227-15:13:57-14923,param,,,**.s,70 byte,
Exponential-capacity-100-20210227-15:13:57-14923,param,,,**.dimPoolMax,10000,
Exponential-capacity-100-20210227-15:13:57-14923,param,,,**.dimPoolMin,8000,
Exponential-capacity-100-20210227-15:13:57-14923,param,,,**.nDL,16,
Exponential-capacity-100-20210227-15:13:57-14923,param,,,**.nA,1,
Exponential-capacity-100-20210227-15:13:57-14923,param,,,**.DLMaxCapacity,0,
