run,type,module,name,attrname,attrvalue,value
Lognormal-capacity-0-20210227-15:14:06-15315,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-0-20210227-15:14:06-15315,runattr,,,datetime,20210227-15:14:06,
Lognormal-capacity-0-20210227-15:14:06-15315,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-0-20210227-15:14:06-15315,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-0-20210227-15:14:06-15315,runattr,,,iterationvars,$0=0.5,
Lognormal-capacity-0-20210227-15:14:06-15315,runattr,,,iterationvarsf,0.5-,
Lognormal-capacity-0-20210227-15:14:06-15315,runattr,,,measurement,$0=0.5,
Lognormal-capacity-0-20210227-15:14:06-15315,runattr,,,network,Aerocom,
Lognormal-capacity-0-20210227-15:14:06-15315,runattr,,,processid,15315,
Lognormal-capacity-0-20210227-15:14:06-15315,runattr,,,repetition,0,
Lognormal-capacity-0-20210227-15:14:06-15315,runattr,,,replication,#0,
Lognormal-capacity-0-20210227-15:14:06-15315,runattr,,,resultdir,results,
Lognormal-capacity-0-20210227-15:14:06-15315,runattr,,,runnumber,0,
Lognormal-capacity-0-20210227-15:14:06-15315,runattr,,,seedset,0,
Lognormal-capacity-0-20210227-15:14:06-15315,param,,,**.t,0.5s,
Lognormal-capacity-0-20210227-15:14:06-15315,param,,,**.k,20ms,
Lognormal-capacity-0-20210227-15:14:06-15315,param,,,**.X,0.05s,
Lognormal-capacity-0-20210227-15:14:06-15315,param,,,**.m,1.5s,
Lognormal-capacity-0-20210227-15:14:06-15315,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-0-20210227-15:14:06-15315,param,,,**.operationMode,0,
Lognormal-capacity-0-20210227-15:14:06-15315,param,,,**.s,70 byte,
Lognormal-capacity-0-20210227-15:14:06-15315,param,,,**.dimPoolMax,10000,
Lognormal-capacity-0-20210227-15:14:06-15315,param,,,**.dimPoolMin,8000,
Lognormal-capacity-0-20210227-15:14:06-15315,param,,,**.nDL,16,
Lognormal-capacity-0-20210227-15:14:06-15315,param,,,**.nA,1,
Lognormal-capacity-0-20210227-15:14:06-15315,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-0-20210227-15:14:06-15315,param,,,**.trasmitting,false,
Lognormal-capacity-1-20210227-15:14:07-15315,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-1-20210227-15:14:07-15315,runattr,,,datetime,20210227-15:14:07,
