run,type,module,name,attrname,attrvalue,value
Lognormal-capacity-100-20210227-15:14:12-15473,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-100-20210227-15:14:12-15473,runattr,,,datetime,20210227-15:14:12,
Lognormal-capacity-100-20210227-15:14:12-15473,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-100-20210227-15:14:12-15473,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-100-20210227-15:14:12-15473,runattr,,,iterationvars,$0=1,
Lognormal-capacity-100-20210227-15:14:12-15473,runattr,,,iterationvarsf,1-,
Lognormal-capacity-100-20210227-15:14:12-15473,runattr,,,measurement,$0=1,
Lognormal-capacity-100-20210227-15:14:12-15473,runattr,,,network,Aerocom,
Lognormal-capacity-100-20210227-15:14:12-15473,runattr,,,processid,15473,
Lognormal-capacity-100-20210227-15:14:12-15473,runattr,,,repetition,0,
Lognormal-capacity-100-20210227-15:14:12-15473,runattr,,,replication,#0,
Lognormal-capacity-100-20210227-15:14:12-15473,runattr,,,resultdir,results,
Lognormal-capacity-100-20210227-15:14:12-15473,runattr,,,runnumber,100,
Lognormal-capacity-100-20210227-15:14:12-15473,runattr,,,seedset,0,
Lognormal-capacity-100-20210227-15:14:12-15473,param,,,**.t,1s,
Lognormal-capacity-100-20210227-15:14:12-15473,param,,,**.k,20ms,
Lognormal-capacity-100-20210227-15:14:12-15473,param,,,**.X,0.05s,
Lognormal-capacity-100-20210227-15:14:12-15473,param,,,**.m,1.5s,
Lognormal-capacity-100-20210227-15:14:12-15473,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-100-20210227-15:14:12-15473,param,,,**.operationMode,0,
Lognormal-capacity-100-20210227-15:14:12-15473,param,,,**.s,70 byte,
Lognormal-capacity-100-20210227-15:14:12-15473,param,,,**.dimPoolMax,10000,
Lognormal-capacity-100-20210227-15:14:12-15473,param,,,**.dimPoolMin,8000,
Lognormal-capacity-100-20210227-15:14:12-15473,param,,,**.nDL,16,
Lognormal-capacity-100-20210227-15:14:12-15473,param,,,**.nA,1,
Lognormal-capacity-100-20210227-15:14:12-15473,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-100-20210227-15:14:12-15473,param,,,**.trasmitting,false,
Lognormal-capacity-101-20210227-15:14:13-15473,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-101-20210227-15:14:13-15473,runattr,,,datetime,20210227-15:14:13,
Lognormal-capacity-101-20210227-15:14:13-15473,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-101-20210227-15:14:13-15473,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-101-20210227-15:14:13-15473,runattr,,,iterationvars,$0=1,
Lognormal-capacity-101-20210227-15:14:13-15473,runattr,,,iterationvarsf,1-,
Lognormal-capacity-101-20210227-15:14:13-15473,runattr,,,measurement,$0=1,
Lognormal-capacity-101-20210227-15:14:13-15473,runattr,,,network,Aerocom,
Lognormal-capacity-101-20210227-15:14:13-15473,runattr,,,processid,15473,
Lognormal-capacity-101-20210227-15:14:13-15473,runattr,,,repetition,1,
Lognormal-capacity-101-20210227-15:14:13-15473,runattr,,,replication,#1,
Lognormal-capacity-101-20210227-15:14:13-15473,runattr,,,resultdir,results,
Lognormal-capacity-101-20210227-15:14:13-15473,runattr,,,runnumber,101,
Lognormal-capacity-101-20210227-15:14:13-15473,runattr,,,seedset,1,
Lognormal-capacity-101-20210227-15:14:13-15473,param,,,**.t,1s,
Lognormal-capacity-101-20210227-15:14:13-15473,param,,,**.k,20ms,
Lognormal-capacity-101-20210227-15:14:13-15473,param,,,**.X,0.05s,
Lognormal-capacity-101-20210227-15:14:13-15473,param,,,**.m,1.5s,
Lognormal-capacity-101-20210227-15:14:13-15473,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-101-20210227-15:14:13-15473,param,,,**.operationMode,0,
Lognormal-capacity-101-20210227-15:14:13-15473,param,,,**.s,70 byte,
Lognormal-capacity-101-20210227-15:14:13-15473,param,,,**.dimPoolMax,10000,
Lognormal-capacity-101-20210227-15:14:13-15473,param,,,**.dimPoolMin,8000,
Lognormal-capacity-101-20210227-15:14:13-15473,param,,,**.nDL,16,
Lognormal-capacity-101-20210227-15:14:13-15473,param,,,**.nA,1,
Lognormal-capacity-101-20210227-15:14:13-15473,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-101-20210227-15:14:13-15473,param,,,**.trasmitting,false,
Lognormal-capacity-110-20210227-15:14:13-15478,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-110-20210227-15:14:13-15478,runattr,,,datetime,20210227-15:14:13,
Lognormal-capacity-110-20210227-15:14:13-15478,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-110-20210227-15:14:13-15478,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-110-20210227-15:14:13-15478,runattr,,,iterationvars,$0=1,
Lognormal-capacity-110-20210227-15:14:13-15478,runattr,,,iterationvarsf,1-,
Lognormal-capacity-110-20210227-15:14:13-15478,runattr,,,measurement,$0=1,
Lognormal-capacity-110-20210227-15:14:13-15478,runattr,,,network,Aerocom,
Lognormal-capacity-110-20210227-15:14:13-15478,runattr,,,processid,15478,
Lognormal-capacity-110-20210227-15:14:13-15478,runattr,,,repetition,10,
Lognormal-capacity-110-20210227-15:14:13-15478,runattr,,,replication,#10,
Lognormal-capacity-110-20210227-15:14:13-15478,runattr,,,resultdir,results,
Lognormal-capacity-110-20210227-15:14:13-15478,runattr,,,runnumber,110,
Lognormal-capacity-110-20210227-15:14:13-15478,runattr,,,seedset,10,
Lognormal-capacity-110-20210227-15:14:13-15478,param,,,**.t,1s,
Lognormal-capacity-110-20210227-15:14:13-15478,param,,,**.k,20ms,
Lognormal-capacity-110-20210227-15:14:13-15478,param,,,**.X,0.05s,
Lognormal-capacity-110-20210227-15:14:13-15478,param,,,**.m,1.5s,
Lognormal-capacity-110-20210227-15:14:13-15478,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-110-20210227-15:14:13-15478,param,,,**.operationMode,0,
Lognormal-capacity-110-20210227-15:14:13-15478,param,,,**.s,70 byte,
Lognormal-capacity-110-20210227-15:14:13-15478,param,,,**.dimPoolMax,10000,
Lognormal-capacity-110-20210227-15:14:13-15478,param,,,**.dimPoolMin,8000,
Lognormal-capacity-110-20210227-15:14:13-15478,param,,,**.nDL,16,
Lognormal-capacity-110-20210227-15:14:13-15478,param,,,**.nA,1,
Lognormal-capacity-110-20210227-15:14:13-15478,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-110-20210227-15:14:13-15478,param,,,**.trasmitting,false,
Lognormal-capacity-111-20210227-15:14:14-15478,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-111-20210227-15:14:14-15478,runattr,,,datetime,20210227-15:14:14,
Lognormal-capacity-111-20210227-15:14:14-15478,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-111-20210227-15:14:14-15478,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-111-20210227-15:14:14-15478,runattr,,,iterationvars,$0=1,
Lognormal-capacity-111-20210227-15:14:14-15478,runattr,,,iterationvarsf,1-,
Lognormal-capacity-111-20210227-15:14:14-15478,runattr,,,measurement,$0=1,
Lognormal-capacity-111-20210227-15:14:14-15478,runattr,,,network,Aerocom,
Lognormal-capacity-111-20210227-15:14:14-15478,runattr,,,processid,15478,
Lognormal-capacity-111-20210227-15:14:14-15478,runattr,,,repetition,11,
Lognormal-capacity-111-20210227-15:14:14-15478,runattr,,,replication,#11,
Lognormal-capacity-111-20210227-15:14:14-15478,runattr,,,resultdir,results,
Lognormal-capacity-111-20210227-15:14:14-15478,runattr,,,runnumber,111,
Lognormal-capacity-111-20210227-15:14:14-15478,runattr,,,seedset,11,
Lognormal-capacity-111-20210227-15:14:14-15478,param,,,**.t,1s,
Lognormal-capacity-111-20210227-15:14:14-15478,param,,,**.k,20ms,
