run,type,module,name,attrname,attrvalue,value
Nonmonitoring-exponential-0-20210227-15:13:50-14677,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,runattr,,,datetime,20210227-15:13:50,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,runattr,,,experiment,Nonmonitoring-exponential,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,runattr,,,inifile,aerocom.ini,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,runattr,,,iterationvars,$0=0.5,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,runattr,,,iterationvarsf,0.5-,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,runattr,,,measurement,$0=0.5,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,runattr,,,network,Aerocom,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,runattr,,,processid,14677,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,runattr,,,repetition,0,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,runattr,,,replication,#0,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,runattr,,,resultdir,results,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,runattr,,,runnumber,0,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,runattr,,,seedset,0,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,param,,,**.t,0.5s,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,param,,,**.k,20ms,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,param,,,**.X,0.05s,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,param,,,**.m,1s,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,param,,,**.tDistribution,"""exponential""",
Nonmonitoring-exponential-0-20210227-15:13:50-14677,param,,,**.operationMode,1,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,param,,,**.s,70 byte,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,param,,,**.dimPoolMax,10000,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,param,,,**.dimPoolMin,8000,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,param,,,**.nDL,16,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,param,,,**.nA,1,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,param,,,**.DLMaxCapacity,0,
Nonmonitoring-exponential-0-20210227-15:13:50-14677,param,,,**.trasmitting,false,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,runattr,,,datetime,20210227-15:13:51,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,runattr,,,experiment,Nonmonitoring-exponential,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,runattr,,,inifile,aerocom.ini,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,runattr,,,iterationvars,$0=0.5,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,runattr,,,iterationvarsf,0.5-,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,runattr,,,measurement,$0=0.5,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,runattr,,,network,Aerocom,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,runattr,,,processid,14677,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,runattr,,,repetition,1,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,runattr,,,replication,#1,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,runattr,,,resultdir,results,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,runattr,,,runnumber,1,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,runattr,,,seedset,1,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,param,,,**.t,0.5s,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,param,,,**.k,20ms,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,param,,,**.X,0.05s,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,param,,,**.m,1s,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,param,,,**.tDistribution,"""exponential""",
Nonmonitoring-exponential-1-20210227-15:13:51-14677,param,,,**.operationMode,1,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,param,,,**.s,70 byte,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,param,,,**.dimPoolMax,10000,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,param,,,**.dimPoolMin,8000,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,param,,,**.nDL,16,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,param,,,**.nA,1,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,param,,,**.DLMaxCapacity,0,
Nonmonitoring-exponential-1-20210227-15:13:51-14677,param,,,**.trasmitting,false,
Nonmonitoring-exponential-10-20210227-15:13:51-14688,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-10-20210227-15:13:51-14688,runattr,,,datetime,20210227-15:13:51,
