run,type,module,name,attrname,attrvalue,value
Nonmonitoring-exponential-200-20210227-15:13:57-14953,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,runattr,,,datetime,20210227-15:13:57,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,runattr,,,experiment,Nonmonitoring-exponential,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,runattr,,,inifile,aerocom.ini,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,runattr,,,iterationvars,$0=2,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,runattr,,,iterationvarsf,2-,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,runattr,,,measurement,$0=2,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,runattr,,,network,Aerocom,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,runattr,,,processid,14953,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,runattr,,,repetition,0,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,runattr,,,replication,#0,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,runattr,,,resultdir,results,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,runattr,,,runnumber,200,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,runattr,,,seedset,0,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,param,,,**.t,2s,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,param,,,**.k,20ms,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,param,,,**.X,0.05s,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,param,,,**.m,1s,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,param,,,**.tDistribution,"""exponential""",
Nonmonitoring-exponential-200-20210227-15:13:57-14953,param,,,**.operationMode,1,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,param,,,**.s,70 byte,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,param,,,**.dimPoolMax,10000,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,param,,,**.dimPoolMin,8000,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,param,,,**.nDL,16,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,param,,,**.nA,1,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,param,,,**.DLMaxCapacity,0,
Nonmonitoring-exponential-200-20210227-15:13:57-14953,param,,,**.trasmitting,false,
Nonmonitoring-exponential-201-20210227-15:13:57-14953,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-201-20210227-15:13:57-14953,runattr,,,datetime,20210227-15:13:57,
Nonmonitoring-exponential-201-20210227-15:13:57-14953,runattr,,,experiment,Nonmonitoring-exponential,
Nonmonitoring-exponential-201-20210227-15:13:57-14953,runattr,,,inifile,aerocom.ini,
Nonmonitoring-exponential-201-20210227-15:13:57-14953,runattr,,,iterationvars,$0=2,
Nonmonitoring-exponential-201-20210227-15:13:57-14953,runattr,,,iterationvarsf,2-,
Nonmonitoring-exponential-201-20210227-15:13:57-14953,runattr,,,measurement,$0=2,
Nonmonitoring-exponential-201-20210227-15:13:57-14953,runattr,,,network,Aerocom,
Nonmonitoring-exponential-201-20210227-15:13:57-14953,runattr,,,processid,14953,
Nonmonitoring-exponential-201-20210227-15:13:57-14953,runattr,,,repetition,1,
Nonmonitoring-exponential-201-20210227-15:13:57-14953,runattr,,,replication,#1,
Nonmonitoring-exponential-201-20210227-15:13:57-14953,runattr,,,resultdir,results,
Nonmonitoring-exponential-201-20210227-15:13:57-14953,runattr,,,runnumber,201,
Nonmonitoring-exponential-201-20210227-15:13:57-14953,runattr,,,seedset,1,
Nonmonitoring-exponential-201-20210227-15:13:57-14953,param,,,**.t,2s,
Nonmonitoring-exponential-201-20210227-15:13:57-14953,param,,,**.k,20ms,
Nonmonitoring-exponential-201-20210227-15:13:57-14953,param,,,**.X,0.05s,
Nonmonitoring-exponential-201-20210227-15:13:57-14953,param,,,**.m,1s,
Nonmonitoring-exponential-201-20210227-15:13:57-14953,param,,,**.tDistribution,"""exponential""",
Nonmonitoring-exponential-201-20210227-15:13:57-14953,param,,,**.operationMode,1,
