run,type,module,name,attrname,attrvalue,value
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,runattr,,,datetime,20210227-15:14:03,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,runattr,,,iterationvars,$0=0.5,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,runattr,,,iterationvarsf,0.5-,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,runattr,,,measurement,$0=0.5,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,runattr,,,processid,15140,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,runattr,,,repetition,0,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,runattr,,,replication,#0,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,runattr,,,resultdir,results,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,runattr,,,runnumber,0,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,runattr,,,seedset,0,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,param,,,**.t,0.5s,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,param,,,**.k,20ms,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,param,,,**.X,0.05s,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,param,,,**.m,1s,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,param,,,**.operationMode,1,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,param,,,**.s,70 byte,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,param,,,**.nDL,16,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,param,,,**.nA,1,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-0-20210227-15:14:03-15140,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,runattr,,,datetime,20210227-15:14:03,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,runattr,,,iterationvars,$0=0.5,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,runattr,,,iterationvarsf,0.5-,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,runattr,,,measurement,$0=0.5,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,runattr,,,processid,15140,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,runattr,,,repetition,1,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,runattr,,,replication,#1,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,runattr,,,resultdir,results,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,runattr,,,runnumber,1,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,runattr,,,seedset,1,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,param,,,**.t,0.5s,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,param,,,**.k,20ms,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,param,,,**.X,0.05s,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,param,,,**.m,1s,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,param,,,**.operationMode,1,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,param,,,**.s,70 byte,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,param,,,**.nDL,16,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,param,,,**.nA,1,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-1-20210227-15:14:03-15140,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,runattr,,,datetime,20210227-15:14:03,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,runattr,,,iterationvars,$0=0.5,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,runattr,,,iterationvarsf,0.5-,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,runattr,,,measurement,$0=0.5,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,runattr,,,processid,15141,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,runattr,,,repetition,10,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,runattr,,,replication,#10,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,runattr,,,resultdir,results,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,runattr,,,runnumber,10,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,runattr,,,seedset,10,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,param,,,**.t,0.5s,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,param,,,**.k,20ms,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,param,,,**.X,0.05s,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,param,,,**.m,1s,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,param,,,**.operationMode,1,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,param,,,**.s,70 byte,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,param,,,**.nDL,16,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,param,,,**.nA,1,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-10-20210227-15:14:03-15141,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,runattr,,,datetime,20210227-15:14:04,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,runattr,,,iterationvars,$0=0.5,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,runattr,,,iterationvarsf,0.5-,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,runattr,,,measurement,$0=0.5,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,runattr,,,processid,15141,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,runattr,,,repetition,11,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,runattr,,,replication,#11,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,runattr,,,resultdir,results,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,runattr,,,runnumber,11,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,runattr,,,seedset,11,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,param,,,**.t,0.5s,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,param,,,**.k,20ms,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,param,,,**.X,0.05s,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,param,,,**.m,1s,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,param,,,**.operationMode,1,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,param,,,**.s,70 byte,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,param,,,**.nDL,16,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,param,,,**.nA,1,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-11-20210227-15:14:04-15141,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,runattr,,,datetime,20210227-15:14:04,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,runattr,,,iterationvars,$0=0.5,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,runattr,,,iterationvarsf,0.5-,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,runattr,,,measurement,$0=0.5,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,runattr,,,processid,15141,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,runattr,,,repetition,13,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,runattr,,,replication,#13,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,runattr,,,resultdir,results,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,runattr,,,runnumber,13,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,runattr,,,seedset,13,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,param,,,**.t,0.5s,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,param,,,**.k,20ms,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,param,,,**.X,0.05s,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,param,,,**.m,1s,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,param,,,**.operationMode,1,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,param,,,**.s,70 byte,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,param,,,**.nDL,16,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,param,,,**.nA,1,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-13-20210227-15:14:04-15141,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,runattr,,,datetime,20210227-15:14:04,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,runattr,,,iterationvars,$0=0.5,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,runattr,,,iterationvarsf,0.5-,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,runattr,,,measurement,$0=0.5,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,runattr,,,processid,15141,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,runattr,,,repetition,12,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,runattr,,,replication,#12,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,runattr,,,resultdir,results,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,runattr,,,runnumber,12,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,runattr,,,seedset,12,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,param,,,**.t,0.5s,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,param,,,**.k,20ms,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,param,,,**.X,0.05s,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,param,,,**.m,1s,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,param,,,**.operationMode,1,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,param,,,**.s,70 byte,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,param,,,**.nDL,16,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,param,,,**.nA,1,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-12-20210227-15:14:04-15141,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,runattr,,,datetime,20210227-15:14:05,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,runattr,,,iterationvars,$0=0.5,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,runattr,,,iterationvarsf,0.5-,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,runattr,,,measurement,$0=0.5,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,runattr,,,processid,15141,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,runattr,,,repetition,14,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,runattr,,,replication,#14,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,runattr,,,resultdir,results,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,runattr,,,runnumber,14,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,runattr,,,seedset,14,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,param,,,**.t,0.5s,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,param,,,**.k,20ms,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,param,,,**.X,0.05s,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,param,,,**.m,1s,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,param,,,**.operationMode,1,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,param,,,**.s,70 byte,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,param,,,**.nDL,16,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,param,,,**.nA,1,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-14-20210227-15:14:05-15141,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,runattr,,,datetime,20210227-15:14:05,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,runattr,,,iterationvars,$0=0.5,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,runattr,,,iterationvarsf,0.5-,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,runattr,,,measurement,$0=0.5,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,runattr,,,processid,15141,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,runattr,,,repetition,15,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,runattr,,,replication,#15,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,runattr,,,resultdir,results,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,runattr,,,runnumber,15,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,runattr,,,seedset,15,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,param,,,**.t,0.5s,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,param,,,**.k,20ms,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,param,,,**.X,0.05s,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,param,,,**.m,1s,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,param,,,**.operationMode,1,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,param,,,**.s,70 byte,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,param,,,**.nDL,16,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,param,,,**.nA,1,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-15-20210227-15:14:05-15141,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-17-20210227-15:14:03-15142,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-17-20210227-15:14:03-15142,runattr,,,datetime,20210227-15:14:03,
