run,type,module,name,attrname,attrvalue,value
Exponential-capacity-3100-20210301-21:50:06-11202,runattr,,,configname,Exponential-capacity,
Exponential-capacity-3100-20210301-21:50:06-11202,runattr,,,datetime,20210301-21:50:06,
Exponential-capacity-3100-20210301-21:50:06-11202,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-3100-20210301-21:50:06-11202,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-3100-20210301-21:50:06-11202,runattr,,,iterationvars,"$0=20, $1=1",
Exponential-capacity-3100-20210301-21:50:06-11202,runattr,,,iterationvarsf,"20,1-",
Exponential-capacity-3100-20210301-21:50:06-11202,runattr,,,measurement,"$0=20, $1=1",
Exponential-capacity-3100-20210301-21:50:06-11202,runattr,,,network,Aerocom,
Exponential-capacity-3100-20210301-21:50:06-11202,runattr,,,processid,11202,
Exponential-capacity-3100-20210301-21:50:06-11202,runattr,,,repetition,0,
Exponential-capacity-3100-20210301-21:50:06-11202,runattr,,,replication,#0,
Exponential-capacity-3100-20210301-21:50:06-11202,runattr,,,resultdir,results,
Exponential-capacity-3100-20210301-21:50:06-11202,runattr,,,runnumber,3100,
Exponential-capacity-3100-20210301-21:50:06-11202,runattr,,,seedset,0,
Exponential-capacity-3100-20210301-21:50:06-11202,param,,,**.t,2s,
Exponential-capacity-3100-20210301-21:50:06-11202,param,,,**.k,20ms,
Exponential-capacity-3100-20210301-21:50:06-11202,param,,,**.X,1s,
Exponential-capacity-3100-20210301-21:50:06-11202,param,,,**.m,0.5s,
Exponential-capacity-3100-20210301-21:50:06-11202,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-3100-20210301-21:50:06-11202,param,,,**.operationMode,0,
Exponential-capacity-3100-20210301-21:50:06-11202,param,,,**.s,70 byte,
Exponential-capacity-3100-20210301-21:50:06-11202,param,,,**.dimPoolMax,10000,
Exponential-capacity-3100-20210301-21:50:06-11202,param,,,**.dimPoolMin,8000,
Exponential-capacity-3100-20210301-21:50:06-11202,param,,,**.nDL,16,
Exponential-capacity-3100-20210301-21:50:06-11202,param,,,**.nA,1,
Exponential-capacity-3100-20210301-21:50:06-11202,param,,,**.DLMaxCapacity,0,
Exponential-capacity-3100-20210301-21:50:06-11202,param,,,**.trasmitting,false,
Exponential-capacity-3101-20210301-21:50:06-11202,runattr,,,configname,Exponential-capacity,
Exponential-capacity-3101-20210301-21:50:06-11202,runattr,,,datetime,20210301-21:50:06,
Exponential-capacity-3101-20210301-21:50:06-11202,runattr,,,experiment,Exponential-capacity,
