run,type,module,name,attrname,attrvalue,value
Exponential-capacity-3500-20210301-22:02:12-16019,runattr,,,configname,Exponential-capacity,
Exponential-capacity-3500-20210301-22:02:12-16019,runattr,,,datetime,20210301-22:02:12,
Exponential-capacity-3500-20210301-22:02:12-16019,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-3500-20210301-22:02:12-16019,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-3500-20210301-22:02:12-16019,runattr,,,iterationvars,"$0=50, $1=0.01",
Exponential-capacity-3500-20210301-22:02:12-16019,runattr,,,iterationvarsf,"50,0.01-",
Exponential-capacity-3500-20210301-22:02:12-16019,runattr,,,measurement,"$0=50, $1=0.01",
Exponential-capacity-3500-20210301-22:02:12-16019,runattr,,,network,Aerocom,
Exponential-capacity-3500-20210301-22:02:12-16019,runattr,,,processid,16019,
Exponential-capacity-3500-20210301-22:02:12-16019,runattr,,,repetition,0,
Exponential-capacity-3500-20210301-22:02:12-16019,runattr,,,replication,#0,
Exponential-capacity-3500-20210301-22:02:12-16019,runattr,,,resultdir,results,
Exponential-capacity-3500-20210301-22:02:12-16019,runattr,,,runnumber,3500,
Exponential-capacity-3500-20210301-22:02:12-16019,runattr,,,seedset,0,
Exponential-capacity-3500-20210301-22:02:12-16019,param,,,**.t,2s,
Exponential-capacity-3500-20210301-22:02:12-16019,param,,,**.k,50ms,
Exponential-capacity-3500-20210301-22:02:12-16019,param,,,**.X,0.01s,
Exponential-capacity-3500-20210301-22:02:12-16019,param,,,**.m,1.5s,
Exponential-capacity-3500-20210301-22:02:12-16019,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-3500-20210301-22:02:12-16019,param,,,**.operationMode,0,
Exponential-capacity-3500-20210301-22:02:12-16019,param,,,**.s,70 byte,
Exponential-capacity-3500-20210301-22:02:12-16019,param,,,**.dimPoolMax,10000,
Exponential-capacity-3500-20210301-22:02:12-16019,param,,,**.dimPoolMin,8000,
Exponential-capacity-3500-20210301-22:02:12-16019,param,,,**.nDL,16,
Exponential-capacity-3500-20210301-22:02:12-16019,param,,,**.nA,1,
Exponential-capacity-3500-20210301-22:02:12-16019,param,,,**.DLMaxCapacity,0,
Exponential-capacity-3500-20210301-22:02:12-16019,param,,,**.trasmitting,false,
Exponential-capacity-3501-20210301-22:02:12-16019,runattr,,,configname,Exponential-capacity,
Exponential-capacity-3501-20210301-22:02:12-16019,runattr,,,datetime,20210301-22:02:12,
Exponential-capacity-3501-20210301-22:02:12-16019,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-3501-20210301-22:02:12-16019,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-3501-20210301-22:02:12-16019,runattr,,,iterationvars,"$0=50, $1=0.01",
Exponential-capacity-3501-20210301-22:02:12-16019,runattr,,,iterationvarsf,"50,0.01-",
Exponential-capacity-3501-20210301-22:02:12-16019,runattr,,,measurement,"$0=50, $1=0.01",
Exponential-capacity-3501-20210301-22:02:12-16019,runattr,,,network,Aerocom,
Exponential-capacity-3501-20210301-22:02:12-16019,runattr,,,processid,16019,
Exponential-capacity-3501-20210301-22:02:12-16019,runattr,,,repetition,1,
Exponential-capacity-3501-20210301-22:02:12-16019,runattr,,,replication,#1,
Exponential-capacity-3501-20210301-22:02:12-16019,runattr,,,resultdir,results,
Exponential-capacity-3501-20210301-22:02:12-16019,runattr,,,runnumber,3501,
Exponential-capacity-3501-20210301-22:02:12-16019,runattr,,,seedset,1,
Exponential-capacity-3501-20210301-22:02:12-16019,param,,,**.t,2s,
Exponential-capacity-3501-20210301-22:02:12-16019,param,,,**.k,50ms,
Exponential-capacity-3501-20210301-22:02:12-16019,param,,,**.X,0.01s,
Exponential-capacity-3501-20210301-22:02:12-16019,param,,,**.m,1.5s,
Exponential-capacity-3501-20210301-22:02:12-16019,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-3501-20210301-22:02:12-16019,param,,,**.operationMode,0,
Exponential-capacity-3501-20210301-22:02:12-16019,param,,,**.s,70 byte,
Exponential-capacity-3501-20210301-22:02:12-16019,param,,,**.dimPoolMax,10000,
Exponential-capacity-3501-20210301-22:02:12-16019,param,,,**.dimPoolMin,8000,
Exponential-capacity-3501-20210301-22:02:12-16019,param,,,**.nDL,16,
Exponential-capacity-3501-20210301-22:02:12-16019,param,,,**.nA,1,
Exponential-capacity-3501-20210301-22:02:12-16019,param,,,**.DLMaxCapacity,0,
Exponential-capacity-3501-20210301-22:02:12-16019,param,,,**.trasmitting,false,
Exponential-capacity-3510-20210301-22:02:12-16024,runattr,,,configname,Exponential-capacity,
Exponential-capacity-3510-20210301-22:02:12-16024,runattr,,,datetime,20210301-22:02:12,
Exponential-capacity-3510-20210301-22:02:12-16024,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-3510-20210301-22:02:12-16024,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-3510-20210301-22:02:12-16024,runattr,,,iterationvars,"$0=50, $1=0.01",
Exponential-capacity-3510-20210301-22:02:12-16024,runattr,,,iterationvarsf,"50,0.01-",
Exponential-capacity-3510-20210301-22:02:12-16024,runattr,,,measurement,"$0=50, $1=0.01",
Exponential-capacity-3510-20210301-22:02:12-16024,runattr,,,network,Aerocom,
Exponential-capacity-3510-20210301-22:02:12-16024,runattr,,,processid,16024,
Exponential-capacity-3510-20210301-22:02:12-16024,runattr,,,repetition,10,
Exponential-capacity-3510-20210301-22:02:12-16024,runattr,,,replication,#10,
Exponential-capacity-3510-20210301-22:02:12-16024,runattr,,,resultdir,results,
Exponential-capacity-3510-20210301-22:02:12-16024,runattr,,,runnumber,3510,
Exponential-capacity-3510-20210301-22:02:12-16024,runattr,,,seedset,10,
Exponential-capacity-3510-20210301-22:02:12-16024,param,,,**.t,2s,
Exponential-capacity-3510-20210301-22:02:12-16024,param,,,**.k,50ms,
Exponential-capacity-3510-20210301-22:02:12-16024,param,,,**.X,0.01s,
Exponential-capacity-3510-20210301-22:02:12-16024,param,,,**.m,1.5s,
Exponential-capacity-3510-20210301-22:02:12-16024,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-3510-20210301-22:02:12-16024,param,,,**.operationMode,0,
Exponential-capacity-3510-20210301-22:02:12-16024,param,,,**.s,70 byte,
Exponential-capacity-3510-20210301-22:02:12-16024,param,,,**.dimPoolMax,10000,
Exponential-capacity-3510-20210301-22:02:12-16024,param,,,**.dimPoolMin,8000,
Exponential-capacity-3510-20210301-22:02:12-16024,param,,,**.nDL,16,
Exponential-capacity-3510-20210301-22:02:12-16024,param,,,**.nA,1,
Exponential-capacity-3510-20210301-22:02:12-16024,param,,,**.DLMaxCapacity,0,
Exponential-capacity-3510-20210301-22:02:12-16024,param,,,**.trasmitting,false,
Exponential-capacity-3511-20210301-22:02:12-16024,runattr,,,configname,Exponential-capacity,
Exponential-capacity-3511-20210301-22:02:12-16024,runattr,,,datetime,20210301-22:02:12,
Exponential-capacity-3511-20210301-22:02:12-16024,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-3511-20210301-22:02:12-16024,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-3511-20210301-22:02:12-16024,runattr,,,iterationvars,"$0=50, $1=0.01",
Exponential-capacity-3511-20210301-22:02:12-16024,runattr,,,iterationvarsf,"50,0.01-",
Exponential-capacity-3511-20210301-22:02:12-16024,runattr,,,measurement,"$0=50, $1=0.01",
Exponential-capacity-3511-20210301-22:02:12-16024,runattr,,,network,Aerocom,
Exponential-capacity-3511-20210301-22:02:12-16024,runattr,,,processid,16024,
Exponential-capacity-3511-20210301-22:02:12-16024,runattr,,,repetition,11,
Exponential-capacity-3511-20210301-22:02:12-16024,runattr,,,replication,#11,
Exponential-capacity-3511-20210301-22:02:12-16024,runattr,,,resultdir,results,
Exponential-capacity-3511-20210301-22:02:12-16024,runattr,,,runnumber,3511,
Exponential-capacity-3511-20210301-22:02:12-16024,runattr,,,seedset,11,
Exponential-capacity-3511-20210301-22:02:12-16024,param,,,**.t,2s,
Exponential-capacity-3511-20210301-22:02:12-16024,param,,,**.k,50ms,
Exponential-capacity-3511-20210301-22:02:12-16024,param,,,**.X,0.01s,
Exponential-capacity-3511-20210301-22:02:12-16024,param,,,**.m,1.5s,
Exponential-capacity-3511-20210301-22:02:12-16024,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-3511-20210301-22:02:12-16024,param,,,**.operationMode,0,
Exponential-capacity-3511-20210301-22:02:12-16024,param,,,**.s,70 byte,
Exponential-capacity-3511-20210301-22:02:12-16024,param,,,**.dimPoolMax,10000,
Exponential-capacity-3511-20210301-22:02:12-16024,param,,,**.dimPoolMin,8000,
Exponential-capacity-3511-20210301-22:02:12-16024,param,,,**.nDL,16,
Exponential-capacity-3511-20210301-22:02:12-16024,param,,,**.nA,1,
Exponential-capacity-3511-20210301-22:02:12-16024,param,,,**.DLMaxCapacity,0,
Exponential-capacity-3511-20210301-22:02:12-16024,param,,,**.trasmitting,false,
Exponential-capacity-3512-20210301-22:02:12-16029,runattr,,,configname,Exponential-capacity,
Exponential-capacity-3512-20210301-22:02:12-16029,runattr,,,datetime,20210301-22:02:12,
Exponential-capacity-3512-20210301-22:02:12-16029,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-3512-20210301-22:02:12-16029,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-3512-20210301-22:02:12-16029,runattr,,,iterationvars,"$0=50, $1=0.01",
Exponential-capacity-3512-20210301-22:02:12-16029,runattr,,,iterationvarsf,"50,0.01-",
Exponential-capacity-3512-20210301-22:02:12-16029,runattr,,,measurement,"$0=50, $1=0.01",
Exponential-capacity-3512-20210301-22:02:12-16029,runattr,,,network,Aerocom,
Exponential-capacity-3512-20210301-22:02:12-16029,runattr,,,processid,16029,
Exponential-capacity-3512-20210301-22:02:12-16029,runattr,,,repetition,12,
Exponential-capacity-3512-20210301-22:02:12-16029,runattr,,,replication,#12,
Exponential-capacity-3512-20210301-22:02:12-16029,runattr,,,resultdir,results,
Exponential-capacity-3512-20210301-22:02:12-16029,runattr,,,runnumber,3512,
Exponential-capacity-3512-20210301-22:02:12-16029,runattr,,,seedset,12,
Exponential-capacity-3512-20210301-22:02:12-16029,param,,,**.t,2s,
Exponential-capacity-3512-20210301-22:02:12-16029,param,,,**.k,50ms,
Exponential-capacity-3512-20210301-22:02:12-16029,param,,,**.X,0.01s,
Exponential-capacity-3512-20210301-22:02:12-16029,param,,,**.m,1.5s,
Exponential-capacity-3512-20210301-22:02:12-16029,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-3512-20210301-22:02:12-16029,param,,,**.operationMode,0,
Exponential-capacity-3512-20210301-22:02:12-16029,param,,,**.s,70 byte,
Exponential-capacity-3512-20210301-22:02:12-16029,param,,,**.dimPoolMax,10000,
Exponential-capacity-3512-20210301-22:02:12-16029,param,,,**.dimPoolMin,8000,
Exponential-capacity-3512-20210301-22:02:12-16029,param,,,**.nDL,16,
Exponential-capacity-3512-20210301-22:02:12-16029,param,,,**.nA,1,
Exponential-capacity-3512-20210301-22:02:12-16029,param,,,**.DLMaxCapacity,0,
Exponential-capacity-3512-20210301-22:02:12-16029,param,,,**.trasmitting,false,
Exponential-capacity-3513-20210301-22:02:12-16029,runattr,,,configname,Exponential-capacity,
Exponential-capacity-3513-20210301-22:02:12-16029,runattr,,,datetime,20210301-22:02:12,
Exponential-capacity-3513-20210301-22:02:12-16029,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-3513-20210301-22:02:12-16029,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-3513-20210301-22:02:12-16029,runattr,,,iterationvars,"$0=50, $1=0.01",
Exponential-capacity-3513-20210301-22:02:12-16029,runattr,,,iterationvarsf,"50,0.01-",
