run,type,module,name,attrname,attrvalue,value
Exponential-capacity-1300-20210301-22:23:13-26468,runattr,,,configname,Exponential-capacity,
Exponential-capacity-1300-20210301-22:23:13-26468,runattr,,,datetime,20210301-22:23:13,
Exponential-capacity-1300-20210301-22:23:13-26468,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-1300-20210301-22:23:13-26468,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-1300-20210301-22:23:13-26468,runattr,,,iterationvars,"$0=10, $1=50",
Exponential-capacity-1300-20210301-22:23:13-26468,runattr,,,iterationvarsf,"10,50-",
Exponential-capacity-1300-20210301-22:23:13-26468,runattr,,,measurement,"$0=10, $1=50",
Exponential-capacity-1300-20210301-22:23:13-26468,runattr,,,network,Aerocom,
Exponential-capacity-1300-20210301-22:23:13-26468,runattr,,,processid,26468,
Exponential-capacity-1300-20210301-22:23:13-26468,runattr,,,repetition,0,
Exponential-capacity-1300-20210301-22:23:13-26468,runattr,,,replication,#0,
Exponential-capacity-1300-20210301-22:23:13-26468,runattr,,,resultdir,results,
Exponential-capacity-1300-20210301-22:23:13-26468,runattr,,,runnumber,1300,
Exponential-capacity-1300-20210301-22:23:13-26468,runattr,,,seedset,0,
Exponential-capacity-1300-20210301-22:23:13-26468,param,,,**.t,2s,
Exponential-capacity-1300-20210301-22:23:13-26468,param,,,**.k,10ms,
Exponential-capacity-1300-20210301-22:23:13-26468,param,,,**.X,50s,
Exponential-capacity-1300-20210301-22:23:13-26468,param,,,**.m,12s,
Exponential-capacity-1300-20210301-22:23:13-26468,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-1300-20210301-22:23:13-26468,param,,,**.operationMode,0,
Exponential-capacity-1300-20210301-22:23:13-26468,param,,,**.s,70 byte,
Exponential-capacity-1300-20210301-22:23:13-26468,param,,,**.dimPoolMax,10000,
Exponential-capacity-1300-20210301-22:23:13-26468,param,,,**.dimPoolMin,8000,
Exponential-capacity-1300-20210301-22:23:13-26468,param,,,**.nDL,16,
Exponential-capacity-1300-20210301-22:23:13-26468,param,,,**.nA,1,
Exponential-capacity-1300-20210301-22:23:13-26468,param,,,**.DLMaxCapacity,0,
Exponential-capacity-1300-20210301-22:23:13-26468,param,,,**.trasmitting,false,
Exponential-capacity-1301-20210301-22:23:13-26468,runattr,,,configname,Exponential-capacity,
Exponential-capacity-1301-20210301-22:23:13-26468,runattr,,,datetime,20210301-22:23:13,
Exponential-capacity-1301-20210301-22:23:13-26468,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-1301-20210301-22:23:13-26468,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-1301-20210301-22:23:13-26468,runattr,,,iterationvars,"$0=10, $1=50",
Exponential-capacity-1301-20210301-22:23:13-26468,runattr,,,iterationvarsf,"10,50-",
Exponential-capacity-1301-20210301-22:23:13-26468,runattr,,,measurement,"$0=10, $1=50",
Exponential-capacity-1301-20210301-22:23:13-26468,runattr,,,network,Aerocom,
Exponential-capacity-1301-20210301-22:23:13-26468,runattr,,,processid,26468,
Exponential-capacity-1301-20210301-22:23:13-26468,runattr,,,repetition,1,
Exponential-capacity-1301-20210301-22:23:13-26468,runattr,,,replication,#1,
Exponential-capacity-1301-20210301-22:23:13-26468,runattr,,,resultdir,results,
Exponential-capacity-1301-20210301-22:23:13-26468,runattr,,,runnumber,1301,
Exponential-capacity-1301-20210301-22:23:13-26468,runattr,,,seedset,1,
Exponential-capacity-1301-20210301-22:23:13-26468,param,,,**.t,2s,
Exponential-capacity-1301-20210301-22:23:13-26468,param,,,**.k,10ms,
Exponential-capacity-1301-20210301-22:23:13-26468,param,,,**.X,50s,
Exponential-capacity-1301-20210301-22:23:13-26468,param,,,**.m,12s,
Exponential-capacity-1301-20210301-22:23:13-26468,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-1301-20210301-22:23:13-26468,param,,,**.operationMode,0,
Exponential-capacity-1301-20210301-22:23:13-26468,param,,,**.s,70 byte,
Exponential-capacity-1301-20210301-22:23:13-26468,param,,,**.dimPoolMax,10000,
Exponential-capacity-1301-20210301-22:23:13-26468,param,,,**.dimPoolMin,8000,
Exponential-capacity-1301-20210301-22:23:13-26468,param,,,**.nDL,16,
Exponential-capacity-1301-20210301-22:23:13-26468,param,,,**.nA,1,
Exponential-capacity-1301-20210301-22:23:13-26468,param,,,**.DLMaxCapacity,0,
Exponential-capacity-1301-20210301-22:23:13-26468,param,,,**.trasmitting,false,
Exponential-capacity-1310-20210301-22:23:13-26473,runattr,,,configname,Exponential-capacity,
Exponential-capacity-1310-20210301-22:23:13-26473,runattr,,,datetime,20210301-22:23:13,
Exponential-capacity-1310-20210301-22:23:13-26473,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-1310-20210301-22:23:13-26473,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-1310-20210301-22:23:13-26473,runattr,,,iterationvars,"$0=10, $1=50",
Exponential-capacity-1310-20210301-22:23:13-26473,runattr,,,iterationvarsf,"10,50-",
Exponential-capacity-1310-20210301-22:23:13-26473,runattr,,,measurement,"$0=10, $1=50",
Exponential-capacity-1310-20210301-22:23:13-26473,runattr,,,network,Aerocom,
Exponential-capacity-1310-20210301-22:23:13-26473,runattr,,,processid,26473,
Exponential-capacity-1310-20210301-22:23:13-26473,runattr,,,repetition,10,
Exponential-capacity-1310-20210301-22:23:13-26473,runattr,,,replication,#10,
Exponential-capacity-1310-20210301-22:23:13-26473,runattr,,,resultdir,results,
Exponential-capacity-1310-20210301-22:23:13-26473,runattr,,,runnumber,1310,
Exponential-capacity-1310-20210301-22:23:13-26473,runattr,,,seedset,10,
Exponential-capacity-1310-20210301-22:23:13-26473,param,,,**.t,2s,
Exponential-capacity-1310-20210301-22:23:13-26473,param,,,**.k,10ms,
Exponential-capacity-1310-20210301-22:23:13-26473,param,,,**.X,50s,
Exponential-capacity-1310-20210301-22:23:13-26473,param,,,**.m,12s,
Exponential-capacity-1310-20210301-22:23:13-26473,param,,,**.tDistribution,"""exponential""",
