run,type,module,name,attrname,attrvalue,value
Exponential-capacity-1600-20210301-22:23:21-26659,runattr,,,configname,Exponential-capacity,
Exponential-capacity-1600-20210301-22:23:21-26659,runattr,,,datetime,20210301-22:23:21,
Exponential-capacity-1600-20210301-22:23:21-26659,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-1600-20210301-22:23:21-26659,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-1600-20210301-22:23:21-26659,runattr,,,iterationvars,"$0=13, $1=0.5",
Exponential-capacity-1600-20210301-22:23:21-26659,runattr,,,iterationvarsf,"13,0.5-",
Exponential-capacity-1600-20210301-22:23:21-26659,runattr,,,measurement,"$0=13, $1=0.5",
Exponential-capacity-1600-20210301-22:23:21-26659,runattr,,,network,Aerocom,
Exponential-capacity-1600-20210301-22:23:21-26659,runattr,,,processid,26659,
Exponential-capacity-1600-20210301-22:23:21-26659,runattr,,,repetition,0,
Exponential-capacity-1600-20210301-22:23:21-26659,runattr,,,replication,#0,
Exponential-capacity-1600-20210301-22:23:21-26659,runattr,,,resultdir,results,
Exponential-capacity-1600-20210301-22:23:21-26659,runattr,,,runnumber,1600,
Exponential-capacity-1600-20210301-22:23:21-26659,runattr,,,seedset,0,
Exponential-capacity-1600-20210301-22:23:21-26659,param,,,**.t,2s,
Exponential-capacity-1600-20210301-22:23:21-26659,param,,,**.k,13ms,
Exponential-capacity-1600-20210301-22:23:21-26659,param,,,**.X,0.5s,
Exponential-capacity-1600-20210301-22:23:21-26659,param,,,**.m,12s,
Exponential-capacity-1600-20210301-22:23:21-26659,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-1600-20210301-22:23:21-26659,param,,,**.operationMode,0,
Exponential-capacity-1600-20210301-22:23:21-26659,param,,,**.s,70 byte,
Exponential-capacity-1600-20210301-22:23:21-26659,param,,,**.dimPoolMax,10000,
Exponential-capacity-1600-20210301-22:23:21-26659,param,,,**.dimPoolMin,8000,
Exponential-capacity-1600-20210301-22:23:21-26659,param,,,**.nDL,16,
Exponential-capacity-1600-20210301-22:23:21-26659,param,,,**.nA,1,
Exponential-capacity-1600-20210301-22:23:21-26659,param,,,**.DLMaxCapacity,0,
Exponential-capacity-1600-20210301-22:23:21-26659,param,,,**.trasmitting,false,
Exponential-capacity-1601-20210301-22:23:21-26659,runattr,,,configname,Exponential-capacity,
Exponential-capacity-1601-20210301-22:23:21-26659,runattr,,,datetime,20210301-22:23:21,
Exponential-capacity-1601-20210301-22:23:21-26659,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-1601-20210301-22:23:21-26659,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-1601-20210301-22:23:21-26659,runattr,,,iterationvars,"$0=13, $1=0.5",
Exponential-capacity-1601-20210301-22:23:21-26659,runattr,,,iterationvarsf,"13,0.5-",
Exponential-capacity-1601-20210301-22:23:21-26659,runattr,,,measurement,"$0=13, $1=0.5",
Exponential-capacity-1601-20210301-22:23:21-26659,runattr,,,network,Aerocom,
Exponential-capacity-1601-20210301-22:23:21-26659,runattr,,,processid,26659,
Exponential-capacity-1601-20210301-22:23:21-26659,runattr,,,repetition,1,
Exponential-capacity-1601-20210301-22:23:21-26659,runattr,,,replication,#1,
Exponential-capacity-1601-20210301-22:23:21-26659,runattr,,,resultdir,results,
Exponential-capacity-1601-20210301-22:23:21-26659,runattr,,,runnumber,1601,
Exponential-capacity-1601-20210301-22:23:21-26659,runattr,,,seedset,1,
Exponential-capacity-1601-20210301-22:23:21-26659,param,,,**.t,2s,
Exponential-capacity-1601-20210301-22:23:21-26659,param,,,**.k,13ms,
Exponential-capacity-1601-20210301-22:23:21-26659,param,,,**.X,0.5s,
Exponential-capacity-1601-20210301-22:23:21-26659,param,,,**.m,12s,
Exponential-capacity-1601-20210301-22:23:21-26659,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-1601-20210301-22:23:21-26659,param,,,**.operationMode,0,
Exponential-capacity-1601-20210301-22:23:21-26659,param,,,**.s,70 byte,
Exponential-capacity-1601-20210301-22:23:21-26659,param,,,**.dimPoolMax,10000,
Exponential-capacity-1601-20210301-22:23:21-26659,param,,,**.dimPoolMin,8000,
