run,type,module,name,attrname,attrvalue,value
Exponential-capacity-1400-20210226-11:23:08-7670,runattr,,,configname,Exponential-capacity,
Exponential-capacity-1400-20210226-11:23:08-7670,runattr,,,datetime,20210226-11:23:08,
Exponential-capacity-1400-20210226-11:23:08-7670,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-1400-20210226-11:23:08-7670,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-1400-20210226-11:23:08-7670,runattr,,,iterationvars,"$0=13, $1=1.8",
Exponential-capacity-1400-20210226-11:23:08-7670,runattr,,,iterationvarsf,"13,1.8-",
Exponential-capacity-1400-20210226-11:23:08-7670,runattr,,,measurement,"$0=13, $1=1.8",
Exponential-capacity-1400-20210226-11:23:08-7670,runattr,,,network,Aerocom,
Exponential-capacity-1400-20210226-11:23:08-7670,runattr,,,processid,7670,
Exponential-capacity-1400-20210226-11:23:08-7670,runattr,,,repetition,0,
Exponential-capacity-1400-20210226-11:23:08-7670,runattr,,,replication,#0,
Exponential-capacity-1400-20210226-11:23:08-7670,runattr,,,resultdir,results,
Exponential-capacity-1400-20210226-11:23:08-7670,runattr,,,runnumber,1400,
Exponential-capacity-1400-20210226-11:23:08-7670,runattr,,,seedset,0,
Exponential-capacity-1400-20210226-11:23:08-7670,param,,,**.t,2s,
Exponential-capacity-1400-20210226-11:23:08-7670,param,,,**.k,13ms,
Exponential-capacity-1400-20210226-11:23:08-7670,param,,,**.X,0.05s,
Exponential-capacity-1400-20210226-11:23:08-7670,param,,,**.m,1.8s,
Exponential-capacity-1400-20210226-11:23:08-7670,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-1400-20210226-11:23:08-7670,param,,,**.operationMode,0,
Exponential-capacity-1400-20210226-11:23:08-7670,param,,,**.s,70 byte,
Exponential-capacity-1400-20210226-11:23:08-7670,param,,,**.dimPoolMax,10000,
Exponential-capacity-1400-20210226-11:23:08-7670,param,,,**.dimPoolMin,8000,
Exponential-capacity-1400-20210226-11:23:08-7670,param,,,**.nDL,16,
Exponential-capacity-1400-20210226-11:23:08-7670,param,,,**.nA,1,
Exponential-capacity-1400-20210226-11:23:08-7670,param,,,**.DLMaxCapacity,0,
Exponential-capacity-1400-20210226-11:23:08-7670,param,,,**.trasmitting,false,
Exponential-capacity-1401-20210226-11:23:09-7670,runattr,,,configname,Exponential-capacity,
Exponential-capacity-1401-20210226-11:23:09-7670,runattr,,,datetime,20210226-11:23:09,
Exponential-capacity-1401-20210226-11:23:09-7670,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-1401-20210226-11:23:09-7670,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-1401-20210226-11:23:09-7670,runattr,,,iterationvars,"$0=13, $1=1.8",
Exponential-capacity-1401-20210226-11:23:09-7670,runattr,,,iterationvarsf,"13,1.8-",
Exponential-capacity-1401-20210226-11:23:09-7670,runattr,,,measurement,"$0=13, $1=1.8",
Exponential-capacity-1401-20210226-11:23:09-7670,runattr,,,network,Aerocom,
Exponential-capacity-1401-20210226-11:23:09-7670,runattr,,,processid,7670,
Exponential-capacity-1401-20210226-11:23:09-7670,runattr,,,repetition,1,
Exponential-capacity-1401-20210226-11:23:09-7670,runattr,,,replication,#1,
Exponential-capacity-1401-20210226-11:23:09-7670,runattr,,,resultdir,results,
Exponential-capacity-1401-20210226-11:23:09-7670,runattr,,,runnumber,1401,
Exponential-capacity-1401-20210226-11:23:09-7670,runattr,,,seedset,1,
Exponential-capacity-1401-20210226-11:23:09-7670,param,,,**.t,2s,
Exponential-capacity-1401-20210226-11:23:09-7670,param,,,**.k,13ms,
Exponential-capacity-1401-20210226-11:23:09-7670,param,,,**.X,0.05s,
Exponential-capacity-1401-20210226-11:23:09-7670,param,,,**.m,1.8s,
Exponential-capacity-1401-20210226-11:23:09-7670,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-1401-20210226-11:23:09-7670,param,,,**.operationMode,0,
Exponential-capacity-1401-20210226-11:23:09-7670,param,,,**.s,70 byte,
Exponential-capacity-1401-20210226-11:23:09-7670,param,,,**.dimPoolMax,10000,
Exponential-capacity-1401-20210226-11:23:09-7670,param,,,**.dimPoolMin,8000,
Exponential-capacity-1401-20210226-11:23:09-7670,param,,,**.nDL,16,
Exponential-capacity-1401-20210226-11:23:09-7670,param,,,**.nA,1,
Exponential-capacity-1401-20210226-11:23:09-7670,param,,,**.DLMaxCapacity,0,
Exponential-capacity-1401-20210226-11:23:09-7670,param,,,**.trasmitting,false,
Exponential-capacity-1410-20210226-11:23:16-7709,runattr,,,configname,Exponential-capacity,
Exponential-capacity-1410-20210226-11:23:16-7709,runattr,,,datetime,20210226-11:23:16,
Exponential-capacity-1410-20210226-11:23:16-7709,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-1410-20210226-11:23:16-7709,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-1410-20210226-11:23:16-7709,runattr,,,iterationvars,"$0=13, $1=1.8",
Exponential-capacity-1410-20210226-11:23:16-7709,runattr,,,iterationvarsf,"13,1.8-",
Exponential-capacity-1410-20210226-11:23:16-7709,runattr,,,measurement,"$0=13, $1=1.8",
Exponential-capacity-1410-20210226-11:23:16-7709,runattr,,,network,Aerocom,
Exponential-capacity-1410-20210226-11:23:16-7709,runattr,,,processid,7709,
Exponential-capacity-1410-20210226-11:23:16-7709,runattr,,,repetition,10,
Exponential-capacity-1410-20210226-11:23:16-7709,runattr,,,replication,#10,
Exponential-capacity-1410-20210226-11:23:16-7709,runattr,,,resultdir,results,
Exponential-capacity-1410-20210226-11:23:16-7709,runattr,,,runnumber,1410,
Exponential-capacity-1410-20210226-11:23:16-7709,runattr,,,seedset,10,
Exponential-capacity-1410-20210226-11:23:16-7709,param,,,**.t,2s,
Exponential-capacity-1410-20210226-11:23:16-7709,param,,,**.k,13ms,
Exponential-capacity-1410-20210226-11:23:16-7709,param,,,**.X,0.05s,
Exponential-capacity-1410-20210226-11:23:16-7709,param,,,**.m,1.8s,
Exponential-capacity-1410-20210226-11:23:16-7709,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-1410-20210226-11:23:16-7709,param,,,**.operationMode,0,
Exponential-capacity-1410-20210226-11:23:16-7709,param,,,**.s,70 byte,
Exponential-capacity-1410-20210226-11:23:16-7709,param,,,**.dimPoolMax,10000,
Exponential-capacity-1410-20210226-11:23:16-7709,param,,,**.dimPoolMin,8000,
Exponential-capacity-1410-20210226-11:23:16-7709,param,,,**.nDL,16,
Exponential-capacity-1410-20210226-11:23:16-7709,param,,,**.nA,1,
Exponential-capacity-1410-20210226-11:23:16-7709,param,,,**.DLMaxCapacity,0,
Exponential-capacity-1410-20210226-11:23:16-7709,param,,,**.trasmitting,false,
Exponential-capacity-1411-20210226-11:23:18-7709,runattr,,,configname,Exponential-capacity,
Exponential-capacity-1411-20210226-11:23:18-7709,runattr,,,datetime,20210226-11:23:18,
Exponential-capacity-1411-20210226-11:23:18-7709,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-1411-20210226-11:23:18-7709,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-1411-20210226-11:23:18-7709,runattr,,,iterationvars,"$0=13, $1=1.8",
Exponential-capacity-1411-20210226-11:23:18-7709,runattr,,,iterationvarsf,"13,1.8-",
Exponential-capacity-1411-20210226-11:23:18-7709,runattr,,,measurement,"$0=13, $1=1.8",
Exponential-capacity-1411-20210226-11:23:18-7709,runattr,,,network,Aerocom,
Exponential-capacity-1411-20210226-11:23:18-7709,runattr,,,processid,7709,
Exponential-capacity-1411-20210226-11:23:18-7709,runattr,,,repetition,11,
Exponential-capacity-1411-20210226-11:23:18-7709,runattr,,,replication,#11,
Exponential-capacity-1411-20210226-11:23:18-7709,runattr,,,resultdir,results,
Exponential-capacity-1411-20210226-11:23:18-7709,runattr,,,runnumber,1411,
Exponential-capacity-1411-20210226-11:23:18-7709,runattr,,,seedset,11,
Exponential-capacity-1411-20210226-11:23:18-7709,param,,,**.t,2s,
Exponential-capacity-1411-20210226-11:23:18-7709,param,,,**.k,13ms,
Exponential-capacity-1411-20210226-11:23:18-7709,param,,,**.X,0.05s,
Exponential-capacity-1411-20210226-11:23:18-7709,param,,,**.m,1.8s,
Exponential-capacity-1411-20210226-11:23:18-7709,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-1411-20210226-11:23:18-7709,param,,,**.operationMode,0,
Exponential-capacity-1411-20210226-11:23:18-7709,param,,,**.s,70 byte,
Exponential-capacity-1411-20210226-11:23:18-7709,param,,,**.dimPoolMax,10000,
Exponential-capacity-1411-20210226-11:23:18-7709,param,,,**.dimPoolMin,8000,
Exponential-capacity-1411-20210226-11:23:18-7709,param,,,**.nDL,16,
Exponential-capacity-1411-20210226-11:23:18-7709,param,,,**.nA,1,
Exponential-capacity-1411-20210226-11:23:18-7709,param,,,**.DLMaxCapacity,0,
Exponential-capacity-1411-20210226-11:23:18-7709,param,,,**.trasmitting,false,
Exponential-capacity-1412-20210226-11:23:19-7709,runattr,,,configname,Exponential-capacity,
Exponential-capacity-1412-20210226-11:23:19-7709,runattr,,,datetime,20210226-11:23:19,
Exponential-capacity-1412-20210226-11:23:19-7709,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-1412-20210226-11:23:19-7709,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-1412-20210226-11:23:19-7709,runattr,,,iterationvars,"$0=13, $1=1.8",
Exponential-capacity-1412-20210226-11:23:19-7709,runattr,,,iterationvarsf,"13,1.8-",
Exponential-capacity-1412-20210226-11:23:19-7709,runattr,,,measurement,"$0=13, $1=1.8",
Exponential-capacity-1412-20210226-11:23:19-7709,runattr,,,network,Aerocom,
Exponential-capacity-1412-20210226-11:23:19-7709,runattr,,,processid,7709,
Exponential-capacity-1412-20210226-11:23:19-7709,runattr,,,repetition,12,
Exponential-capacity-1412-20210226-11:23:19-7709,runattr,,,replication,#12,
Exponential-capacity-1412-20210226-11:23:19-7709,runattr,,,resultdir,results,
Exponential-capacity-1412-20210226-11:23:19-7709,runattr,,,runnumber,1412,
Exponential-capacity-1412-20210226-11:23:19-7709,runattr,,,seedset,12,
Exponential-capacity-1412-20210226-11:23:19-7709,param,,,**.t,2s,
Exponential-capacity-1412-20210226-11:23:19-7709,param,,,**.k,13ms,
Exponential-capacity-1412-20210226-11:23:19-7709,param,,,**.X,0.05s,
Exponential-capacity-1412-20210226-11:23:19-7709,param,,,**.m,1.8s,
Exponential-capacity-1412-20210226-11:23:19-7709,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-1412-20210226-11:23:19-7709,param,,,**.operationMode,0,
Exponential-capacity-1412-20210226-11:23:19-7709,param,,,**.s,70 byte,
Exponential-capacity-1412-20210226-11:23:19-7709,param,,,**.dimPoolMax,10000,
Exponential-capacity-1412-20210226-11:23:19-7709,param,,,**.dimPoolMin,8000,
Exponential-capacity-1412-20210226-11:23:19-7709,param,,,**.nDL,16,
Exponential-capacity-1412-20210226-11:23:19-7709,param,,,**.nA,1,
Exponential-capacity-1412-20210226-11:23:19-7709,param,,,**.DLMaxCapacity,0,
Exponential-capacity-1412-20210226-11:23:19-7709,param,,,**.trasmitting,false,
Exponential-capacity-1413-20210226-11:23:31-7709,runattr,,,configname,Exponential-capacity,
Exponential-capacity-1413-20210226-11:23:31-7709,runattr,,,datetime,20210226-11:23:31,
Exponential-capacity-1413-20210226-11:23:31-7709,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-1413-20210226-11:23:31-7709,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-1413-20210226-11:23:31-7709,runattr,,,iterationvars,"$0=13, $1=1.8",
Exponential-capacity-1413-20210226-11:23:31-7709,runattr,,,iterationvarsf,"13,1.8-",
Exponential-capacity-1413-20210226-11:23:31-7709,runattr,,,measurement,"$0=13, $1=1.8",
Exponential-capacity-1413-20210226-11:23:31-7709,runattr,,,network,Aerocom,
Exponential-capacity-1413-20210226-11:23:31-7709,runattr,,,processid,7709,
Exponential-capacity-1413-20210226-11:23:31-7709,runattr,,,repetition,13,
Exponential-capacity-1413-20210226-11:23:31-7709,runattr,,,replication,#13,
Exponential-capacity-1413-20210226-11:23:31-7709,runattr,,,resultdir,results,
Exponential-capacity-1413-20210226-11:23:31-7709,runattr,,,runnumber,1413,
Exponential-capacity-1413-20210226-11:23:31-7709,runattr,,,seedset,13,
Exponential-capacity-1413-20210226-11:23:31-7709,param,,,**.t,2s,
Exponential-capacity-1413-20210226-11:23:31-7709,param,,,**.k,13ms,
Exponential-capacity-1413-20210226-11:23:31-7709,param,,,**.X,0.05s,
Exponential-capacity-1413-20210226-11:23:31-7709,param,,,**.m,1.8s,
Exponential-capacity-1413-20210226-11:23:31-7709,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-1413-20210226-11:23:31-7709,param,,,**.operationMode,0,
Exponential-capacity-1413-20210226-11:23:31-7709,param,,,**.s,70 byte,
Exponential-capacity-1413-20210226-11:23:31-7709,param,,,**.dimPoolMax,10000,
Exponential-capacity-1413-20210226-11:23:31-7709,param,,,**.dimPoolMin,8000,
Exponential-capacity-1413-20210226-11:23:31-7709,param,,,**.nDL,16,
Exponential-capacity-1413-20210226-11:23:31-7709,param,,,**.nA,1,
Exponential-capacity-1413-20210226-11:23:31-7709,param,,,**.DLMaxCapacity,0,
Exponential-capacity-1413-20210226-11:23:31-7709,param,,,**.trasmitting,false,
Exponential-capacity-1414-20210226-11:23:33-7709,runattr,,,configname,Exponential-capacity,
Exponential-capacity-1414-20210226-11:23:33-7709,runattr,,,datetime,20210226-11:23:33,
Exponential-capacity-1414-20210226-11:23:33-7709,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-1414-20210226-11:23:33-7709,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-1414-20210226-11:23:33-7709,runattr,,,iterationvars,"$0=13, $1=1.8",
Exponential-capacity-1414-20210226-11:23:33-7709,runattr,,,iterationvarsf,"13,1.8-",
Exponential-capacity-1414-20210226-11:23:33-7709,runattr,,,measurement,"$0=13, $1=1.8",
Exponential-capacity-1414-20210226-11:23:33-7709,runattr,,,network,Aerocom,
Exponential-capacity-1414-20210226-11:23:33-7709,runattr,,,processid,7709,
Exponential-capacity-1414-20210226-11:23:33-7709,runattr,,,repetition,14,
Exponential-capacity-1414-20210226-11:23:33-7709,runattr,,,replication,#14,
Exponential-capacity-1414-20210226-11:23:33-7709,runattr,,,resultdir,results,
Exponential-capacity-1414-20210226-11:23:33-7709,runattr,,,runnumber,1414,
Exponential-capacity-1414-20210226-11:23:33-7709,runattr,,,seedset,14,
Exponential-capacity-1414-20210226-11:23:33-7709,param,,,**.t,2s,
Exponential-capacity-1414-20210226-11:23:33-7709,param,,,**.k,13ms,
Exponential-capacity-1414-20210226-11:23:33-7709,param,,,**.X,0.05s,
Exponential-capacity-1414-20210226-11:23:33-7709,param,,,**.m,1.8s,
Exponential-capacity-1414-20210226-11:23:33-7709,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-1414-20210226-11:23:33-7709,param,,,**.operationMode,0,
Exponential-capacity-1414-20210226-11:23:33-7709,param,,,**.s,70 byte,
Exponential-capacity-1414-20210226-11:23:33-7709,param,,,**.dimPoolMax,10000,
Exponential-capacity-1414-20210226-11:23:33-7709,param,,,**.dimPoolMin,8000,
