run,type,module,name,attrname,attrvalue,value
Exponential-capacity-3400-20210226-11:30:22-12859,runattr,,,configname,Exponential-capacity,
Exponential-capacity-3400-20210226-11:30:22-12859,runattr,,,datetime,20210226-11:30:22,
Exponential-capacity-3400-20210226-11:30:22-12859,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-3400-20210226-11:30:22-12859,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-3400-20210226-11:30:22-12859,runattr,,,iterationvars,"$0=50, $1=12",
Exponential-capacity-3400-20210226-11:30:22-12859,runattr,,,iterationvarsf,"50,12-",
Exponential-capacity-3400-20210226-11:30:22-12859,runattr,,,measurement,"$0=50, $1=12",
Exponential-capacity-3400-20210226-11:30:22-12859,runattr,,,network,Aerocom,
Exponential-capacity-3400-20210226-11:30:22-12859,runattr,,,processid,12859,
Exponential-capacity-3400-20210226-11:30:22-12859,runattr,,,repetition,0,
Exponential-capacity-3400-20210226-11:30:22-12859,runattr,,,replication,#0,
Exponential-capacity-3400-20210226-11:30:22-12859,runattr,,,resultdir,results,
Exponential-capacity-3400-20210226-11:30:22-12859,runattr,,,runnumber,3400,
Exponential-capacity-3400-20210226-11:30:22-12859,runattr,,,seedset,0,
Exponential-capacity-3400-20210226-11:30:22-12859,param,,,**.t,2s,
Exponential-capacity-3400-20210226-11:30:22-12859,param,,,**.k,50ms,
Exponential-capacity-3400-20210226-11:30:22-12859,param,,,**.X,0.05s,
Exponential-capacity-3400-20210226-11:30:22-12859,param,,,**.m,12s,
Exponential-capacity-3400-20210226-11:30:22-12859,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-3400-20210226-11:30:22-12859,param,,,**.operationMode,0,
Exponential-capacity-3400-20210226-11:30:22-12859,param,,,**.s,70 byte,
Exponential-capacity-3400-20210226-11:30:22-12859,param,,,**.dimPoolMax,10000,
Exponential-capacity-3400-20210226-11:30:22-12859,param,,,**.dimPoolMin,8000,
