run,type,module,name,attrname,attrvalue,value
Lognormal-capacity-2500-20210226-11:28:12-11020,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-2500-20210226-11:28:12-11020,runattr,,,datetime,20210226-11:28:12,
Lognormal-capacity-2500-20210226-11:28:12-11020,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-2500-20210226-11:28:12-11020,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-2500-20210226-11:28:12-11020,runattr,,,iterationvars,"$0=20, $1=1.5",
Lognormal-capacity-2500-20210226-11:28:12-11020,runattr,,,iterationvarsf,"20,1.5-",
Lognormal-capacity-2500-20210226-11:28:12-11020,runattr,,,measurement,"$0=20, $1=1.5",
Lognormal-capacity-2500-20210226-11:28:12-11020,runattr,,,network,Aerocom,
Lognormal-capacity-2500-20210226-11:28:12-11020,runattr,,,processid,11020,
Lognormal-capacity-2500-20210226-11:28:12-11020,runattr,,,repetition,0,
Lognormal-capacity-2500-20210226-11:28:12-11020,runattr,,,replication,#0,
Lognormal-capacity-2500-20210226-11:28:12-11020,runattr,,,resultdir,results,
Lognormal-capacity-2500-20210226-11:28:12-11020,runattr,,,runnumber,2500,
Lognormal-capacity-2500-20210226-11:28:12-11020,runattr,,,seedset,0,
Lognormal-capacity-2500-20210226-11:28:12-11020,param,,,**.t,2s,
Lognormal-capacity-2500-20210226-11:28:12-11020,param,,,**.k,20ms,
Lognormal-capacity-2500-20210226-11:28:12-11020,param,,,**.X,0.05s,
Lognormal-capacity-2500-20210226-11:28:12-11020,param,,,**.m,1.5s,
Lognormal-capacity-2500-20210226-11:28:12-11020,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-2500-20210226-11:28:12-11020,param,,,**.operationMode,0,
Lognormal-capacity-2500-20210226-11:28:12-11020,param,,,**.s,70 byte,
Lognormal-capacity-2500-20210226-11:28:12-11020,param,,,**.dimPoolMax,10000,
Lognormal-capacity-2500-20210226-11:28:12-11020,param,,,**.dimPoolMin,8000,
Lognormal-capacity-2500-20210226-11:28:12-11020,param,,,**.nDL,16,
Lognormal-capacity-2500-20210226-11:28:12-11020,param,,,**.nA,1,
Lognormal-capacity-2500-20210226-11:28:12-11020,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-2500-20210226-11:28:12-11020,param,,,**.trasmitting,false,
