run,type,module,name,attrname,attrvalue,value
Lognormal-capacity-2900-20210226-11:29:15-11955,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-2900-20210226-11:29:15-11955,runattr,,,datetime,20210226-11:29:15,
Lognormal-capacity-2900-20210226-11:29:15-11955,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-2900-20210226-11:29:15-11955,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-2900-20210226-11:29:15-11955,runattr,,,iterationvars,"$0=20, $1=20",
Lognormal-capacity-2900-20210226-11:29:15-11955,runattr,,,iterationvarsf,"20,20-",
Lognormal-capacity-2900-20210226-11:29:15-11955,runattr,,,measurement,"$0=20, $1=20",
Lognormal-capacity-2900-20210226-11:29:15-11955,runattr,,,network,Aerocom,
Lognormal-capacity-2900-20210226-11:29:15-11955,runattr,,,processid,11955,
Lognormal-capacity-2900-20210226-11:29:15-11955,runattr,,,repetition,0,
Lognormal-capacity-2900-20210226-11:29:15-11955,runattr,,,replication,#0,
Lognormal-capacity-2900-20210226-11:29:15-11955,runattr,,,resultdir,results,
Lognormal-capacity-2900-20210226-11:29:15-11955,runattr,,,runnumber,2900,
Lognormal-capacity-2900-20210226-11:29:15-11955,runattr,,,seedset,0,
Lognormal-capacity-2900-20210226-11:29:15-11955,param,,,**.t,2s,
Lognormal-capacity-2900-20210226-11:29:15-11955,param,,,**.k,20ms,
Lognormal-capacity-2900-20210226-11:29:15-11955,param,,,**.X,0.05s,
Lognormal-capacity-2900-20210226-11:29:15-11955,param,,,**.m,20s,
Lognormal-capacity-2900-20210226-11:29:15-11955,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-2900-20210226-11:29:15-11955,param,,,**.operationMode,0,
Lognormal-capacity-2900-20210226-11:29:15-11955,param,,,**.s,70 byte,
Lognormal-capacity-2900-20210226-11:29:15-11955,param,,,**.dimPoolMax,10000,
Lognormal-capacity-2900-20210226-11:29:15-11955,param,,,**.dimPoolMin,8000,
Lognormal-capacity-2900-20210226-11:29:15-11955,param,,,**.nDL,16,
Lognormal-capacity-2900-20210226-11:29:15-11955,param,,,**.nA,1,
Lognormal-capacity-2900-20210226-11:29:15-11955,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-2900-20210226-11:29:15-11955,param,,,**.trasmitting,false,
Lognormal-capacity-2901-20210226-11:29:15-11955,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-2901-20210226-11:29:15-11955,runattr,,,datetime,20210226-11:29:15,
Lognormal-capacity-2901-20210226-11:29:15-11955,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-2901-20210226-11:29:15-11955,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-2901-20210226-11:29:15-11955,runattr,,,iterationvars,"$0=20, $1=20",
Lognormal-capacity-2901-20210226-11:29:15-11955,runattr,,,iterationvarsf,"20,20-",
Lognormal-capacity-2901-20210226-11:29:15-11955,runattr,,,measurement,"$0=20, $1=20",
Lognormal-capacity-2901-20210226-11:29:15-11955,runattr,,,network,Aerocom,
Lognormal-capacity-2901-20210226-11:29:15-11955,runattr,,,processid,11955,
Lognormal-capacity-2901-20210226-11:29:15-11955,runattr,,,repetition,1,
Lognormal-capacity-2901-20210226-11:29:15-11955,runattr,,,replication,#1,
Lognormal-capacity-2901-20210226-11:29:15-11955,runattr,,,resultdir,results,
Lognormal-capacity-2901-20210226-11:29:15-11955,runattr,,,runnumber,2901,
Lognormal-capacity-2901-20210226-11:29:15-11955,runattr,,,seedset,1,
Lognormal-capacity-2901-20210226-11:29:15-11955,param,,,**.t,2s,
Lognormal-capacity-2901-20210226-11:29:15-11955,param,,,**.k,20ms,
Lognormal-capacity-2901-20210226-11:29:15-11955,param,,,**.X,0.05s,
Lognormal-capacity-2901-20210226-11:29:15-11955,param,,,**.m,20s,
Lognormal-capacity-2901-20210226-11:29:15-11955,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-2901-20210226-11:29:15-11955,param,,,**.operationMode,0,
Lognormal-capacity-2901-20210226-11:29:15-11955,param,,,**.s,70 byte,
Lognormal-capacity-2901-20210226-11:29:15-11955,param,,,**.dimPoolMax,10000,
Lognormal-capacity-2901-20210226-11:29:15-11955,param,,,**.dimPoolMin,8000,
Lognormal-capacity-2901-20210226-11:29:15-11955,param,,,**.nDL,16,
Lognormal-capacity-2901-20210226-11:29:15-11955,param,,,**.nA,1,
Lognormal-capacity-2901-20210226-11:29:15-11955,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-2901-20210226-11:29:15-11955,param,,,**.trasmitting,false,
Lognormal-capacity-2910-20210226-11:29:17-11960,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-2910-20210226-11:29:17-11960,runattr,,,datetime,20210226-11:29:17,
Lognormal-capacity-2910-20210226-11:29:17-11960,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-2910-20210226-11:29:17-11960,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-2910-20210226-11:29:17-11960,runattr,,,iterationvars,"$0=20, $1=20",
Lognormal-capacity-2910-20210226-11:29:17-11960,runattr,,,iterationvarsf,"20,20-",
Lognormal-capacity-2910-20210226-11:29:17-11960,runattr,,,measurement,"$0=20, $1=20",
Lognormal-capacity-2910-20210226-11:29:17-11960,runattr,,,network,Aerocom,
Lognormal-capacity-2910-20210226-11:29:17-11960,runattr,,,processid,11960,
Lognormal-capacity-2910-20210226-11:29:17-11960,runattr,,,repetition,10,
Lognormal-capacity-2910-20210226-11:29:17-11960,runattr,,,replication,#10,
Lognormal-capacity-2910-20210226-11:29:17-11960,runattr,,,resultdir,results,
Lognormal-capacity-2910-20210226-11:29:17-11960,runattr,,,runnumber,2910,
Lognormal-capacity-2910-20210226-11:29:17-11960,runattr,,,seedset,10,
Lognormal-capacity-2910-20210226-11:29:17-11960,param,,,**.t,2s,
Lognormal-capacity-2910-20210226-11:29:17-11960,param,,,**.k,20ms,
Lognormal-capacity-2910-20210226-11:29:17-11960,param,,,**.X,0.05s,
Lognormal-capacity-2910-20210226-11:29:17-11960,param,,,**.m,20s,
Lognormal-capacity-2910-20210226-11:29:17-11960,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-2910-20210226-11:29:17-11960,param,,,**.operationMode,0,
Lognormal-capacity-2910-20210226-11:29:17-11960,param,,,**.s,70 byte,
Lognormal-capacity-2910-20210226-11:29:17-11960,param,,,**.dimPoolMax,10000,
Lognormal-capacity-2910-20210226-11:29:17-11960,param,,,**.dimPoolMin,8000,
Lognormal-capacity-2910-20210226-11:29:17-11960,param,,,**.nDL,16,
Lognormal-capacity-2910-20210226-11:29:17-11960,param,,,**.nA,1,
Lognormal-capacity-2910-20210226-11:29:17-11960,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-2910-20210226-11:29:17-11960,param,,,**.trasmitting,false,
Lognormal-capacity-2911-20210226-11:29:18-11960,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-2911-20210226-11:29:18-11960,runattr,,,datetime,20210226-11:29:18,
Lognormal-capacity-2911-20210226-11:29:18-11960,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-2911-20210226-11:29:18-11960,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-2911-20210226-11:29:18-11960,runattr,,,iterationvars,"$0=20, $1=20",
