run,type,module,name,attrname,attrvalue,value
Nonmonitoring-exponential-500-20210226-11:15:58-3894,runattr,,,configname,Nonmonitoring-exponential,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,runattr,,,datetime,20210226-11:15:58,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,runattr,,,experiment,Nonmonitoring-exponential,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,runattr,,,inifile,aerocom.ini,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,runattr,,,iterationvars,$0=50,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,runattr,,,iterationvarsf,50-,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,runattr,,,measurement,$0=50,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,runattr,,,network,Aerocom,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,runattr,,,processid,3894,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,runattr,,,repetition,0,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,runattr,,,replication,#0,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,runattr,,,resultdir,results,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,runattr,,,runnumber,500,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,runattr,,,seedset,0,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,param,,,**.t,2s,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,param,,,**.k,50ms,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,param,,,**.X,0.05s,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,param,,,**.m,1s,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,param,,,**.tDistribution,"""exponential""",
Nonmonitoring-exponential-500-20210226-11:15:58-3894,param,,,**.operationMode,1,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,param,,,**.s,70 byte,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,param,,,**.dimPoolMax,10000,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,param,,,**.dimPoolMin,8000,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,param,,,**.nDL,16,
Nonmonitoring-exponential-500-20210226-11:15:58-3894,param,,,**.nA,1,
