run,type,module,name,attrname,attrvalue,value
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,runattr,,,datetime,20210226-11:13:24,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,runattr,,,iterationvars,$0=10,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,runattr,,,iterationvarsf,10-,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,runattr,,,measurement,$0=10,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,runattr,,,processid,1888,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,runattr,,,repetition,0,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,runattr,,,replication,#0,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,runattr,,,resultdir,results,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,runattr,,,runnumber,100,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,runattr,,,seedset,0,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,param,,,**.t,2s,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,param,,,**.k,10ms,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,param,,,**.X,0.05s,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,param,,,**.m,1s,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,param,,,**.operationMode,1,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,param,,,**.s,70 byte,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,param,,,**.nDL,16,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,param,,,**.nA,1,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-100-20210226-11:13:24-1888,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,runattr,,,datetime,20210226-11:13:28,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,runattr,,,iterationvars,$0=10,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,runattr,,,iterationvarsf,10-,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,runattr,,,measurement,$0=10,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,runattr,,,processid,1888,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,runattr,,,repetition,1,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,runattr,,,replication,#1,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,runattr,,,resultdir,results,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,runattr,,,runnumber,101,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,runattr,,,seedset,1,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,param,,,**.t,2s,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,param,,,**.k,10ms,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,param,,,**.X,0.05s,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,param,,,**.m,1s,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,param,,,**.operationMode,1,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,param,,,**.s,70 byte,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,param,,,**.nDL,16,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,param,,,**.nA,1,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-101-20210226-11:13:28-1888,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,runattr,,,datetime,20210226-11:13:28,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,runattr,,,iterationvars,$0=10,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,runattr,,,iterationvarsf,10-,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,runattr,,,measurement,$0=10,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,runattr,,,processid,1893,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,runattr,,,repetition,10,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,runattr,,,replication,#10,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,runattr,,,resultdir,results,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,runattr,,,runnumber,110,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,runattr,,,seedset,10,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,param,,,**.t,2s,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,param,,,**.k,10ms,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,param,,,**.X,0.05s,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,param,,,**.m,1s,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,param,,,**.operationMode,1,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,param,,,**.s,70 byte,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,param,,,**.nDL,16,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,param,,,**.nA,1,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-110-20210226-11:13:28-1893,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,runattr,,,datetime,20210226-11:13:37,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,runattr,,,iterationvars,$0=10,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,runattr,,,iterationvarsf,10-,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,runattr,,,measurement,$0=10,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,runattr,,,processid,1893,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,runattr,,,repetition,11,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,runattr,,,replication,#11,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,runattr,,,resultdir,results,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,runattr,,,runnumber,111,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,runattr,,,seedset,11,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,param,,,**.t,2s,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,param,,,**.k,10ms,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,param,,,**.X,0.05s,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,param,,,**.m,1s,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,param,,,**.operationMode,1,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,param,,,**.s,70 byte,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,param,,,**.nDL,16,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,param,,,**.nA,1,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-111-20210226-11:13:37-1893,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,runattr,,,datetime,20210226-11:13:04,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,runattr,,,iterationvars,$0=10,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,runattr,,,iterationvarsf,10-,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,runattr,,,measurement,$0=10,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,runattr,,,processid,1898,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,runattr,,,repetition,13,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,runattr,,,replication,#13,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,runattr,,,resultdir,results,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,runattr,,,runnumber,113,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,runattr,,,seedset,13,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,param,,,**.t,2s,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,param,,,**.k,10ms,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,param,,,**.X,0.05s,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,param,,,**.m,1s,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,param,,,**.operationMode,1,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,param,,,**.s,70 byte,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,param,,,**.nDL,16,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,param,,,**.nA,1,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-113-20210226-11:13:04-1898,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,runattr,,,datetime,20210226-11:13:01,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,runattr,,,iterationvars,$0=10,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,runattr,,,iterationvarsf,10-,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,runattr,,,measurement,$0=10,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,runattr,,,processid,1898,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,runattr,,,repetition,12,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,runattr,,,replication,#12,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,runattr,,,resultdir,results,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,runattr,,,runnumber,112,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,runattr,,,seedset,12,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,param,,,**.t,2s,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,param,,,**.k,10ms,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,param,,,**.X,0.05s,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,param,,,**.m,1s,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,param,,,**.operationMode,1,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,param,,,**.s,70 byte,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,param,,,**.nDL,16,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,param,,,**.nA,1,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-112-20210226-11:13:01-1898,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,runattr,,,datetime,20210226-11:13:18,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,runattr,,,iterationvars,$0=10,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,runattr,,,iterationvarsf,10-,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,runattr,,,measurement,$0=10,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,runattr,,,processid,1898,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,runattr,,,repetition,15,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,runattr,,,replication,#15,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,runattr,,,resultdir,results,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,runattr,,,runnumber,115,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,runattr,,,seedset,15,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,param,,,**.t,2s,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,param,,,**.k,10ms,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,param,,,**.X,0.05s,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,param,,,**.m,1s,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,param,,,**.operationMode,1,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,param,,,**.s,70 byte,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,param,,,**.dimPoolMax,10000,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,param,,,**.nDL,16,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,param,,,**.nA,1,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-115-20210226-11:13:18-1898,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-114-20210226-11:13:14-1898,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-114-20210226-11:13:14-1898,runattr,,,datetime,20210226-11:13:14,
Nonmonitoring-lognormal-114-20210226-11:13:14-1898,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-114-20210226-11:13:14-1898,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-114-20210226-11:13:14-1898,runattr,,,iterationvars,$0=10,
Nonmonitoring-lognormal-114-20210226-11:13:14-1898,runattr,,,iterationvarsf,10-,
Nonmonitoring-lognormal-114-20210226-11:13:14-1898,runattr,,,measurement,$0=10,
Nonmonitoring-lognormal-114-20210226-11:13:14-1898,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-114-20210226-11:13:14-1898,runattr,,,processid,1898,
Nonmonitoring-lognormal-114-20210226-11:13:14-1898,runattr,,,repetition,14,
Nonmonitoring-lognormal-114-20210226-11:13:14-1898,runattr,,,replication,#14,
Nonmonitoring-lognormal-114-20210226-11:13:14-1898,runattr,,,resultdir,results,
Nonmonitoring-lognormal-114-20210226-11:13:14-1898,runattr,,,runnumber,114,
