run,type,module,name,attrname,attrvalue,value
Lognormal-capacity-110-20210303-17:45:39-7651,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-110-20210303-17:45:39-7651,runattr,,,datetime,20210303-17:45:39,
Lognormal-capacity-110-20210303-17:45:39-7651,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-110-20210303-17:45:39-7651,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-110-20210303-17:45:39-7651,runattr,,,iterationvars,$0=0.05,
Lognormal-capacity-110-20210303-17:45:39-7651,runattr,,,iterationvarsf,0.05-,
Lognormal-capacity-110-20210303-17:45:39-7651,runattr,,,measurement,$0=0.05,
Lognormal-capacity-110-20210303-17:45:39-7651,runattr,,,network,Aerocom,
Lognormal-capacity-110-20210303-17:45:39-7651,runattr,,,processid,7651,
Lognormal-capacity-110-20210303-17:45:39-7651,runattr,,,repetition,10,
Lognormal-capacity-110-20210303-17:45:39-7651,runattr,,,replication,#10,
Lognormal-capacity-110-20210303-17:45:39-7651,runattr,,,resultdir,results,
Lognormal-capacity-110-20210303-17:45:39-7651,runattr,,,runnumber,110,
Lognormal-capacity-110-20210303-17:45:39-7651,runattr,,,seedset,10,
Lognormal-capacity-110-20210303-17:45:39-7651,param,,,**.t,2s,
Lognormal-capacity-110-20210303-17:45:39-7651,param,,,**.k,20ms,
Lognormal-capacity-110-20210303-17:45:39-7651,param,,,**.X,0.05s,
Lognormal-capacity-110-20210303-17:45:39-7651,param,,,**.m,4.5s,
Lognormal-capacity-110-20210303-17:45:39-7651,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-110-20210303-17:45:39-7651,param,,,**.operationMode,0,
Lognormal-capacity-110-20210303-17:45:39-7651,param,,,**.s,70 byte,
Lognormal-capacity-110-20210303-17:45:39-7651,param,,,**.dimPoolMax,10000,
Lognormal-capacity-110-20210303-17:45:39-7651,param,,,**.dimPoolMin,8000,
Lognormal-capacity-110-20210303-17:45:39-7651,param,,,**.nDL,2,
Lognormal-capacity-110-20210303-17:45:39-7651,param,,,**.nA,1,
Lognormal-capacity-110-20210303-17:45:39-7651,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-110-20210303-17:45:39-7651,param,,,**.trasmitting,false,
Lognormal-capacity-100-20210303-17:45:38-7650,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-100-20210303-17:45:38-7650,runattr,,,datetime,20210303-17:45:38,
Lognormal-capacity-100-20210303-17:45:38-7650,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-100-20210303-17:45:38-7650,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-100-20210303-17:45:38-7650,runattr,,,iterationvars,$0=0.05,
Lognormal-capacity-100-20210303-17:45:38-7650,runattr,,,iterationvarsf,0.05-,
Lognormal-capacity-100-20210303-17:45:38-7650,runattr,,,measurement,$0=0.05,
Lognormal-capacity-100-20210303-17:45:38-7650,runattr,,,network,Aerocom,
Lognormal-capacity-100-20210303-17:45:38-7650,runattr,,,processid,7650,
Lognormal-capacity-100-20210303-17:45:38-7650,runattr,,,repetition,0,
Lognormal-capacity-100-20210303-17:45:38-7650,runattr,,,replication,#0,
Lognormal-capacity-100-20210303-17:45:38-7650,runattr,,,resultdir,results,
Lognormal-capacity-100-20210303-17:45:38-7650,runattr,,,runnumber,100,
Lognormal-capacity-100-20210303-17:45:38-7650,runattr,,,seedset,0,
Lognormal-capacity-100-20210303-17:45:38-7650,param,,,**.t,2s,
Lognormal-capacity-100-20210303-17:45:38-7650,param,,,**.k,20ms,
Lognormal-capacity-100-20210303-17:45:38-7650,param,,,**.X,0.05s,
Lognormal-capacity-100-20210303-17:45:38-7650,param,,,**.m,4.5s,
Lognormal-capacity-100-20210303-17:45:38-7650,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-100-20210303-17:45:38-7650,param,,,**.operationMode,0,
Lognormal-capacity-100-20210303-17:45:38-7650,param,,,**.s,70 byte,
Lognormal-capacity-100-20210303-17:45:38-7650,param,,,**.dimPoolMax,10000,
Lognormal-capacity-100-20210303-17:45:38-7650,param,,,**.dimPoolMin,8000,
Lognormal-capacity-100-20210303-17:45:38-7650,param,,,**.nDL,2,
Lognormal-capacity-100-20210303-17:45:38-7650,param,,,**.nA,1,
Lognormal-capacity-100-20210303-17:45:38-7650,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-100-20210303-17:45:38-7650,param,,,**.trasmitting,false,
Lognormal-capacity-101-20210303-17:45:38-7650,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-101-20210303-17:45:38-7650,runattr,,,datetime,20210303-17:45:38,
Lognormal-capacity-101-20210303-17:45:38-7650,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-101-20210303-17:45:38-7650,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-101-20210303-17:45:38-7650,runattr,,,iterationvars,$0=0.05,
Lognormal-capacity-101-20210303-17:45:38-7650,runattr,,,iterationvarsf,0.05-,
Lognormal-capacity-101-20210303-17:45:38-7650,runattr,,,measurement,$0=0.05,
Lognormal-capacity-101-20210303-17:45:38-7650,runattr,,,network,Aerocom,
Lognormal-capacity-101-20210303-17:45:38-7650,runattr,,,processid,7650,
Lognormal-capacity-101-20210303-17:45:38-7650,runattr,,,repetition,1,
Lognormal-capacity-101-20210303-17:45:38-7650,runattr,,,replication,#1,
Lognormal-capacity-101-20210303-17:45:38-7650,runattr,,,resultdir,results,
Lognormal-capacity-101-20210303-17:45:38-7650,runattr,,,runnumber,101,
Lognormal-capacity-101-20210303-17:45:38-7650,runattr,,,seedset,1,
Lognormal-capacity-101-20210303-17:45:38-7650,param,,,**.t,2s,
Lognormal-capacity-101-20210303-17:45:38-7650,param,,,**.k,20ms,
Lognormal-capacity-101-20210303-17:45:38-7650,param,,,**.X,0.05s,
Lognormal-capacity-101-20210303-17:45:38-7650,param,,,**.m,4.5s,
Lognormal-capacity-101-20210303-17:45:38-7650,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-101-20210303-17:45:38-7650,param,,,**.operationMode,0,
Lognormal-capacity-101-20210303-17:45:38-7650,param,,,**.s,70 byte,
Lognormal-capacity-101-20210303-17:45:38-7650,param,,,**.dimPoolMax,10000,
Lognormal-capacity-101-20210303-17:45:38-7650,param,,,**.dimPoolMin,8000,
Lognormal-capacity-101-20210303-17:45:38-7650,param,,,**.nDL,2,
Lognormal-capacity-101-20210303-17:45:38-7650,param,,,**.nA,1,
Lognormal-capacity-101-20210303-17:45:38-7650,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-101-20210303-17:45:38-7650,param,,,**.trasmitting,false,
Lognormal-capacity-111-20210303-17:45:39-7651,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-111-20210303-17:45:39-7651,runattr,,,datetime,20210303-17:45:39,
Lognormal-capacity-111-20210303-17:45:39-7651,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-111-20210303-17:45:39-7651,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-111-20210303-17:45:39-7651,runattr,,,iterationvars,$0=0.05,
Lognormal-capacity-111-20210303-17:45:39-7651,runattr,,,iterationvarsf,0.05-,
Lognormal-capacity-111-20210303-17:45:39-7651,runattr,,,measurement,$0=0.05,
Lognormal-capacity-111-20210303-17:45:39-7651,runattr,,,network,Aerocom,
Lognormal-capacity-111-20210303-17:45:39-7651,runattr,,,processid,7651,
Lognormal-capacity-111-20210303-17:45:39-7651,runattr,,,repetition,11,
Lognormal-capacity-111-20210303-17:45:39-7651,runattr,,,replication,#11,
Lognormal-capacity-111-20210303-17:45:39-7651,runattr,,,resultdir,results,
Lognormal-capacity-111-20210303-17:45:39-7651,runattr,,,runnumber,111,
Lognormal-capacity-111-20210303-17:45:39-7651,runattr,,,seedset,11,
Lognormal-capacity-111-20210303-17:45:39-7651,param,,,**.t,2s,
Lognormal-capacity-111-20210303-17:45:39-7651,param,,,**.k,20ms,
Lognormal-capacity-111-20210303-17:45:39-7651,param,,,**.X,0.05s,
Lognormal-capacity-111-20210303-17:45:39-7651,param,,,**.m,4.5s,
Lognormal-capacity-111-20210303-17:45:39-7651,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-111-20210303-17:45:39-7651,param,,,**.operationMode,0,
Lognormal-capacity-111-20210303-17:45:39-7651,param,,,**.s,70 byte,
Lognormal-capacity-111-20210303-17:45:39-7651,param,,,**.dimPoolMax,10000,
Lognormal-capacity-111-20210303-17:45:39-7651,param,,,**.dimPoolMin,8000,
Lognormal-capacity-111-20210303-17:45:39-7651,param,,,**.nDL,2,
Lognormal-capacity-111-20210303-17:45:39-7651,param,,,**.nA,1,
Lognormal-capacity-111-20210303-17:45:39-7651,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-111-20210303-17:45:39-7651,param,,,**.trasmitting,false,
Lognormal-capacity-112-20210303-17:45:35-7682,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-112-20210303-17:45:35-7682,runattr,,,datetime,20210303-17:45:35,
Lognormal-capacity-112-20210303-17:45:35-7682,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-112-20210303-17:45:35-7682,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-112-20210303-17:45:35-7682,runattr,,,iterationvars,$0=0.05,
Lognormal-capacity-112-20210303-17:45:35-7682,runattr,,,iterationvarsf,0.05-,
Lognormal-capacity-112-20210303-17:45:35-7682,runattr,,,measurement,$0=0.05,
Lognormal-capacity-112-20210303-17:45:35-7682,runattr,,,network,Aerocom,
Lognormal-capacity-112-20210303-17:45:35-7682,runattr,,,processid,7682,
Lognormal-capacity-112-20210303-17:45:35-7682,runattr,,,repetition,12,
Lognormal-capacity-112-20210303-17:45:35-7682,runattr,,,replication,#12,
Lognormal-capacity-112-20210303-17:45:35-7682,runattr,,,resultdir,results,
Lognormal-capacity-112-20210303-17:45:35-7682,runattr,,,runnumber,112,
Lognormal-capacity-112-20210303-17:45:35-7682,runattr,,,seedset,12,
Lognormal-capacity-112-20210303-17:45:35-7682,param,,,**.t,2s,
Lognormal-capacity-112-20210303-17:45:35-7682,param,,,**.k,20ms,
Lognormal-capacity-112-20210303-17:45:35-7682,param,,,**.X,0.05s,
Lognormal-capacity-112-20210303-17:45:35-7682,param,,,**.m,4.5s,
Lognormal-capacity-112-20210303-17:45:35-7682,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-112-20210303-17:45:35-7682,param,,,**.operationMode,0,
Lognormal-capacity-112-20210303-17:45:35-7682,param,,,**.s,70 byte,
Lognormal-capacity-112-20210303-17:45:35-7682,param,,,**.dimPoolMax,10000,
Lognormal-capacity-112-20210303-17:45:35-7682,param,,,**.dimPoolMin,8000,
Lognormal-capacity-112-20210303-17:45:35-7682,param,,,**.nDL,2,
Lognormal-capacity-112-20210303-17:45:35-7682,param,,,**.nA,1,
Lognormal-capacity-112-20210303-17:45:35-7682,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-112-20210303-17:45:35-7682,param,,,**.trasmitting,false,
Lognormal-capacity-113-20210303-17:45:36-7682,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-113-20210303-17:45:36-7682,runattr,,,datetime,20210303-17:45:36,
Lognormal-capacity-113-20210303-17:45:36-7682,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-113-20210303-17:45:36-7682,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-113-20210303-17:45:36-7682,runattr,,,iterationvars,$0=0.05,
Lognormal-capacity-113-20210303-17:45:36-7682,runattr,,,iterationvarsf,0.05-,
Lognormal-capacity-113-20210303-17:45:36-7682,runattr,,,measurement,$0=0.05,
Lognormal-capacity-113-20210303-17:45:36-7682,runattr,,,network,Aerocom,
Lognormal-capacity-113-20210303-17:45:36-7682,runattr,,,processid,7682,
Lognormal-capacity-113-20210303-17:45:36-7682,runattr,,,repetition,13,
Lognormal-capacity-113-20210303-17:45:36-7682,runattr,,,replication,#13,
Lognormal-capacity-113-20210303-17:45:36-7682,runattr,,,resultdir,results,
Lognormal-capacity-113-20210303-17:45:36-7682,runattr,,,runnumber,113,
Lognormal-capacity-113-20210303-17:45:36-7682,runattr,,,seedset,13,
Lognormal-capacity-113-20210303-17:45:36-7682,param,,,**.t,2s,
Lognormal-capacity-113-20210303-17:45:36-7682,param,,,**.k,20ms,
Lognormal-capacity-113-20210303-17:45:36-7682,param,,,**.X,0.05s,
Lognormal-capacity-113-20210303-17:45:36-7682,param,,,**.m,4.5s,
Lognormal-capacity-113-20210303-17:45:36-7682,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-113-20210303-17:45:36-7682,param,,,**.operationMode,0,
Lognormal-capacity-113-20210303-17:45:36-7682,param,,,**.s,70 byte,
Lognormal-capacity-113-20210303-17:45:36-7682,param,,,**.dimPoolMax,10000,
Lognormal-capacity-113-20210303-17:45:36-7682,param,,,**.dimPoolMin,8000,
Lognormal-capacity-113-20210303-17:45:36-7682,param,,,**.nDL,2,
Lognormal-capacity-113-20210303-17:45:36-7682,param,,,**.nA,1,
Lognormal-capacity-113-20210303-17:45:36-7682,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-113-20210303-17:45:36-7682,param,,,**.trasmitting,false,
Lognormal-capacity-114-20210303-17:45:36-7682,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-114-20210303-17:45:36-7682,runattr,,,datetime,20210303-17:45:36,
Lognormal-capacity-114-20210303-17:45:36-7682,runattr,,,experiment,Lognormal-capacity,
