run,type,module,name,attrname,attrvalue,value
Lognormal-capacity-310-20210303-17:45:56-7867,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-310-20210303-17:45:56-7867,runattr,,,datetime,20210303-17:45:56,
Lognormal-capacity-310-20210303-17:45:56-7867,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-310-20210303-17:45:56-7867,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-310-20210303-17:45:56-7867,runattr,,,iterationvars,$0=1,
Lognormal-capacity-310-20210303-17:45:56-7867,runattr,,,iterationvarsf,1-,
Lognormal-capacity-310-20210303-17:45:56-7867,runattr,,,measurement,$0=1,
Lognormal-capacity-310-20210303-17:45:56-7867,runattr,,,network,Aerocom,
Lognormal-capacity-310-20210303-17:45:56-7867,runattr,,,processid,7867,
Lognormal-capacity-310-20210303-17:45:56-7867,runattr,,,repetition,10,
Lognormal-capacity-310-20210303-17:45:56-7867,runattr,,,replication,#10,
Lognormal-capacity-310-20210303-17:45:56-7867,runattr,,,resultdir,results,
Lognormal-capacity-310-20210303-17:45:56-7867,runattr,,,runnumber,310,
Lognormal-capacity-310-20210303-17:45:56-7867,runattr,,,seedset,10,
Lognormal-capacity-310-20210303-17:45:56-7867,param,,,**.t,2s,
Lognormal-capacity-310-20210303-17:45:56-7867,param,,,**.k,20ms,
Lognormal-capacity-310-20210303-17:45:56-7867,param,,,**.X,1s,
Lognormal-capacity-310-20210303-17:45:56-7867,param,,,**.m,4.5s,
Lognormal-capacity-310-20210303-17:45:56-7867,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-310-20210303-17:45:56-7867,param,,,**.operationMode,0,
Lognormal-capacity-310-20210303-17:45:56-7867,param,,,**.s,70 byte,
Lognormal-capacity-310-20210303-17:45:56-7867,param,,,**.dimPoolMax,10000,
Lognormal-capacity-310-20210303-17:45:56-7867,param,,,**.dimPoolMin,8000,
Lognormal-capacity-310-20210303-17:45:56-7867,param,,,**.nDL,2,
Lognormal-capacity-310-20210303-17:45:56-7867,param,,,**.nA,1,
Lognormal-capacity-310-20210303-17:45:56-7867,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-310-20210303-17:45:56-7867,param,,,**.trasmitting,false,
Lognormal-capacity-300-20210303-17:45:54-7862,runattr,,,configname,Lognormal-capacity,
