run,type,module,name,attrname,attrvalue,value
Exponential-capacity-3100-20210226-12:51:58-4810,runattr,,,configname,Exponential-capacity,
Exponential-capacity-3100-20210226-12:51:58-4810,runattr,,,datetime,20210226-12:51:58,
Exponential-capacity-3100-20210226-12:51:58-4810,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-3100-20210226-12:51:58-4810,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-3100-20210226-12:51:58-4810,runattr,,,iterationvars,"$0=50, $1=1.5",
Exponential-capacity-3100-20210226-12:51:58-4810,runattr,,,iterationvarsf,"50,1.5-",
Exponential-capacity-3100-20210226-12:51:58-4810,runattr,,,measurement,"$0=50, $1=1.5",
Exponential-capacity-3100-20210226-12:51:58-4810,runattr,,,network,Aerocom,
Exponential-capacity-3100-20210226-12:51:58-4810,runattr,,,processid,4810,
Exponential-capacity-3100-20210226-12:51:58-4810,runattr,,,repetition,0,
Exponential-capacity-3100-20210226-12:51:58-4810,runattr,,,replication,#0,
Exponential-capacity-3100-20210226-12:51:58-4810,runattr,,,resultdir,results,
Exponential-capacity-3100-20210226-12:51:58-4810,runattr,,,runnumber,3100,
Exponential-capacity-3100-20210226-12:51:58-4810,runattr,,,seedset,0,
Exponential-capacity-3100-20210226-12:51:58-4810,param,,,**.t,2s,
Exponential-capacity-3100-20210226-12:51:58-4810,param,,,**.k,50ms,
Exponential-capacity-3100-20210226-12:51:58-4810,param,,,**.X,0.05s,
Exponential-capacity-3100-20210226-12:51:58-4810,param,,,**.m,1.5s,
Exponential-capacity-3100-20210226-12:51:58-4810,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-3100-20210226-12:51:58-4810,param,,,**.operationMode,0,
Exponential-capacity-3100-20210226-12:51:58-4810,param,,,**.s,70 byte,
Exponential-capacity-3100-20210226-12:51:58-4810,param,,,**.dimPoolMax,20000,
Exponential-capacity-3100-20210226-12:51:58-4810,param,,,**.dimPoolMin,8000,
Exponential-capacity-3100-20210226-12:51:58-4810,param,,,**.nDL,16,
Exponential-capacity-3100-20210226-12:51:58-4810,param,,,**.nA,1,
Exponential-capacity-3100-20210226-12:51:58-4810,param,,,**.DLMaxCapacity,0,
Exponential-capacity-3100-20210226-12:51:58-4810,param,,,**.trasmitting,false,
Exponential-capacity-3101-20210226-12:51:58-4810,runattr,,,configname,Exponential-capacity,
Exponential-capacity-3101-20210226-12:51:58-4810,runattr,,,datetime,20210226-12:51:58,
Exponential-capacity-3101-20210226-12:51:58-4810,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-3101-20210226-12:51:58-4810,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-3101-20210226-12:51:58-4810,runattr,,,iterationvars,"$0=50, $1=1.5",
Exponential-capacity-3101-20210226-12:51:58-4810,runattr,,,iterationvarsf,"50,1.5-",
Exponential-capacity-3101-20210226-12:51:58-4810,runattr,,,measurement,"$0=50, $1=1.5",
Exponential-capacity-3101-20210226-12:51:58-4810,runattr,,,network,Aerocom,
Exponential-capacity-3101-20210226-12:51:58-4810,runattr,,,processid,4810,
Exponential-capacity-3101-20210226-12:51:58-4810,runattr,,,repetition,1,
Exponential-capacity-3101-20210226-12:51:58-4810,runattr,,,replication,#1,
Exponential-capacity-3101-20210226-12:51:58-4810,runattr,,,resultdir,results,
Exponential-capacity-3101-20210226-12:51:58-4810,runattr,,,runnumber,3101,
Exponential-capacity-3101-20210226-12:51:58-4810,runattr,,,seedset,1,
