run,type,module,name,attrname,attrvalue,value
Lognormal-capacity-2300-20210226-12:48:38-2494,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-2300-20210226-12:48:38-2494,runattr,,,datetime,20210226-12:48:38,
Lognormal-capacity-2300-20210226-12:48:38-2494,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-2300-20210226-12:48:38-2494,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-2300-20210226-12:48:38-2494,runattr,,,iterationvars,"$0=15, $1=20",
Lognormal-capacity-2300-20210226-12:48:38-2494,runattr,,,iterationvarsf,"15,20-",
Lognormal-capacity-2300-20210226-12:48:38-2494,runattr,,,measurement,"$0=15, $1=20",
Lognormal-capacity-2300-20210226-12:48:38-2494,runattr,,,network,Aerocom,
Lognormal-capacity-2300-20210226-12:48:38-2494,runattr,,,processid,2494,
Lognormal-capacity-2300-20210226-12:48:38-2494,runattr,,,repetition,0,
Lognormal-capacity-2300-20210226-12:48:38-2494,runattr,,,replication,#0,
Lognormal-capacity-2300-20210226-12:48:38-2494,runattr,,,resultdir,results,
Lognormal-capacity-2300-20210226-12:48:38-2494,runattr,,,runnumber,2300,
Lognormal-capacity-2300-20210226-12:48:38-2494,runattr,,,seedset,0,
Lognormal-capacity-2300-20210226-12:48:38-2494,param,,,**.t,2s,
Lognormal-capacity-2300-20210226-12:48:38-2494,param,,,**.k,15ms,
Lognormal-capacity-2300-20210226-12:48:38-2494,param,,,**.X,0.05s,
Lognormal-capacity-2300-20210226-12:48:38-2494,param,,,**.m,20s,
Lognormal-capacity-2300-20210226-12:48:38-2494,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-2300-20210226-12:48:38-2494,param,,,**.operationMode,0,
Lognormal-capacity-2300-20210226-12:48:38-2494,param,,,**.s,70 byte,
Lognormal-capacity-2300-20210226-12:48:38-2494,param,,,**.dimPoolMax,20000,
Lognormal-capacity-2300-20210226-12:48:38-2494,param,,,**.dimPoolMin,8000,
Lognormal-capacity-2300-20210226-12:48:38-2494,param,,,**.nDL,16,
Lognormal-capacity-2300-20210226-12:48:38-2494,param,,,**.nA,1,
Lognormal-capacity-2300-20210226-12:48:38-2494,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-2300-20210226-12:48:38-2494,param,,,**.trasmitting,false,
Lognormal-capacity-2301-20210226-12:48:41-2494,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-2301-20210226-12:48:41-2494,runattr,,,datetime,20210226-12:48:41,
Lognormal-capacity-2301-20210226-12:48:41-2494,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-2301-20210226-12:48:41-2494,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-2301-20210226-12:48:41-2494,runattr,,,iterationvars,"$0=15, $1=20",
Lognormal-capacity-2301-20210226-12:48:41-2494,runattr,,,iterationvarsf,"15,20-",
Lognormal-capacity-2301-20210226-12:48:41-2494,runattr,,,measurement,"$0=15, $1=20",
Lognormal-capacity-2301-20210226-12:48:41-2494,runattr,,,network,Aerocom,
Lognormal-capacity-2301-20210226-12:48:41-2494,runattr,,,processid,2494,
Lognormal-capacity-2301-20210226-12:48:41-2494,runattr,,,repetition,1,
