run,type,module,name,attrname,attrvalue,value
Exponential-capacity-500-20210226-15:05:06-17490,runattr,,,configname,Exponential-capacity,
Exponential-capacity-500-20210226-15:05:06-17490,runattr,,,datetime,20210226-15:05:06,
Exponential-capacity-500-20210226-15:05:06-17490,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-500-20210226-15:05:06-17490,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-500-20210226-15:05:06-17490,runattr,,,iterationvars,"$0=9, $1=20",
Exponential-capacity-500-20210226-15:05:06-17490,runattr,,,iterationvarsf,"9,20-",
Exponential-capacity-500-20210226-15:05:06-17490,runattr,,,measurement,"$0=9, $1=20",
Exponential-capacity-500-20210226-15:05:06-17490,runattr,,,network,Aerocom,
Exponential-capacity-500-20210226-15:05:06-17490,runattr,,,processid,17490,
Exponential-capacity-500-20210226-15:05:06-17490,runattr,,,repetition,0,
Exponential-capacity-500-20210226-15:05:06-17490,runattr,,,replication,#0,
Exponential-capacity-500-20210226-15:05:06-17490,runattr,,,resultdir,results,
Exponential-capacity-500-20210226-15:05:06-17490,runattr,,,runnumber,500,
Exponential-capacity-500-20210226-15:05:06-17490,runattr,,,seedset,0,
Exponential-capacity-500-20210226-15:05:06-17490,param,,,**.t,2s,
Exponential-capacity-500-20210226-15:05:06-17490,param,,,**.k,9ms,
Exponential-capacity-500-20210226-15:05:06-17490,param,,,**.X,0.05s,
Exponential-capacity-500-20210226-15:05:06-17490,param,,,**.m,20s,
Exponential-capacity-500-20210226-15:05:06-17490,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-500-20210226-15:05:06-17490,param,,,**.operationMode,0,
Exponential-capacity-500-20210226-15:05:06-17490,param,,,**.s,70 byte,
Exponential-capacity-500-20210226-15:05:06-17490,param,,,**.dimPoolMax,40000,
Exponential-capacity-500-20210226-15:05:06-17490,param,,,**.dimPoolMin,8000,
Exponential-capacity-500-20210226-15:05:06-17490,param,,,**.nDL,16,
Exponential-capacity-500-20210226-15:05:06-17490,param,,,**.nA,1,
Exponential-capacity-500-20210226-15:05:06-17490,param,,,**.DLMaxCapacity,0,
Exponential-capacity-500-20210226-15:05:06-17490,param,,,**.trasmitting,false,
Exponential-capacity-501-20210226-15:05:09-17490,runattr,,,configname,Exponential-capacity,
Exponential-capacity-501-20210226-15:05:09-17490,runattr,,,datetime,20210226-15:05:09,
Exponential-capacity-501-20210226-15:05:09-17490,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-501-20210226-15:05:09-17490,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-501-20210226-15:05:09-17490,runattr,,,iterationvars,"$0=9, $1=20",
Exponential-capacity-501-20210226-15:05:09-17490,runattr,,,iterationvarsf,"9,20-",
Exponential-capacity-501-20210226-15:05:09-17490,runattr,,,measurement,"$0=9, $1=20",
Exponential-capacity-501-20210226-15:05:09-17490,runattr,,,network,Aerocom,
Exponential-capacity-501-20210226-15:05:09-17490,runattr,,,processid,17490,
Exponential-capacity-501-20210226-15:05:09-17490,runattr,,,repetition,1,
Exponential-capacity-501-20210226-15:05:09-17490,runattr,,,replication,#1,
Exponential-capacity-501-20210226-15:05:09-17490,runattr,,,resultdir,results,
Exponential-capacity-501-20210226-15:05:09-17490,runattr,,,runnumber,501,
Exponential-capacity-501-20210226-15:05:09-17490,runattr,,,seedset,1,
Exponential-capacity-501-20210226-15:05:09-17490,param,,,**.t,2s,
Exponential-capacity-501-20210226-15:05:09-17490,param,,,**.k,9ms,
Exponential-capacity-501-20210226-15:05:09-17490,param,,,**.X,0.05s,
Exponential-capacity-501-20210226-15:05:09-17490,param,,,**.m,20s,
Exponential-capacity-501-20210226-15:05:09-17490,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-501-20210226-15:05:09-17490,param,,,**.operationMode,0,
Exponential-capacity-501-20210226-15:05:09-17490,param,,,**.s,70 byte,
Exponential-capacity-501-20210226-15:05:09-17490,param,,,**.dimPoolMax,40000,
Exponential-capacity-501-20210226-15:05:09-17490,param,,,**.dimPoolMin,8000,
Exponential-capacity-501-20210226-15:05:09-17490,param,,,**.nDL,16,
Exponential-capacity-501-20210226-15:05:09-17490,param,,,**.nA,1,
Exponential-capacity-501-20210226-15:05:09-17490,param,,,**.DLMaxCapacity,0,
Exponential-capacity-501-20210226-15:05:09-17490,param,,,**.trasmitting,false,
Exponential-capacity-510-20210226-15:05:24-17525,runattr,,,configname,Exponential-capacity,
Exponential-capacity-510-20210226-15:05:24-17525,runattr,,,datetime,20210226-15:05:24,
Exponential-capacity-510-20210226-15:05:24-17525,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-510-20210226-15:05:24-17525,runattr,,,inifile,../simulations/aerocom.ini,
Exponential-capacity-510-20210226-15:05:24-17525,runattr,,,iterationvars,"$0=9, $1=20",
Exponential-capacity-510-20210226-15:05:24-17525,runattr,,,iterationvarsf,"9,20-",
Exponential-capacity-510-20210226-15:05:24-17525,runattr,,,measurement,"$0=9, $1=20",
Exponential-capacity-510-20210226-15:05:24-17525,runattr,,,network,Aerocom,
Exponential-capacity-510-20210226-15:05:24-17525,runattr,,,processid,17525,
Exponential-capacity-510-20210226-15:05:24-17525,runattr,,,repetition,10,
Exponential-capacity-510-20210226-15:05:24-17525,runattr,,,replication,#10,
Exponential-capacity-510-20210226-15:05:24-17525,runattr,,,resultdir,results,
Exponential-capacity-510-20210226-15:05:24-17525,runattr,,,runnumber,510,
Exponential-capacity-510-20210226-15:05:24-17525,runattr,,,seedset,10,
Exponential-capacity-510-20210226-15:05:24-17525,param,,,**.t,2s,
Exponential-capacity-510-20210226-15:05:24-17525,param,,,**.k,9ms,
Exponential-capacity-510-20210226-15:05:24-17525,param,,,**.X,0.05s,
Exponential-capacity-510-20210226-15:05:24-17525,param,,,**.m,20s,
Exponential-capacity-510-20210226-15:05:24-17525,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-510-20210226-15:05:24-17525,param,,,**.operationMode,0,
Exponential-capacity-510-20210226-15:05:24-17525,param,,,**.s,70 byte,
Exponential-capacity-510-20210226-15:05:24-17525,param,,,**.dimPoolMax,40000,
Exponential-capacity-510-20210226-15:05:24-17525,param,,,**.dimPoolMin,8000,
Exponential-capacity-510-20210226-15:05:24-17525,param,,,**.nDL,16,
Exponential-capacity-510-20210226-15:05:24-17525,param,,,**.nA,1,
Exponential-capacity-510-20210226-15:05:24-17525,param,,,**.DLMaxCapacity,0,
Exponential-capacity-510-20210226-15:05:24-17525,param,,,**.trasmitting,false,
Exponential-capacity-511-20210226-15:05:33-17525,runattr,,,configname,Exponential-capacity,
Exponential-capacity-511-20210226-15:05:33-17525,runattr,,,datetime,20210226-15:05:33,
Exponential-capacity-511-20210226-15:05:33-17525,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-511-20210226-15:05:33-17525,runattr,,,inifile,../simulations/aerocom.ini,
