run,type,module,name,attrname,attrvalue,value
Lognormal-capacity-800-20210226-15:08:18-18029,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-800-20210226-15:08:18-18029,runattr,,,datetime,20210226-15:08:18,
Lognormal-capacity-800-20210226-15:08:18-18029,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-800-20210226-15:08:18-18029,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-800-20210226-15:08:18-18029,runattr,,,iterationvars,"$0=10, $1=1.8",
Lognormal-capacity-800-20210226-15:08:18-18029,runattr,,,iterationvarsf,"10,1.8-",
Lognormal-capacity-800-20210226-15:08:18-18029,runattr,,,measurement,"$0=10, $1=1.8",
Lognormal-capacity-800-20210226-15:08:18-18029,runattr,,,network,Aerocom,
Lognormal-capacity-800-20210226-15:08:18-18029,runattr,,,processid,18029,
Lognormal-capacity-800-20210226-15:08:18-18029,runattr,,,repetition,0,
Lognormal-capacity-800-20210226-15:08:18-18029,runattr,,,replication,#0,
Lognormal-capacity-800-20210226-15:08:18-18029,runattr,,,resultdir,results,
Lognormal-capacity-800-20210226-15:08:18-18029,runattr,,,runnumber,800,
Lognormal-capacity-800-20210226-15:08:18-18029,runattr,,,seedset,0,
Lognormal-capacity-800-20210226-15:08:18-18029,param,,,**.t,2s,
Lognormal-capacity-800-20210226-15:08:18-18029,param,,,**.k,10ms,
Lognormal-capacity-800-20210226-15:08:18-18029,param,,,**.X,0.05s,
Lognormal-capacity-800-20210226-15:08:18-18029,param,,,**.m,1.8s,
Lognormal-capacity-800-20210226-15:08:18-18029,param,,,**.tDistribution,"""lognormal""",
Lognormal-capacity-800-20210226-15:08:18-18029,param,,,**.operationMode,0,
Lognormal-capacity-800-20210226-15:08:18-18029,param,,,**.s,70 byte,
Lognormal-capacity-800-20210226-15:08:18-18029,param,,,**.dimPoolMax,40000,
Lognormal-capacity-800-20210226-15:08:18-18029,param,,,**.dimPoolMin,8000,
Lognormal-capacity-800-20210226-15:08:18-18029,param,,,**.nDL,16,
Lognormal-capacity-800-20210226-15:08:18-18029,param,,,**.nA,1,
Lognormal-capacity-800-20210226-15:08:18-18029,param,,,**.DLMaxCapacity,0,
Lognormal-capacity-800-20210226-15:08:18-18029,param,,,**.trasmitting,false,
Lognormal-capacity-801-20210226-15:08:29-18029,runattr,,,configname,Lognormal-capacity,
Lognormal-capacity-801-20210226-15:08:29-18029,runattr,,,datetime,20210226-15:08:29,
Lognormal-capacity-801-20210226-15:08:29-18029,runattr,,,experiment,Lognormal-capacity,
Lognormal-capacity-801-20210226-15:08:29-18029,runattr,,,inifile,../simulations/aerocom.ini,
Lognormal-capacity-801-20210226-15:08:29-18029,runattr,,,iterationvars,"$0=10, $1=1.8",
