run,type,module,name,attrname,attrvalue,value
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,runattr,,,datetime,20210226-14:58:18,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,runattr,,,iterationvars,$0=13,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,runattr,,,iterationvarsf,13-,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,runattr,,,measurement,$0=13,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,runattr,,,processid,16369,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,runattr,,,repetition,0,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,runattr,,,replication,#0,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,runattr,,,resultdir,results,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,runattr,,,runnumber,200,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,runattr,,,seedset,0,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,param,,,**.t,2s,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,param,,,**.k,13ms,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,param,,,**.X,0.05s,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,param,,,**.m,1s,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,param,,,**.operationMode,1,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,param,,,**.s,70 byte,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,param,,,**.dimPoolMax,40000,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,param,,,**.nDL,16,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,param,,,**.nA,1,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,param,,,**.DLMaxCapacity,0,
Nonmonitoring-lognormal-200-20210226-14:58:18-16369,param,,,**.trasmitting,false,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,runattr,,,configname,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,runattr,,,datetime,20210226-14:58:27,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,runattr,,,experiment,Nonmonitoring-lognormal,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,runattr,,,inifile,../simulations/aerocom.ini,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,runattr,,,iterationvars,$0=13,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,runattr,,,iterationvarsf,13-,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,runattr,,,measurement,$0=13,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,runattr,,,network,Aerocom,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,runattr,,,processid,16369,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,runattr,,,repetition,1,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,runattr,,,replication,#1,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,runattr,,,resultdir,results,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,runattr,,,runnumber,201,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,runattr,,,seedset,1,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,param,,,**.t,2s,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,param,,,**.k,13ms,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,param,,,**.X,0.05s,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,param,,,**.m,1s,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,param,,,**.tDistribution,"""lognormal""",
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,param,,,**.operationMode,1,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,param,,,**.s,70 byte,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,param,,,**.dimPoolMax,40000,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,param,,,**.dimPoolMin,8000,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,param,,,**.nDL,16,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,param,,,**.nA,1,
Nonmonitoring-lognormal-201-20210226-14:58:27-16369,param,,,**.DLMaxCapacity,0,
