run,type,module,name,attrname,attrvalue,value
Exponential-capacity-10-20210215-11:02:32-10724,runattr,,,configname,Exponential-capacity,
Exponential-capacity-10-20210215-11:02:32-10724,runattr,,,datetime,20210215-11:02:32,
Exponential-capacity-10-20210215-11:02:32-10724,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-10-20210215-11:02:32-10724,runattr,,,inifile,aerocom.ini,
Exponential-capacity-10-20210215-11:02:32-10724,runattr,,,iterationvars,"$0=50, $1=2",
Exponential-capacity-10-20210215-11:02:32-10724,runattr,,,iterationvarsf,"50,2-",
Exponential-capacity-10-20210215-11:02:32-10724,runattr,,,measurement,"$0=50, $1=2",
Exponential-capacity-10-20210215-11:02:32-10724,runattr,,,network,Aerocom,
Exponential-capacity-10-20210215-11:02:32-10724,runattr,,,processid,10724,
Exponential-capacity-10-20210215-11:02:32-10724,runattr,,,repetition,0,
Exponential-capacity-10-20210215-11:02:32-10724,runattr,,,replication,#0,
Exponential-capacity-10-20210215-11:02:32-10724,runattr,,,resultdir,results,
Exponential-capacity-10-20210215-11:02:32-10724,runattr,,,runnumber,10,
Exponential-capacity-10-20210215-11:02:32-10724,runattr,,,seedset,0,
Exponential-capacity-10-20210215-11:02:32-10724,param,,,**.t,1s,
Exponential-capacity-10-20210215-11:02:32-10724,param,,,**.k,50ms,
Exponential-capacity-10-20210215-11:02:32-10724,param,,,**.X,0.4s,
Exponential-capacity-10-20210215-11:02:32-10724,param,,,**.m,2s,
Exponential-capacity-10-20210215-11:02:32-10724,param,,,**.tDistribution,"""exponential""",
Exponential-capacity-10-20210215-11:02:32-10724,param,,,**.operationMode,0,
Exponential-capacity-10-20210215-11:02:32-10724,param,,,**.s,70 byte,
Exponential-capacity-10-20210215-11:02:32-10724,param,,,**.dimPoolMax,10000,
Exponential-capacity-10-20210215-11:02:32-10724,param,,,**.dimPoolMin,8000,
Exponential-capacity-10-20210215-11:02:32-10724,param,,,**.nDL,1,
Exponential-capacity-10-20210215-11:02:32-10724,param,,,**.nA,1,
Exponential-capacity-10-20210215-11:02:32-10724,param,,,**.DLMaxCapacity,0,
Exponential-capacity-10-20210215-11:02:32-10724,param,,,**.trasmitting,false,
Exponential-capacity-6-20210215-11:02:28-8188,runattr,,,configname,Exponential-capacity,
Exponential-capacity-6-20210215-11:02:28-8188,runattr,,,datetime,20210215-11:02:28,
Exponential-capacity-6-20210215-11:02:28-8188,runattr,,,experiment,Exponential-capacity,
Exponential-capacity-6-20210215-11:02:28-8188,runattr,,,inifile,aerocom.ini,
Exponential-capacity-6-20210215-11:02:28-8188,runattr,,,iterationvars,"$0=35, $1=1",
Exponential-capacity-6-20210215-11:02:28-8188,runattr,,,iterationvarsf,"35,1-",
Exponential-capacity-6-20210215-11:02:28-8188,runattr,,,measurement,"$0=35, $1=1",
Exponential-capacity-6-20210215-11:02:28-8188,runattr,,,network,Aerocom,
Exponential-capacity-6-20210215-11:02:28-8188,runattr,,,processid,8188,
