run,repetition,Module,waitingTime:mean
Exponential-capacity-0-20210215-11:02:16-9684,0,Aerocom.aircraft[0].linkSelector,0.11
Exponential-capacity-1-20210215-11:02:20-888,0,Aerocom.aircraft[0].linkSelector,0.057
Exponential-capacity-2-20210215-11:02:22-2396,0,Aerocom.aircraft[0].linkSelector,0.043
Exponential-capacity-3-20210215-11:02:24-1820,0,Aerocom.aircraft[0].linkSelector,0.084
Exponential-capacity-4-20210215-11:02:25-7284,0,Aerocom.aircraft[0].linkSelector,0.048
Exponential-capacity-5-20210215-11:02:27-10772,0,Aerocom.aircraft[0].linkSelector,0.029
Exponential-capacity-6-20210215-11:02:28-8188,0,Aerocom.aircraft[0].linkSelector,0.087
Exponential-capacity-7-20210215-11:02:29-10844,0,Aerocom.aircraft[0].linkSelector,0.043
Exponential-capacity-8-20210215-11:02:30-3776,0,Aerocom.aircraft[0].linkSelector,0.031
Exponential-capacity-9-20210215-11:02:31-11364,0,Aerocom.aircraft[0].linkSelector,0.084
Exponential-capacity-10-20210215-11:02:32-10724,0,Aerocom.aircraft[0].linkSelector,0.042
Exponential-capacity-11-20210215-11:02:33-7332,0,Aerocom.aircraft[0].linkSelector,0.028
